Parametros;Precisao;Revocacao;F1-Score;Tempo
Pension_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.5453;0.9988;0.7055;0.0043
Pension_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.5453;0.9988;0.7055;0.0037
Pension_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.5453;0.9988;0.7055;0.0038
Pension_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.7700;0.9910;0.8666;0.0067
Pension_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.9204;0.9852;0.9517;0.0098
Pension_VAE_2000_6000_8_OCSVM_RBF_0,02_scale;0.9508;0.9720;0.9613;0.0172
Pension_VAE_2000_6000_8_OCSVM_RBF_0,03_scale;0.9690;0.9607;0.9649;0.0233
Pension_VAE_2000_6000_8_OCSVM_RBF_0,04_scale;0.9759;0.9503;0.9629;0.0285
Pension_VAE_2000_6000_8_OCSVM_RBF_0,05_scale;0.9817;0.9385;0.9596;0.0335
Pension_VAE_2000_6000_8_OCSVM_RBF_0,06_scale;0.9831;0.9310;0.9563;0.0434
Pension_VAE_2000_6000_8_OCSVM_RBF_0,07_scale;0.9847;0.9170;0.9496;0.0462
Pension_VAE_2000_6000_8_OCSVM_RBF_0,08_scale;0.9869;0.9067;0.9451;0.0523
Pension_VAE_2000_6000_8_OCSVM_RBF_0,09_scale;0.9873;0.8952;0.9390;0.0577
Pension_VAE_2000_6000_8_OCSVM_RBF_0,1_scale;0.9875;0.8870;0.9345;0.0677
Pension_VAE_2000_6000_8_OCSVM_RBF_0,2_scale;0.9909;0.7897;0.8790;0.1247
Pension_VAE_2000_6000_8_OCSVM_RBF_0,3_scale;0.9923;0.7060;0.8250;0.2579
Pension_VAE_2000_6000_8_OCSVM_RBF_0,4_scale;0.9926;0.6020;0.7495;0.2441
Pension_VAE_2000_6000_8_OCSVM_RBF_0,5_scale;0.9925;0.4978;0.6630;0.2933
Pension_VAE_2000_6000_8_OCSVM_RBF_0,6_scale;0.9912;0.3962;0.5662;0.3638
Pension_VAE_2000_6000_8_OCSVM_RBF_0,7_scale;0.9907;0.2935;0.4528;0.4223
Pension_VAE_2000_6000_8_OCSVM_RBF_0,8_scale;0.9900;0.1983;0.3303;0.4561
Pension_VAE_2000_6000_8_OCSVM_RBF_0,9_scale;0.9876;0.0998;0.1812;0.5048
Pension_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.5471;0.9985;0.7069;0.0042
Pension_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.5471;0.9985;0.7069;0.0041
Pension_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.5471;0.9985;0.7069;0.0041
Pension_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.8432;0.9895;0.9105;0.0069
Pension_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.9355;0.9825;0.9584;0.0100
Pension_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.9599;0.9765;0.9681;0.0159
Pension_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9681;0.9645;0.9663;0.0221
Pension_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9732;0.9517;0.9623;0.0281
Pension_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9772;0.9437;0.9602;0.0339
Pension_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9816;0.9337;0.9571;0.0402
Pension_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9850;0.9215;0.9522;0.0482
Pension_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9873;0.9115;0.9479;0.0515
Pension_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9879;0.9012;0.9426;0.0573
Pension_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9884;0.8915;0.9374;0.0674
Pension_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9909;0.7860;0.8766;0.1407
Pension_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9928;0.6873;0.8122;0.1832
Pension_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9932;0.5837;0.7353;0.2411
Pension_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9941;0.4627;0.6315;0.3050
Pension_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9945;0.3645;0.5335;0.3799
Pension_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9963;0.2710;0.4261;0.4151
Pension_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9986;0.1752;0.2982;0.4651
Pension_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.9972;0.0890;0.1634;0.4912
Pension_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.6414;0.9980;0.7809;0.0035
Pension_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.6414;0.9980;0.7809;0.0034
Pension_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.6414;0.9980;0.7809;0.0038
Pension_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.8487;0.9912;0.9144;0.0065
Pension_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.9235;0.9842;0.9529;0.0096
Pension_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.9463;0.9732;0.9596;0.0162
Pension_VAE_2000_6000_10_OCSVM_RBF_0,03_scale;0.9612;0.9610;0.9611;0.0222
Pension_VAE_2000_6000_10_OCSVM_RBF_0,04_scale;0.9748;0.9490;0.9617;0.0281
Pension_VAE_2000_6000_10_OCSVM_RBF_0,05_scale;0.9819;0.9345;0.9576;0.0397
Pension_VAE_2000_6000_10_OCSVM_RBF_0,06_scale;0.9842;0.9213;0.9517;0.0455
Pension_VAE_2000_6000_10_OCSVM_RBF_0,07_scale;0.9849;0.9137;0.9480;0.0552
Pension_VAE_2000_6000_10_OCSVM_RBF_0,08_scale;0.9876;0.8988;0.9411;0.0534
Pension_VAE_2000_6000_10_OCSVM_RBF_0,09_scale;0.9877;0.8865;0.9344;0.0597
Pension_VAE_2000_6000_10_OCSVM_RBF_0,1_scale;0.9879;0.8792;0.9304;0.0681
Pension_VAE_2000_6000_10_OCSVM_RBF_0,2_scale;0.9911;0.7798;0.8728;0.1267
Pension_VAE_2000_6000_10_OCSVM_RBF_0,3_scale;0.9917;0.6880;0.8124;0.1857
Pension_VAE_2000_6000_10_OCSVM_RBF_0,4_scale;0.9931;0.5743;0.7277;0.2489
Pension_VAE_2000_6000_10_OCSVM_RBF_0,5_scale;0.9931;0.4708;0.6387;0.3043
Pension_VAE_2000_6000_10_OCSVM_RBF_0,6_scale;0.9933;0.3715;0.5408;0.3798
Pension_VAE_2000_6000_10_OCSVM_RBF_0,7_scale;0.9935;0.2657;0.4193;0.4187
Pension_VAE_2000_6000_10_OCSVM_RBF_0,8_scale;0.9914;0.1722;0.2935;0.4734
Pension_VAE_2000_6000_10_OCSVM_RBF_0,9_scale;0.9855;0.0853;0.1569;0.4868
Pension_VAE_2000_6000_6_OCSVM_RBF_0,0001_scale;0.5448;0.9982;0.7049;0.0058
Pension_VAE_2000_6000_6_OCSVM_RBF_0,0005_scale;0.5434;0.9982;0.7037;0.0050
Pension_VAE_2000_6000_6_OCSVM_RBF_0,001_scale;0.5429;0.9982;0.7033;0.0051
Pension_VAE_2000_6000_6_OCSVM_RBF_0,005_scale;0.6263;0.9928;0.7681;0.0089
Pension_VAE_2000_6000_6_OCSVM_RBF_0,01_scale;0.8896;0.9852;0.9350;0.0110
Pension_VAE_2000_6000_6_OCSVM_RBF_0,02_scale;0.9481;0.9728;0.9603;0.0177
Pension_VAE_2000_6000_6_OCSVM_RBF_0,03_scale;0.9647;0.9637;0.9642;0.0230
Pension_VAE_2000_6000_6_OCSVM_RBF_0,04_scale;0.9747;0.9533;0.9639;0.0287
Pension_VAE_2000_6000_6_OCSVM_RBF_0,05_scale;0.9804;0.9385;0.9590;0.0345
Pension_VAE_2000_6000_6_OCSVM_RBF_0,06_scale;0.9823;0.9297;0.9553;0.0447
Pension_VAE_2000_6000_6_OCSVM_RBF_0,07_scale;0.9840;0.9200;0.9509;0.0462
Pension_VAE_2000_6000_6_OCSVM_RBF_0,08_scale;0.9856;0.9052;0.9437;0.0526
Pension_VAE_2000_6000_6_OCSVM_RBF_0,09_scale;0.9870;0.8955;0.9390;0.0579
Pension_VAE_2000_6000_6_OCSVM_RBF_0,1_scale;0.9874;0.8815;0.9314;0.0771
Pension_VAE_2000_6000_6_OCSVM_RBF_0,2_scale;0.9909;0.7925;0.8807;0.1260
Pension_VAE_2000_6000_6_OCSVM_RBF_0,3_scale;0.9916;0.7055;0.8244;0.1876
Pension_VAE_2000_6000_6_OCSVM_RBF_0,4_scale;0.9918;0.6078;0.7537;0.2412
Pension_VAE_2000_6000_6_OCSVM_RBF_0,5_scale;0.9928;0.5142;0.6775;0.2943
Pension_VAE_2000_6000_6_OCSVM_RBF_0,6_scale;0.9940;0.4168;0.5873;0.3779
Pension_VAE_2000_6000_6_OCSVM_RBF_0,7_scale;0.9935;0.3075;0.4696;0.4143
Pension_VAE_2000_6000_6_OCSVM_RBF_0,8_scale;0.9962;0.1970;0.3290;0.4647
Pension_VAE_2000_6000_6_OCSVM_RBF_0,9_scale;0.9951;0.1010;0.1834;0.4857
Pension_VAE_2000_6000_7_OCSVM_RBF_0,0001_scale;0.5386;0.9985;0.6998;0.0047
Pension_VAE_2000_6000_7_OCSVM_RBF_0,0005_scale;0.5386;0.9985;0.6998;0.0042
Pension_VAE_2000_6000_7_OCSVM_RBF_0,001_scale;0.5386;0.9985;0.6998;0.0040
Pension_VAE_2000_6000_7_OCSVM_RBF_0,005_scale;0.6933;0.9925;0.8164;0.0076
Pension_VAE_2000_6000_7_OCSVM_RBF_0,01_scale;0.9108;0.9828;0.9454;0.0112
Pension_VAE_2000_6000_7_OCSVM_RBF_0,02_scale;0.9458;0.9722;0.9588;0.0160
