Parametros;Precisao;Revocacao;F1-Score;Tempo
Securities_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.7532;0.9988;0.8588;0.0039
Securities_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.7532;0.9988;0.8588;0.0042
Securities_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.7532;0.9988;0.8588;0.0039
Securities_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.9405;0.9952;0.9671;0.0069
Securities_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.9507;0.9932;0.9715;0.0100
Securities_VAE_2000_6000_8_OCSVM_RBF_0,02_scale;0.9686;0.9802;0.9744;0.0163
Securities_VAE_2000_6000_8_OCSVM_RBF_0,03_scale;0.9772;0.9630;0.9700;0.0217
Securities_VAE_2000_6000_8_OCSVM_RBF_0,04_scale;0.9827;0.9505;0.9663;0.0282
Securities_VAE_2000_6000_8_OCSVM_RBF_0,05_scale;0.9835;0.9400;0.9613;0.0335
Securities_VAE_2000_6000_8_OCSVM_RBF_0,06_scale;0.9862;0.9275;0.9559;0.0436
Securities_VAE_2000_6000_8_OCSVM_RBF_0,07_scale;0.9864;0.9095;0.9464;0.0464
Securities_VAE_2000_6000_8_OCSVM_RBF_0,08_scale;0.9866;0.9000;0.9413;0.0510
Securities_VAE_2000_6000_8_OCSVM_RBF_0,09_scale;0.9883;0.8840;0.9332;0.0639
Securities_VAE_2000_6000_8_OCSVM_RBF_0,1_scale;0.9889;0.8722;0.9269;0.0668
Securities_VAE_2000_6000_8_OCSVM_RBF_0,2_scale;0.9933;0.7745;0.8703;0.1240
Securities_VAE_2000_6000_8_OCSVM_RBF_0,3_scale;0.9946;0.6863;0.8121;0.1908
Securities_VAE_2000_6000_8_OCSVM_RBF_0,4_scale;0.9958;0.5863;0.7380;0.2418
Securities_VAE_2000_6000_8_OCSVM_RBF_0,5_scale;0.9970;0.4923;0.6591;0.2909
Securities_VAE_2000_6000_8_OCSVM_RBF_0,6_scale;0.9967;0.3802;0.5505;0.3685
Securities_VAE_2000_6000_8_OCSVM_RBF_0,7_scale;0.9957;0.2885;0.4474;0.4206
Securities_VAE_2000_6000_8_OCSVM_RBF_0,8_scale;0.9960;0.1865;0.3142;0.4547
Securities_VAE_2000_6000_8_OCSVM_RBF_0,9_scale;0.9973;0.0940;0.1718;0.4736
Securities_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.7345;0.9965;0.8457;0.0053
Securities_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.7301;0.9968;0.8428;0.0059
Securities_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.7298;0.9968;0.8427;0.0058
Securities_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.7966;0.9940;0.8844;0.0080
Securities_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.8473;0.9915;0.9137;0.0113
Securities_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.8665;0.9838;0.9214;0.0170
Securities_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.8938;0.9765;0.9333;0.0241
Securities_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9035;0.9663;0.9338;0.0286
Securities_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9081;0.9590;0.9329;0.0345
Securities_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9220;0.9487;0.9352;0.0432
Securities_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9252;0.9370;0.9311;0.0458
Securities_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9328;0.9225;0.9276;0.0523
Securities_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9337;0.9153;0.9244;0.0615
Securities_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9351;0.9075;0.9211;0.0669
Securities_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9495;0.7985;0.8675;0.1257
Securities_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9590;0.6950;0.8059;0.1890
Securities_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9623;0.5805;0.7242;0.2536
Securities_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9656;0.4775;0.6390;0.2910
Securities_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9669;0.3730;0.5383;0.3688
Securities_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9639;0.2600;0.4095;0.4053
Securities_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9628;0.1680;0.2861;0.4672
Securities_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.9645;0.0747;0.1387;0.4851
Securities_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.8043;0.9990;0.8912;0.0033
Securities_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.8043;0.9990;0.8912;0.0037
