Parametros;Precisao;Revocacao;F1-Score;Tempo
Therapy_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.5287;0.9988;0.6914;0.0047
Therapy_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.5287;0.9988;0.6914;0.0040
Therapy_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.5287;0.9988;0.6914;0.0037
Therapy_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.9278;0.9888;0.9573;0.0061
Therapy_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.9675;0.9818;0.9746;0.0091
Therapy_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.9827;0.9663;0.9744;0.0152
Therapy_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9881;0.9540;0.9707;0.0210
Therapy_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9895;0.9447;0.9666;0.0279
Therapy_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9902;0.9330;0.9607;0.0331
Therapy_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9919;0.9180;0.9535;0.0430
Therapy_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9926;0.9093;0.9491;0.0464
Therapy_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9928;0.8970;0.9425;0.0519
Therapy_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9933;0.8900;0.9388;0.0593
Therapy_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9938;0.8800;0.9334;0.0664
Therapy_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9952;0.7812;0.8754;0.1312
Therapy_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9967;0.6713;0.8022;0.1858
Therapy_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9979;0.5833;0.7362;0.2462
Therapy_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9979;0.4843;0.6521;0.2913
Therapy_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9974;0.3892;0.5600;0.3772
Therapy_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9967;0.3025;0.4641;0.4249
Therapy_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9961;0.1933;0.3237;0.4648
Therapy_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.9976;0.1050;0.1900;0.4875
Therapy_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.5466;0.9990;0.7066;0.0039
Therapy_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.5466;0.9990;0.7066;0.0036
Therapy_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.5466;0.9990;0.7066;0.0042
Therapy_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.9568;0.9902;0.9732;0.0096
Therapy_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.9735;0.9840;0.9787;0.0095
Therapy_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.9858;0.9705;0.9781;0.0156
