Parametros;Precisao;Revocacao;F1-Score;Tempo
Arrest_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.6322;0.9980;0.7741;0.0044
Arrest_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.6322;0.9980;0.7741;0.0046
Arrest_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.6322;0.9980;0.7741;0.0042
Arrest_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.7510;0.9938;0.8555;0.0067
Arrest_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.7860;0.9908;0.8766;0.0100
Arrest_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.8461;0.9802;0.9083;0.0160
Arrest_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.8754;0.9623;0.9168;0.0223
Arrest_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.8891;0.9517;0.9193;0.0280
Arrest_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.8934;0.9405;0.9163;0.0342
Arrest_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.8982;0.9335;0.9155;0.0401
Arrest_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9022;0.9230;0.9125;0.0566
Arrest_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9070;0.9117;0.9094;0.0533
Arrest_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9094;0.9060;0.9077;0.0585
Arrest_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9119;0.8932;0.9025;0.0689
Arrest_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9305;0.7937;0.8567;0.1263
Arrest_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9372;0.7020;0.8027;0.1852
Arrest_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9425;0.6110;0.7414;0.2443
Arrest_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9513;0.4978;0.6535;0.2973
Arrest_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9582;0.4010;0.5654;0.3646
Arrest_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9601;0.2948;0.4510;0.4186
Arrest_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9645;0.1900;0.3175;0.4571
Arrest_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.9704;0.0983;0.1784;0.4953
Arrest_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.6644;0.9978;0.7976;0.0037
