Parametros;Precisao;Revocacao;F1-Score;Tempo
College_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.5519;0.9985;0.7109;0.0041
College_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.5519;0.9985;0.7109;0.0038
College_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.5519;0.9985;0.7109;0.0036
College_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.6145;0.9945;0.7596;0.0065
College_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.7650;0.9895;0.8629;0.0109
College_VAE_2000_6000_8_OCSVM_RBF_0,02_scale;0.8784;0.9788;0.9259;0.0156
College_VAE_2000_6000_8_OCSVM_RBF_0,03_scale;0.9109;0.9708;0.9399;0.0231
College_VAE_2000_6000_8_OCSVM_RBF_0,04_scale;0.9295;0.9560;0.9426;0.0286
College_VAE_2000_6000_8_OCSVM_RBF_0,05_scale;0.9384;0.9445;0.9414;0.0343
College_VAE_2000_6000_8_OCSVM_RBF_0,06_scale;0.9404;0.9350;0.9377;0.0451
College_VAE_2000_6000_8_OCSVM_RBF_0,07_scale;0.9439;0.9290;0.9364;0.0471
College_VAE_2000_6000_8_OCSVM_RBF_0,08_scale;0.9488;0.9170;0.9326;0.0586
College_VAE_2000_6000_8_OCSVM_RBF_0,09_scale;0.9537;0.9020;0.9271;0.0624
College_VAE_2000_6000_8_OCSVM_RBF_0,1_scale;0.9556;0.8980;0.9259;0.0700
College_VAE_2000_6000_8_OCSVM_RBF_0,2_scale;0.9676;0.8060;0.8794;0.1298
College_VAE_2000_6000_8_OCSVM_RBF_0,3_scale;0.9692;0.7073;0.8177;0.1915
College_VAE_2000_6000_8_OCSVM_RBF_0,4_scale;0.9739;0.6058;0.7469;0.2417
College_VAE_2000_6000_8_OCSVM_RBF_0,5_scale;0.9771;0.5122;0.6721;0.3021
College_VAE_2000_6000_8_OCSVM_RBF_0,6_scale;0.9757;0.4215;0.5887;0.3770
College_VAE_2000_6000_8_OCSVM_RBF_0,7_scale;0.9754;0.3167;0.4782;0.4110
College_VAE_2000_6000_8_OCSVM_RBF_0,8_scale;0.9770;0.2122;0.3487;0.4611
College_VAE_2000_6000_8_OCSVM_RBF_0,9_scale;0.9836;0.1047;0.1893;0.5012
College_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.6877;0.9985;0.8144;0.0046
College_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.6877;0.9985;0.8144;0.0037
College_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.6877;0.9985;0.8144;0.0071
College_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.7856;0.9940;0.8776;0.0091
College_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.8220;0.9918;0.8989;0.0096
College_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.8856;0.9775;0.9293;0.0164
College_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9109;0.9685;0.9388;0.0231
College_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9258;0.9577;0.9415;0.0291
College_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9344;0.9505;0.9424;0.0341
College_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9403;0.9375;0.9389;0.0465
College_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9433;0.9270;0.9351;0.0458
College_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9481;0.9187;0.9332;0.0646
College_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9505;0.9120;0.9308;0.0604
College_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9519;0.9050;0.9278;0.0693
College_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9635;0.8057;0.8776;0.1278
College_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9672;0.6930;0.8075;0.1963
College_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9674;0.5780;0.7236;0.2435
College_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9685;0.4835;0.6450;0.2946
College_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9705;0.3950;0.5615;0.3673
College_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9729;0.2873;0.4435;0.4271
College_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9751;0.1960;0.3264;0.4526
College_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.9828;0.1000;0.1815;0.4922
College_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.5864;0.9995;0.7391;0.0048
College_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.5864;0.9995;0.7391;0.0044
College_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.5864;0.9995;0.7391;0.0033
College_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.6708;0.9932;0.8008;0.0063
College_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.7922;0.9872;0.8790;0.0103
College_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.9067;0.9722;0.9384;0.0165
College_VAE_2000_6000_10_OCSVM_RBF_0,03_scale;0.9331;0.9593;0.9460;0.0225
College_VAE_2000_6000_10_OCSVM_RBF_0,04_scale;0.9389;0.9525;0.9456;0.0288
College_VAE_2000_6000_10_OCSVM_RBF_0,05_scale;0.9473;0.9435;0.9454;0.0339
College_VAE_2000_6000_10_OCSVM_RBF_0,06_scale;0.9499;0.9345;0.9422;0.0505
College_VAE_2000_6000_10_OCSVM_RBF_0,07_scale;0.9527;0.9263;0.9393;0.0495
College_VAE_2000_6000_10_OCSVM_RBF_0,08_scale;0.9556;0.9145;0.9346;0.0608
College_VAE_2000_6000_10_OCSVM_RBF_0,09_scale;0.9567;0.9067;0.9311;0.0582
College_VAE_2000_6000_10_OCSVM_RBF_0,1_scale;0.9582;0.9002;0.9283;0.0690
College_VAE_2000_6000_10_OCSVM_RBF_0,2_scale;0.9694;0.7925;0.8721;0.1269
College_VAE_2000_6000_10_OCSVM_RBF_0,3_scale;0.9739;0.6823;0.8024;0.1859
College_VAE_2000_6000_10_OCSVM_RBF_0,4_scale;0.9780;0.5897;0.7358;0.2467
College_VAE_2000_6000_10_OCSVM_RBF_0,5_scale;0.9805;0.4900;0.6534;0.2975
College_VAE_2000_6000_10_OCSVM_RBF_0,6_scale;0.9817;0.3887;0.5569;0.3607
College_VAE_2000_6000_10_OCSVM_RBF_0,7_scale;0.9823;0.2913;0.4493;0.4288
College_VAE_2000_6000_10_OCSVM_RBF_0,8_scale;0.9818;0.2023;0.3354;0.4481
College_VAE_2000_6000_10_OCSVM_RBF_0,9_scale;0.9803;0.0995;0.1807;0.4883
College_VAE_2000_6000_6_OCSVM_RBF_0,0001_scale;0.5178;0.9988;0.6820;0.0049
College_VAE_2000_6000_6_OCSVM_RBF_0,0005_scale;0.5175;0.9985;0.6817;0.0039
College_VAE_2000_6000_6_OCSVM_RBF_0,001_scale;0.5178;0.9988;0.6820;0.0042
College_VAE_2000_6000_6_OCSVM_RBF_0,005_scale;0.5368;0.9980;0.6981;0.0066
College_VAE_2000_6000_6_OCSVM_RBF_0,01_scale;0.6035;0.9940;0.7510;0.0094
College_VAE_2000_6000_6_OCSVM_RBF_0,02_scale;0.8064;0.9830;0.8860;0.0165
College_VAE_2000_6000_6_OCSVM_RBF_0,03_scale;0.8496;0.9702;0.9059;0.0224
College_VAE_2000_6000_6_OCSVM_RBF_0,04_scale;0.8823;0.9613;0.9201;0.0298
College_VAE_2000_6000_6_OCSVM_RBF_0,05_scale;0.8961;0.9555;0.9249;0.0354
College_VAE_2000_6000_6_OCSVM_RBF_0,06_scale;0.9092;0.9483;0.9283;0.0462
College_VAE_2000_6000_6_OCSVM_RBF_0,07_scale;0.9171;0.9375;0.9272;0.0465
College_VAE_2000_6000_6_OCSVM_RBF_0,08_scale;0.9228;0.9295;0.9261;0.0591
College_VAE_2000_6000_6_OCSVM_RBF_0,09_scale;0.9272;0.9235;0.9254;0.0580
College_VAE_2000_6000_6_OCSVM_RBF_0,1_scale;0.9304;0.9160;0.9232;0.0688
College_VAE_2000_6000_6_OCSVM_RBF_0,2_scale;0.9580;0.8097;0.8777;0.1353
College_VAE_2000_6000_6_OCSVM_RBF_0,3_scale;0.9636;0.7083;0.8164;0.1892
College_VAE_2000_6000_6_OCSVM_RBF_0,4_scale;0.9664;0.6112;0.7489;0.2518
College_VAE_2000_6000_6_OCSVM_RBF_0,5_scale;0.9692;0.5185;0.6756;0.3017
College_VAE_2000_6000_6_OCSVM_RBF_0,6_scale;0.9693;0.4180;0.5841;0.3676
College_VAE_2000_6000_6_OCSVM_RBF_0,7_scale;0.9639;0.3073;0.4660;0.4133
College_VAE_2000_6000_6_OCSVM_RBF_0,8_scale;0.9593;0.1945;0.3234;0.4604
College_VAE_2000_6000_6_OCSVM_RBF_0,9_scale;0.9600;0.0960;0.1745;0.4921
College_VAE_2000_6000_7_OCSVM_RBF_0,0001_scale;0.5290;1.0000;0.6919;0.0045
College_VAE_2000_6000_7_OCSVM_RBF_0,0005_scale;0.5290;1.0000;0.6919;0.0040
College_VAE_2000_6000_7_OCSVM_RBF_0,001_scale;0.5290;1.0000;0.6919;0.0043
College_VAE_2000_6000_7_OCSVM_RBF_0,005_scale;0.5707;0.9968;0.7258;0.0067
College_VAE_2000_6000_7_OCSVM_RBF_0,01_scale;0.6764;0.9942;0.8051;0.0099
College_VAE_2000_6000_7_OCSVM_RBF_0,02_scale;0.8618;0.9778;0.9161;0.0163
College_VAE_2000_6000_7_OCSVM_RBF_0,03_scale;0.9076;0.9700;0.9378;0.0222
College_VAE_2000_6000_7_OCSVM_RBF_0,04_scale;0.9188;0.9615;0.9397;0.0299
College_VAE_2000_6000_7_OCSVM_RBF_0,05_scale;0.9321;0.9465;0.9392;0.0344
College_VAE_2000_6000_7_OCSVM_RBF_0,06_scale;0.9410;0.9377;0.9394;0.0468
College_VAE_2000_6000_7_OCSVM_RBF_0,07_scale;0.9431;0.9287;0.9359;0.0469
College_VAE_2000_6000_7_OCSVM_RBF_0,08_scale;0.9460;0.9240;0.9349;0.0623
College_VAE_2000_6000_7_OCSVM_RBF_0,09_scale;0.9502;0.9157;0.9327;0.0606
College_VAE_2000_6000_7_OCSVM_RBF_0,1_scale;0.9528;0.9090;0.9304;0.0779
College_VAE_2000_6000_7_OCSVM_RBF_0,2_scale;0.9640;0.8173;0.8846;0.1270
College_VAE_2000_6000_7_OCSVM_RBF_0,3_scale;0.9675;0.7073;0.8172;0.1959
College_VAE_2000_6000_7_OCSVM_RBF_0,4_scale;0.9700;0.5988;0.7405;0.2507
College_VAE_2000_6000_7_OCSVM_RBF_0,5_scale;0.9704;0.4995;0.6595;0.2967
College_VAE_2000_6000_7_OCSVM_RBF_0,6_scale;0.9708;0.3985;0.5650;0.3591
College_VAE_2000_6000_7_OCSVM_RBF_0,7_scale;0.9737;0.3058;0.4654;0.4304
College_VAE_2000_6000_7_OCSVM_RBF_0,8_scale;0.9771;0.2135;0.3504;0.4610
College_VAE_2000_6000_7_OCSVM_RBF_0,9_scale;0.9782;0.1008;0.1827;0.5023
College_VAE_2000_6000_3_OCSVM_RBF_0,0001_scale;0.5156;0.9980;0.6799;0.0062
College_VAE_2000_6000_3_OCSVM_RBF_0,0005_scale;0.5176;0.9982;0.6817;0.0058
College_VAE_2000_6000_3_OCSVM_RBF_0,001_scale;0.5172;0.9982;0.6814;0.0055
College_VAE_2000_6000_3_OCSVM_RBF_0,005_scale;0.5249;0.9970;0.6877;0.0070
College_VAE_2000_6000_3_OCSVM_RBF_0,01_scale;0.5359;0.9915;0.6958;0.0111
College_VAE_2000_6000_3_OCSVM_RBF_0,02_scale;0.6982;0.9838;0.8167;0.0176
College_VAE_2000_6000_3_OCSVM_RBF_0,03_scale;0.7775;0.9740;0.8647;0.0240
College_VAE_2000_6000_3_OCSVM_RBF_0,04_scale;0.8074;0.9665;0.8798;0.0320
College_VAE_2000_6000_3_OCSVM_RBF_0,05_scale;0.8371;0.9570;0.8930;0.0354
College_VAE_2000_6000_3_OCSVM_RBF_0,06_scale;0.8662;0.9467;0.9047;0.0549
College_VAE_2000_6000_3_OCSVM_RBF_0,07_scale;0.8807;0.9413;0.9100;0.0511
