Parametros;Precisao;Revocacao;F1-Score;Tempo
Farms_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.7771;0.9990;0.8742;0.0048
Farms_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.7771;0.9990;0.8742;0.0039
Farms_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.7771;0.9990;0.8742;0.0042
Farms_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.9198;0.9950;0.9559;0.0063
Farms_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.9494;0.9888;0.9687;0.0097
Farms_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.9556;0.9852;0.9702;0.0162
Farms_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9626;0.9768;0.9696;0.0222
Farms_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9678;0.9708;0.9693;0.0288
Farms_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9704;0.9603;0.9653;0.0351
Farms_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9719;0.9515;0.9616;0.0506
Farms_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9726;0.9395;0.9557;0.0485
Farms_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9735;0.9350;0.9538;0.0521
Farms_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9753;0.9263;0.9501;0.0579
Farms_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9776;0.9180;0.9469;0.0723
Farms_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9860;0.7930;0.8790;0.1261
Farms_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9875;0.6910;0.8131;0.1905
Farms_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9877;0.5837;0.7338;0.2402
Farms_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9877;0.4823;0.6481;0.3051
Farms_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9877;0.3810;0.5499;0.3698
Farms_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9903;0.2820;0.4390;0.4107
Farms_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9933;0.1865;0.3140;0.4622
Farms_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.9947;0.0935;0.1709;0.4848
Farms_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.8553;0.9975;0.9209;0.0042
Farms_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.8553;0.9975;0.9209;0.0044
Farms_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.8553;0.9975;0.9209;0.0047
Farms_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.9278;0.9925;0.9591;0.0066
Farms_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.9492;0.9860;0.9673;0.0103
Farms_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.9664;0.9770;0.9717;0.0177
Farms_VAE_2000_6000_10_OCSVM_RBF_0,03_scale;0.9698;0.9718;0.9708;0.0232
Farms_VAE_2000_6000_10_OCSVM_RBF_0,04_scale;0.9738;0.9563;0.9649;0.0279
Farms_VAE_2000_6000_10_OCSVM_RBF_0,05_scale;0.9764;0.9420;0.9589;0.0336
Farms_VAE_2000_6000_10_OCSVM_RBF_0,06_scale;0.9770;0.9360;0.9561;0.0453
Farms_VAE_2000_6000_10_OCSVM_RBF_0,07_scale;0.9775;0.9243;0.9501;0.0467
Farms_VAE_2000_6000_10_OCSVM_RBF_0,08_scale;0.9792;0.9080;0.9423;0.0556
Farms_VAE_2000_6000_10_OCSVM_RBF_0,09_scale;0.9800;0.8965;0.9364;0.0582
Farms_VAE_2000_6000_10_OCSVM_RBF_0,1_scale;0.9802;0.8902;0.9331;0.0674
Farms_VAE_2000_6000_10_OCSVM_RBF_0,2_scale;0.9834;0.7715;0.8647;0.1275
Farms_VAE_2000_6000_10_OCSVM_RBF_0,3_scale;0.9843;0.6595;0.7898;0.1831
Farms_VAE_2000_6000_10_OCSVM_RBF_0,4_scale;0.9852;0.5643;0.7175;0.2461
Farms_VAE_2000_6000_10_OCSVM_RBF_0,5_scale;0.9853;0.4693;0.6357;0.2959
Farms_VAE_2000_6000_10_OCSVM_RBF_0,6_scale;0.9870;0.3800;0.5487;0.3786
Farms_VAE_2000_6000_10_OCSVM_RBF_0,7_scale;0.9869;0.2835;0.4405;0.4240
Farms_VAE_2000_6000_10_OCSVM_RBF_0,8_scale;0.9873;0.1750;0.2973;0.4632
Farms_VAE_2000_6000_10_OCSVM_RBF_0,9_scale;0.9835;0.0895;0.1641;0.4928
Farms_VAE_2000_6000_6_OCSVM_RBF_0,0001_scale;0.8264;0.9975;0.9039;0.0039
Farms_VAE_2000_6000_6_OCSVM_RBF_0,0005_scale;0.8264;0.9975;0.9039;0.0038
Farms_VAE_2000_6000_6_OCSVM_RBF_0,001_scale;0.8264;0.9975;0.9039;0.0034
