Parametros;Precisao;Revocacao;F1-Score;Tempo
Fraud_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.7805;0.9788;0.8685;0.0088
Fraud_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.7814;0.9875;0.8724;0.0093
Fraud_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.7802;0.9858;0.8710;0.0103
Fraud_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.7900;0.9855;0.8770;0.0117
Fraud_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.8302;0.9815;0.8995;0.0137
Fraud_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.8652;0.9692;0.9143;0.0195
Fraud_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.8735;0.9633;0.9162;0.0252
Fraud_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.8866;0.9535;0.9188;0.0312
Fraud_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9007;0.9413;0.9205;0.0356
Fraud_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9154;0.9303;0.9228;0.0470
Fraud_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9250;0.9187;0.9219;0.0477
Fraud_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9367;0.9067;0.9215;0.0519
Fraud_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9422;0.8958;0.9184;0.0583
Fraud_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9484;0.8870;0.9167;0.0725
Fraud_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9720;0.7800;0.8655;0.1326
Fraud_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9785;0.6955;0.8131;0.1827
Fraud_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9846;0.5907;0.7384;0.2468
Fraud_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9851;0.4788;0.6443;0.2995
Fraud_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9856;0.3762;0.5446;0.3423
Fraud_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9864;0.2727;0.4273;0.4040
Fraud_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9833;0.1762;0.2989;0.4364
Fraud_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.9812;0.0915;0.1674;0.4805
Fraud_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.6864;0.9930;0.8117;0.0057
Fraud_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.6828;0.9930;0.8092;0.0057
Fraud_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.6831;0.9930;0.8094;0.0082
Fraud_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.7253;0.9890;0.8369;0.0082
Fraud_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.7751;0.9840;0.8672;0.0124
Fraud_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.8448;0.9728;0.9043;0.0172
Fraud_VAE_2000_6000_10_OCSVM_RBF_0,03_scale;0.8699;0.9663;0.9156;0.0308
Fraud_VAE_2000_6000_10_OCSVM_RBF_0,04_scale;0.8922;0.9540;0.9221;0.0316
Fraud_VAE_2000_6000_10_OCSVM_RBF_0,05_scale;0.9092;0.9417;0.9252;0.0346
Fraud_VAE_2000_6000_10_OCSVM_RBF_0,06_scale;0.9264;0.9340;0.9302;0.0512
Fraud_VAE_2000_6000_10_OCSVM_RBF_0,07_scale;0.9325;0.9260;0.9293;0.0486
Fraud_VAE_2000_6000_10_OCSVM_RBF_0,08_scale;0.9434;0.9173;0.9302;0.0533
Fraud_VAE_2000_6000_10_OCSVM_RBF_0,09_scale;0.9488;0.9080;0.9280;0.0628
Fraud_VAE_2000_6000_10_OCSVM_RBF_0,1_scale;0.9549;0.8945;0.9237;0.0691
Fraud_VAE_2000_6000_10_OCSVM_RBF_0,2_scale;0.9746;0.8065;0.8826;0.1240
Fraud_VAE_2000_6000_10_OCSVM_RBF_0,3_scale;0.9852;0.6973;0.8166;0.1888
Fraud_VAE_2000_6000_10_OCSVM_RBF_0,4_scale;0.9857;0.6018;0.7473;0.2573
Fraud_VAE_2000_6000_10_OCSVM_RBF_0,5_scale;0.9876;0.4783;0.6444;0.2977
Fraud_VAE_2000_6000_10_OCSVM_RBF_0,6_scale;0.9886;0.3688;0.5371;0.3550
Fraud_VAE_2000_6000_10_OCSVM_RBF_0,7_scale;0.9911;0.2790;0.4354;0.4228
Fraud_VAE_2000_6000_10_OCSVM_RBF_0,8_scale;0.9907;0.1857;0.3128;0.4485
Fraud_VAE_2000_6000_10_OCSVM_RBF_0,9_scale;0.9910;0.0825;0.1523;0.4863
Fraud_VAE_2000_6000_6_OCSVM_RBF_0,0001_scale;0.5412;0.9988;0.7020;0.0044
Fraud_VAE_2000_6000_6_OCSVM_RBF_0,0005_scale;0.5412;0.9988;0.7020;0.0036
Fraud_VAE_2000_6000_6_OCSVM_RBF_0,001_scale;0.5412;0.9988;0.7020;0.0041
Fraud_VAE_2000_6000_6_OCSVM_RBF_0,005_scale;0.6019;0.9910;0.7489;0.0067
Fraud_VAE_2000_6000_6_OCSVM_RBF_0,01_scale;0.7328;0.9888;0.8418;0.0093
Fraud_VAE_2000_6000_6_OCSVM_RBF_0,02_scale;0.7887;0.9810;0.8744;0.0164
Fraud_VAE_2000_6000_6_OCSVM_RBF_0,03_scale;0.8494;0.9698;0.9056;0.0221
Fraud_VAE_2000_6000_6_OCSVM_RBF_0,04_scale;0.8703;0.9593;0.9126;0.0292
Fraud_VAE_2000_6000_6_OCSVM_RBF_0,05_scale;0.8891;0.9520;0.9195;0.0392
Fraud_VAE_2000_6000_6_OCSVM_RBF_0,06_scale;0.8998;0.9427;0.9208;0.0468
Fraud_VAE_2000_6000_6_OCSVM_RBF_0,07_scale;0.9098;0.9350;0.9222;0.0460
Fraud_VAE_2000_6000_6_OCSVM_RBF_0,08_scale;0.9165;0.9250;0.9207;0.0523
Fraud_VAE_2000_6000_6_OCSVM_RBF_0,09_scale;0.9223;0.9137;0.9180;0.0576
