Parametros;Precisao;Revocacao;F1-Score;Tempo
Lifestyle_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.6409;0.9995;0.7810;0.0038
Lifestyle_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.6409;0.9995;0.7810;0.0042
Lifestyle_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.6409;0.9995;0.7810;0.0041
Lifestyle_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.7570;0.9938;0.8594;0.0069
Lifestyle_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.7818;0.9925;0.8746;0.0100
Lifestyle_VAE_2000_6000_8_OCSVM_RBF_0,02_scale;0.8468;0.9852;0.9108;0.0187
Lifestyle_VAE_2000_6000_8_OCSVM_RBF_0,03_scale;0.8782;0.9790;0.9259;0.0227
Lifestyle_VAE_2000_6000_8_OCSVM_RBF_0,04_scale;0.9109;0.9663;0.9378;0.0282
Lifestyle_VAE_2000_6000_8_OCSVM_RBF_0,05_scale;0.9249;0.9580;0.9412;0.0349
Lifestyle_VAE_2000_6000_8_OCSVM_RBF_0,06_scale;0.9372;0.9395;0.9383;0.0464
Lifestyle_VAE_2000_6000_8_OCSVM_RBF_0,07_scale;0.9410;0.9297;0.9354;0.0472
Lifestyle_VAE_2000_6000_8_OCSVM_RBF_0,08_scale;0.9457;0.9235;0.9345;0.0533
Lifestyle_VAE_2000_6000_8_OCSVM_RBF_0,09_scale;0.9489;0.9100;0.9290;0.0592
Lifestyle_VAE_2000_6000_8_OCSVM_RBF_0,1_scale;0.9546;0.8990;0.9260;0.0703
Lifestyle_VAE_2000_6000_8_OCSVM_RBF_0,2_scale;0.9698;0.7960;0.8744;0.1285
Lifestyle_VAE_2000_6000_8_OCSVM_RBF_0,3_scale;0.9787;0.6895;0.8090;0.1954
Lifestyle_VAE_2000_6000_8_OCSVM_RBF_0,4_scale;0.9830;0.5930;0.7397;0.2409
Lifestyle_VAE_2000_6000_8_OCSVM_RBF_0,5_scale;0.9832;0.4835;0.6482;0.2910
