Parametros;Precisao;Revocacao;F1-Score;Tempo
Music_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.6436;0.9962;0.7820;0.0043
Music_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.6436;0.9962;0.7820;0.0039
Music_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.6436;0.9962;0.7820;0.0038
Music_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.9198;0.9868;0.9521;0.0064
Music_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.9637;0.9812;0.9724;0.0094
Music_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.9754;0.9718;0.9736;0.0155
Music_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9788;0.9603;0.9695;0.0221
Music_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9807;0.9507;0.9655;0.0281
Music_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9817;0.9397;0.9603;0.0342
Music_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9823;0.9280;0.9544;0.0431
Music_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9826;0.9183;0.9493;0.0469
Music_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9823;0.9042;0.9417;0.0526
Music_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9830;0.8958;0.9373;0.0579
Music_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9836;0.8840;0.9311;0.0754
Music_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9867;0.7792;0.8708;0.1275
Music_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9874;0.6833;0.8076;0.1889
Music_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9878;0.5665;0.7201;0.2501
Music_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9889;0.4667;0.6342;0.3090
Music_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9893;0.3713;0.5399;0.3693
Music_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9902;0.2770;0.4329;0.4250
Music_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9910;0.1920;0.3217;0.4524
Music_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.9922;0.0960;0.1751;0.5036
Music_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.7607;0.9965;0.8628;0.0038
Music_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.7536;0.9970;0.8584;0.0040
Music_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.7536;0.9970;0.8584;0.0044
Music_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.9317;0.9895;0.9597;0.0076
Music_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.9570;0.9845;0.9705;0.0097
Music_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.9778;0.9700;0.9739;0.0163
Music_VAE_2000_6000_10_OCSVM_RBF_0,03_scale;0.9791;0.9597;0.9693;0.0226
Music_VAE_2000_6000_10_OCSVM_RBF_0,04_scale;0.9799;0.9517;0.9656;0.0277
Music_VAE_2000_6000_10_OCSVM_RBF_0,05_scale;0.9815;0.9440;0.9624;0.0338
Music_VAE_2000_6000_10_OCSVM_RBF_0,06_scale;0.9818;0.9305;0.9555;0.0434
Music_VAE_2000_6000_10_OCSVM_RBF_0,07_scale;0.9824;0.9223;0.9514;0.0481
Music_VAE_2000_6000_10_OCSVM_RBF_0,08_scale;0.9835;0.9073;0.9438;0.0562
Music_VAE_2000_6000_10_OCSVM_RBF_0,09_scale;0.9846;0.8938;0.9370;0.0589
Music_VAE_2000_6000_10_OCSVM_RBF_0,1_scale;0.9846;0.8775;0.9280;0.0726
Music_VAE_2000_6000_10_OCSVM_RBF_0,2_scale;0.9864;0.7612;0.8593;0.1243
Music_VAE_2000_6000_10_OCSVM_RBF_0,3_scale;0.9880;0.6770;0.8034;0.1871
Music_VAE_2000_6000_10_OCSVM_RBF_0,4_scale;0.9890;0.5833;0.7338;0.2594
Music_VAE_2000_6000_10_OCSVM_RBF_0,5_scale;0.9902;0.4783;0.6450;0.2955
Music_VAE_2000_6000_10_OCSVM_RBF_0,6_scale;0.9903;0.4093;0.5792;0.3522
Music_VAE_2000_6000_10_OCSVM_RBF_0,7_scale;0.9900;0.3210;0.4848;0.4163
Music_VAE_2000_6000_10_OCSVM_RBF_0,8_scale;0.9899;0.2210;0.3613;0.4715
Music_VAE_2000_6000_10_OCSVM_RBF_0,9_scale;0.9864;0.1090;0.1963;0.4884
Music_VAE_2000_6000_6_OCSVM_RBF_0,0001_scale;0.5421;0.9970;0.7023;0.0039
Music_VAE_2000_6000_6_OCSVM_RBF_0,0005_scale;0.5421;0.9970;0.7023;0.0034
Music_VAE_2000_6000_6_OCSVM_RBF_0,001_scale;0.5421;0.9970;0.7023;0.0036
Music_VAE_2000_6000_6_OCSVM_RBF_0,005_scale;0.7463;0.9892;0.8508;0.0068
Music_VAE_2000_6000_6_OCSVM_RBF_0,01_scale;0.9364;0.9828;0.9590;0.0101
Music_VAE_2000_6000_6_OCSVM_RBF_0,02_scale;0.9655;0.9720;0.9687;0.0156
Music_VAE_2000_6000_6_OCSVM_RBF_0,03_scale;0.9711;0.9653;0.9682;0.0225
Music_VAE_2000_6000_6_OCSVM_RBF_0,04_scale;0.9741;0.9580;0.9660;0.0284
Music_VAE_2000_6000_6_OCSVM_RBF_0,05_scale;0.9768;0.9475;0.9619;0.0343
Music_VAE_2000_6000_6_OCSVM_RBF_0,06_scale;0.9778;0.9350;0.9559;0.0395
Music_VAE_2000_6000_6_OCSVM_RBF_0,07_scale;0.9781;0.9277;0.9523;0.0496
Music_VAE_2000_6000_6_OCSVM_RBF_0,08_scale;0.9798;0.9213;0.9496;0.0510
Music_VAE_2000_6000_6_OCSVM_RBF_0,09_scale;0.9798;0.9115;0.9444;0.0597
Music_VAE_2000_6000_6_OCSVM_RBF_0,1_scale;0.9809;0.8978;0.9375;0.0699
Music_VAE_2000_6000_6_OCSVM_RBF_0,2_scale;0.9843;0.7820;0.8716;0.1290
Music_VAE_2000_6000_6_OCSVM_RBF_0,3_scale;0.9857;0.6723;0.7993;0.1785
Music_VAE_2000_6000_6_OCSVM_RBF_0,4_scale;0.9871;0.5745;0.7263;0.2521
Music_VAE_2000_6000_6_OCSVM_RBF_0,5_scale;0.9880;0.4960;0.6605;0.2885
Music_VAE_2000_6000_6_OCSVM_RBF_0,6_scale;0.9907;0.4280;0.5978;0.3635
Music_VAE_2000_6000_6_OCSVM_RBF_0,7_scale;0.9896;0.3327;0.4980;0.4077
Music_VAE_2000_6000_6_OCSVM_RBF_0,8_scale;0.9899;0.2200;0.3600;0.4684
Music_VAE_2000_6000_6_OCSVM_RBF_0,9_scale;0.9804;0.1000;0.1815;0.4870
Music_VAE_2000_6000_7_OCSVM_RBF_0,0001_scale;0.5490;0.9962;0.7079;0.0042
Music_VAE_2000_6000_7_OCSVM_RBF_0,0005_scale;0.5479;0.9962;0.7070;0.0040
Music_VAE_2000_6000_7_OCSVM_RBF_0,001_scale;0.5479;0.9962;0.7070;0.0038
Music_VAE_2000_6000_7_OCSVM_RBF_0,005_scale;0.7995;0.9900;0.8846;0.0067
Music_VAE_2000_6000_7_OCSVM_RBF_0,01_scale;0.9452;0.9828;0.9636;0.0098
Music_VAE_2000_6000_7_OCSVM_RBF_0,02_scale;0.9648;0.9718;0.9682;0.0158
Music_VAE_2000_6000_7_OCSVM_RBF_0,03_scale;0.9667;0.9653;0.9660;0.0216
Music_VAE_2000_6000_7_OCSVM_RBF_0,04_scale;0.9702;0.9595;0.9648;0.0279
Music_VAE_2000_6000_7_OCSVM_RBF_0,05_scale;0.9725;0.9475;0.9599;0.0340
Music_VAE_2000_6000_7_OCSVM_RBF_0,06_scale;0.9757;0.9355;0.9552;0.0458
Music_VAE_2000_6000_7_OCSVM_RBF_0,07_scale;0.9763;0.9267;0.9509;0.0500
Music_VAE_2000_6000_7_OCSVM_RBF_0,08_scale;0.9773;0.9167;0.9461;0.0521
Music_VAE_2000_6000_7_OCSVM_RBF_0,09_scale;0.9789;0.9048;0.9404;0.0589
Music_VAE_2000_6000_7_OCSVM_RBF_0,1_scale;0.9794;0.8912;0.9332;0.0723
Music_VAE_2000_6000_7_OCSVM_RBF_0,2_scale;0.9841;0.7870;0.8746;0.1277
Music_VAE_2000_6000_7_OCSVM_RBF_0,3_scale;0.9854;0.6753;0.8014;0.2129
Music_VAE_2000_6000_7_OCSVM_RBF_0,4_scale;0.9858;0.5745;0.7260;0.2422
Music_VAE_2000_6000_7_OCSVM_RBF_0,5_scale;0.9870;0.4763;0.6425;0.3027
Music_VAE_2000_6000_7_OCSVM_RBF_0,6_scale;0.9849;0.3902;0.5590;0.3601
Music_VAE_2000_6000_7_OCSVM_RBF_0,7_scale;0.9846;0.3030;0.4634;0.4150
Music_VAE_2000_6000_7_OCSVM_RBF_0,8_scale;0.9812;0.2092;0.3449;0.4633
Music_VAE_2000_6000_7_OCSVM_RBF_0,9_scale;0.9792;0.1175;0.2098;0.4958
Music_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.5958;0.9972;0.7460;0.0056
Music_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.5958;0.9972;0.7460;0.0040
Music_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.5958;0.9972;0.7460;0.0035
Music_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.8969;0.9892;0.9408;0.0068
Music_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.9552;0.9808;0.9678;0.0107
