Parametros;Precisao;Revocacao;F1-Score;Tempo
Shareholder_VAE_1756_5270_9_OCSVM_RBF_0,0001_scale;0.5610;0.9997;0.7187;0.0047
Shareholder_VAE_1756_5270_9_OCSVM_RBF_0,0005_scale;0.5610;0.9997;0.7187;0.0038
Shareholder_VAE_1756_5270_9_OCSVM_RBF_0,001_scale;0.5610;0.9997;0.7187;0.0047
Shareholder_VAE_1756_5270_9_OCSVM_RBF_0,005_scale;0.9145;0.9858;0.9488;0.0061
Shareholder_VAE_1756_5270_9_OCSVM_RBF_0,01_scale;0.9411;0.9732;0.9569;0.0085
Shareholder_VAE_1756_5270_9_OCSVM_RBF_0,02_scale;0.9523;0.9593;0.9558;0.0138
Shareholder_VAE_1756_5270_9_OCSVM_RBF_0,03_scale;0.9649;0.9385;0.9515;0.0178
Shareholder_VAE_1756_5270_9_OCSVM_RBF_0,04_scale;0.9694;0.9112;0.9394;0.0226
Shareholder_VAE_1756_5270_9_OCSVM_RBF_0,05_scale;0.9739;0.8936;0.9320;0.0279
Shareholder_VAE_1756_5270_9_OCSVM_RBF_0,06_scale;0.9758;0.8839;0.9276;0.0358
Shareholder_VAE_1756_5270_9_OCSVM_RBF_0,07_scale;0.9770;0.8688;0.9197;0.0598
Shareholder_VAE_1756_5270_9_OCSVM_RBF_0,08_scale;0.9787;0.8489;0.9092;0.0493
Shareholder_VAE_1756_5270_9_OCSVM_RBF_0,09_scale;0.9787;0.8367;0.9021;0.0475
Shareholder_VAE_1756_5270_9_OCSVM_RBF_0,1_scale;0.9793;0.8204;0.8928;0.0513
Shareholder_VAE_1756_5270_9_OCSVM_RBF_0,2_scale;0.9850;0.6744;0.8007;0.1021
Shareholder_VAE_1756_5270_9_OCSVM_RBF_0,3_scale;0.9865;0.5814;0.7316;0.1421
Shareholder_VAE_1756_5270_9_OCSVM_RBF_0,4_scale;0.9873;0.4872;0.6524;0.1945
Shareholder_VAE_1756_5270_9_OCSVM_RBF_0,5_scale;0.9906;0.3896;0.5592;0.2362
Shareholder_VAE_1756_5270_9_OCSVM_RBF_0,6_scale;0.9917;0.3059;0.4676;0.3018
Shareholder_VAE_1756_5270_9_OCSVM_RBF_0,7_scale;0.9903;0.2331;0.3773;0.3177
Shareholder_VAE_1756_5270_9_OCSVM_RBF_0,8_scale;0.9877;0.1599;0.2753;0.3652
Shareholder_VAE_1756_5270_9_OCSVM_RBF_0,9_scale;0.9933;0.0839;0.1548;0.3815
Shareholder_VAE_1756_5270_10_OCSVM_RBF_0,0001_scale;0.5706;0.9966;0.7257;0.0037
Shareholder_VAE_1756_5270_10_OCSVM_RBF_0,0005_scale;0.5706;0.9966;0.7257;0.0034
Shareholder_VAE_1756_5270_10_OCSVM_RBF_0,001_scale;0.5706;0.9966;0.7257;0.0030
Shareholder_VAE_1756_5270_10_OCSVM_RBF_0,005_scale;0.9218;0.9829;0.9514;0.0056
Shareholder_VAE_1756_5270_10_OCSVM_RBF_0,01_scale;0.9343;0.9715;0.9526;0.0077
Shareholder_VAE_1756_5270_10_OCSVM_RBF_0,02_scale;0.9529;0.9505;0.9517;0.0132
Shareholder_VAE_1756_5270_10_OCSVM_RBF_0,03_scale;0.9623;0.9308;0.9463;0.0185
Shareholder_VAE_1756_5270_10_OCSVM_RBF_0,04_scale;0.9661;0.9166;0.9407;0.0252
Shareholder_VAE_1756_5270_10_OCSVM_RBF_0,05_scale;0.9691;0.9024;0.9346;0.0293
Shareholder_VAE_1756_5270_10_OCSVM_RBF_0,06_scale;0.9719;0.8845;0.9261;0.0322
Shareholder_VAE_1756_5270_10_OCSVM_RBF_0,07_scale;0.9730;0.8711;0.9192;0.0437
Shareholder_VAE_1756_5270_10_OCSVM_RBF_0,08_scale;0.9754;0.8566;0.9121;0.0424
Shareholder_VAE_1756_5270_10_OCSVM_RBF_0,09_scale;0.9756;0.8418;0.9038;0.0464
Shareholder_VAE_1756_5270_10_OCSVM_RBF_0,1_scale;0.9765;0.8264;0.8952;0.0510
Shareholder_VAE_1756_5270_10_OCSVM_RBF_0,2_scale;0.9838;0.6927;0.8130;0.1101
Shareholder_VAE_1756_5270_10_OCSVM_RBF_0,3_scale;0.9854;0.5970;0.7436;0.1430
Shareholder_VAE_1756_5270_10_OCSVM_RBF_0,4_scale;0.9852;0.4929;0.6571;0.2042
Shareholder_VAE_1756_5270_10_OCSVM_RBF_0,5_scale;0.9853;0.3998;0.5688;0.2355
Shareholder_VAE_1756_5270_10_OCSVM_RBF_0,6_scale;0.9859;0.3179;0.4807;0.2723
Shareholder_VAE_1756_5270_10_OCSVM_RBF_0,7_scale;0.9855;0.2319;0.3755;0.3199
Shareholder_VAE_1756_5270_10_OCSVM_RBF_0,8_scale;0.9838;0.1554;0.2684;0.3511
Shareholder_VAE_1756_5270_10_OCSVM_RBF_0,9_scale;0.9844;0.0720;0.1342;0.3738
Shareholder_VAE_1756_5270_6_OCSVM_RBF_0,0001_scale;0.5361;0.9963;0.6971;0.0046
Shareholder_VAE_1756_5270_6_OCSVM_RBF_0,0005_scale;0.5355;0.9972;0.6968;0.0040
Shareholder_VAE_1756_5270_6_OCSVM_RBF_0,001_scale;0.5360;0.9972;0.6972;0.0048
Shareholder_VAE_1756_5270_6_OCSVM_RBF_0,005_scale;0.8795;0.9886;0.9309;0.0067
Shareholder_VAE_1756_5270_6_OCSVM_RBF_0,01_scale;0.9301;0.9767;0.9528;0.0079
Shareholder_VAE_1756_5270_6_OCSVM_RBF_0,02_scale;0.9461;0.9599;0.9530;0.0123
Shareholder_VAE_1756_5270_6_OCSVM_RBF_0,03_scale;0.9595;0.9377;0.9485;0.0170
Shareholder_VAE_1756_5270_6_OCSVM_RBF_0,04_scale;0.9653;0.9249;0.9446;0.0217
Shareholder_VAE_1756_5270_6_OCSVM_RBF_0,05_scale;0.9684;0.9075;0.9370;0.0263
Shareholder_VAE_1756_5270_6_OCSVM_RBF_0,06_scale;0.9715;0.8910;0.9295;0.0318
Shareholder_VAE_1756_5270_6_OCSVM_RBF_0,07_scale;0.9729;0.8782;0.9231;0.0418
Shareholder_VAE_1756_5270_6_OCSVM_RBF_0,08_scale;0.9750;0.8660;0.9173;0.0421
Shareholder_VAE_1756_5270_6_OCSVM_RBF_0,09_scale;0.9758;0.8483;0.9076;0.0460
Shareholder_VAE_1756_5270_6_OCSVM_RBF_0,1_scale;0.9771;0.8273;0.8960;0.0561
Shareholder_VAE_1756_5270_6_OCSVM_RBF_0,2_scale;0.9836;0.6833;0.8064;0.1080
