Parametros;Precisao;Revocacao;F1-Score;Tempo
Celebrity_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.8112;0.9970;0.8946;0.0040
Celebrity_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.8112;0.9970;0.8946;0.0039
Celebrity_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.8112;0.9970;0.8946;0.0045
Celebrity_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.8988;0.9908;0.9426;0.0068
Celebrity_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.9203;0.9815;0.9499;0.0099
Celebrity_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.9370;0.9712;0.9538;0.0166
Celebrity_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9499;0.9613;0.9555;0.0224
Celebrity_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9614;0.9470;0.9542;0.0294
Celebrity_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9659;0.9405;0.9530;0.0340
Celebrity_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9699;0.9260;0.9474;0.0452
Celebrity_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9731;0.9137;0.9425;0.0459
Celebrity_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9775;0.9025;0.9385;0.0526
Celebrity_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9789;0.8932;0.9341;0.0605
Celebrity_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9787;0.8860;0.9301;0.0683
Celebrity_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9871;0.7857;0.8750;0.1355
Celebrity_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9883;0.6773;0.8037;0.1976
Celebrity_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9898;0.5845;0.7350;0.2416
Celebrity_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9905;0.4948;0.6599;0.3063
Celebrity_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9924;0.3927;0.5628;0.3666
Celebrity_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9932;0.2928;0.4522;0.4074
Celebrity_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9929;0.2097;0.3463;0.4691
Celebrity_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.9905;0.1042;0.1886;0.4894
Celebrity_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.8159;0.9960;0.8970;0.0036
Celebrity_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.8159;0.9960;0.8970;0.0036
Celebrity_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.8159;0.9960;0.8970;0.0037
Celebrity_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.9074;0.9870;0.9455;0.0073
Celebrity_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.9309;0.9802;0.9549;0.0093
Celebrity_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.9561;0.9645;0.9603;0.0154
Celebrity_VAE_2000_6000_10_OCSVM_RBF_0,03_scale;0.9655;0.9453;0.9553;0.0214
Celebrity_VAE_2000_6000_10_OCSVM_RBF_0,04_scale;0.9693;0.9250;0.9467;0.0280
Celebrity_VAE_2000_6000_10_OCSVM_RBF_0,05_scale;0.9724;0.9153;0.9429;0.0347
Celebrity_VAE_2000_6000_10_OCSVM_RBF_0,06_scale;0.9739;0.9035;0.9374;0.0407
Celebrity_VAE_2000_6000_10_OCSVM_RBF_0,07_scale;0.9750;0.8965;0.9341;0.0551
Celebrity_VAE_2000_6000_10_OCSVM_RBF_0,08_scale;0.9771;0.8838;0.9281;0.0540
Celebrity_VAE_2000_6000_10_OCSVM_RBF_0,09_scale;0.9777;0.8788;0.9256;0.0599
Celebrity_VAE_2000_6000_10_OCSVM_RBF_0,1_scale;0.9785;0.8665;0.9191;0.0633
Celebrity_VAE_2000_6000_10_OCSVM_RBF_0,2_scale;0.9824;0.7665;0.8611;0.1363
Celebrity_VAE_2000_6000_10_OCSVM_RBF_0,3_scale;0.9856;0.6837;0.8074;0.1823
Celebrity_VAE_2000_6000_10_OCSVM_RBF_0,4_scale;0.9881;0.5813;0.7319;0.2399
Celebrity_VAE_2000_6000_10_OCSVM_RBF_0,5_scale;0.9878;0.4855;0.6510;0.3177
Celebrity_VAE_2000_6000_10_OCSVM_RBF_0,6_scale;0.9880;0.3922;0.5616;0.3643
Celebrity_VAE_2000_6000_10_OCSVM_RBF_0,7_scale;0.9892;0.2988;0.4589;0.4131
Celebrity_VAE_2000_6000_10_OCSVM_RBF_0,8_scale;0.9881;0.1870;0.3145;0.4671
Celebrity_VAE_2000_6000_10_OCSVM_RBF_0,9_scale;0.9856;0.0855;0.1573;0.4850
Celebrity_VAE_2000_6000_6_OCSVM_RBF_0,0001_scale;0.7362;0.9978;0.8473;0.0045
Celebrity_VAE_2000_6000_6_OCSVM_RBF_0,0005_scale;0.7362;0.9978;0.8473;0.0042
Celebrity_VAE_2000_6000_6_OCSVM_RBF_0,001_scale;0.7362;0.9978;0.8473;0.0038
Celebrity_VAE_2000_6000_6_OCSVM_RBF_0,005_scale;0.8144;0.9952;0.8958;0.0072
Celebrity_VAE_2000_6000_6_OCSVM_RBF_0,01_scale;0.8420;0.9910;0.9104;0.0093
Celebrity_VAE_2000_6000_6_OCSVM_RBF_0,02_scale;0.9273;0.9820;0.9539;0.0184
Celebrity_VAE_2000_6000_6_OCSVM_RBF_0,03_scale;0.9517;0.9655;0.9586;0.0220
Celebrity_VAE_2000_6000_6_OCSVM_RBF_0,04_scale;0.9633;0.9507;0.9570;0.0284
Celebrity_VAE_2000_6000_6_OCSVM_RBF_0,05_scale;0.9677;0.9423;0.9548;0.0352
Celebrity_VAE_2000_6000_6_OCSVM_RBF_0,06_scale;0.9712;0.9347;0.9526;0.0446
Celebrity_VAE_2000_6000_6_OCSVM_RBF_0,07_scale;0.9724;0.9263;0.9488;0.0488
Celebrity_VAE_2000_6000_6_OCSVM_RBF_0,08_scale;0.9754;0.9123;0.9428;0.0530
Celebrity_VAE_2000_6000_6_OCSVM_RBF_0,09_scale;0.9784;0.8962;0.9355;0.0603
Celebrity_VAE_2000_6000_6_OCSVM_RBF_0,1_scale;0.9790;0.8872;0.9309;0.0746
Celebrity_VAE_2000_6000_6_OCSVM_RBF_0,2_scale;0.9850;0.7905;0.8771;0.1295
Celebrity_VAE_2000_6000_6_OCSVM_RBF_0,3_scale;0.9856;0.7003;0.8188;0.1842
Celebrity_VAE_2000_6000_6_OCSVM_RBF_0,4_scale;0.9875;0.5910;0.7394;0.2548
Celebrity_VAE_2000_6000_6_OCSVM_RBF_0,5_scale;0.9906;0.4983;0.6630;0.2956
Celebrity_VAE_2000_6000_6_OCSVM_RBF_0,6_scale;0.9896;0.4047;0.5745;0.3789
Celebrity_VAE_2000_6000_6_OCSVM_RBF_0,7_scale;0.9908;0.2975;0.4576;0.4203
Celebrity_VAE_2000_6000_6_OCSVM_RBF_0,8_scale;0.9898;0.1933;0.3234;0.4549
Celebrity_VAE_2000_6000_6_OCSVM_RBF_0,9_scale;0.9890;0.0897;0.1646;0.4913
Celebrity_VAE_2000_6000_7_OCSVM_RBF_0,0001_scale;0.7993;0.9975;0.8875;0.0041
Celebrity_VAE_2000_6000_7_OCSVM_RBF_0,0005_scale;0.7993;0.9975;0.8875;0.0039
Celebrity_VAE_2000_6000_7_OCSVM_RBF_0,001_scale;0.7993;0.9975;0.8875;0.0044
Celebrity_VAE_2000_6000_7_OCSVM_RBF_0,005_scale;0.8739;0.9930;0.9297;0.0065
Celebrity_VAE_2000_6000_7_OCSVM_RBF_0,01_scale;0.8861;0.9882;0.9344;0.0110
Celebrity_VAE_2000_6000_7_OCSVM_RBF_0,02_scale;0.9168;0.9808;0.9477;0.0178
Celebrity_VAE_2000_6000_7_OCSVM_RBF_0,03_scale;0.9528;0.9580;0.9554;0.0229
Celebrity_VAE_2000_6000_7_OCSVM_RBF_0,04_scale;0.9577;0.9505;0.9541;0.0289
Celebrity_VAE_2000_6000_7_OCSVM_RBF_0,05_scale;0.9632;0.9420;0.9525;0.0344
Celebrity_VAE_2000_6000_7_OCSVM_RBF_0,06_scale;0.9675;0.9303;0.9485;0.0511
Celebrity_VAE_2000_6000_7_OCSVM_RBF_0,07_scale;0.9726;0.9147;0.9428;0.0468
Celebrity_VAE_2000_6000_7_OCSVM_RBF_0,08_scale;0.9754;0.9018;0.9371;0.0524
Celebrity_VAE_2000_6000_7_OCSVM_RBF_0,09_scale;0.9766;0.8888;0.9306;0.0593
Celebrity_VAE_2000_6000_7_OCSVM_RBF_0,1_scale;0.9773;0.8812;0.9268;0.0671
Celebrity_VAE_2000_6000_7_OCSVM_RBF_0,2_scale;0.9852;0.7815;0.8716;0.1300
Celebrity_VAE_2000_6000_7_OCSVM_RBF_0,3_scale;0.9866;0.6983;0.8177;0.1886
Celebrity_VAE_2000_6000_7_OCSVM_RBF_0,4_scale;0.9888;0.5945;0.7425;0.2501
Celebrity_VAE_2000_6000_7_OCSVM_RBF_0,5_scale;0.9894;0.4918;0.6570;0.3060
Celebrity_VAE_2000_6000_7_OCSVM_RBF_0,6_scale;0.9892;0.3877;0.5571;0.3786
Celebrity_VAE_2000_6000_7_OCSVM_RBF_0,7_scale;0.9894;0.3028;0.4636;0.4313
Celebrity_VAE_2000_6000_7_OCSVM_RBF_0,8_scale;0.9925;0.1995;0.3322;0.4933
Celebrity_VAE_2000_6000_7_OCSVM_RBF_0,9_scale;0.9920;0.0925;0.1692;0.4923
Celebrity_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.7426;0.9978;0.8515;0.0042
Celebrity_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.7426;0.9978;0.8515;0.0039
Celebrity_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.7426;0.9978;0.8515;0.0035
Celebrity_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.8339;0.9942;0.9071;0.0066
Celebrity_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.8516;0.9888;0.9151;0.0099
Celebrity_VAE_2000_6000_8_OCSVM_RBF_0,02_scale;0.9229;0.9810;0.9510;0.0155
Celebrity_VAE_2000_6000_8_OCSVM_RBF_0,03_scale;0.9575;0.9620;0.9597;0.0226
Celebrity_VAE_2000_6000_8_OCSVM_RBF_0,04_scale;0.9650;0.9510;0.9579;0.0300
Celebrity_VAE_2000_6000_8_OCSVM_RBF_0,05_scale;0.9680;0.9367;0.9521;0.0363
Celebrity_VAE_2000_6000_8_OCSVM_RBF_0,06_scale;0.9717;0.9265;0.9486;0.0399
Celebrity_VAE_2000_6000_8_OCSVM_RBF_0,07_scale;0.9743;0.9185;0.9456;0.0484
Celebrity_VAE_2000_6000_8_OCSVM_RBF_0,08_scale;0.9763;0.9045;0.9390;0.0557
Celebrity_VAE_2000_6000_8_OCSVM_RBF_0,09_scale;0.9776;0.8940;0.9339;0.0595
Celebrity_VAE_2000_6000_8_OCSVM_RBF_0,1_scale;0.9801;0.8848;0.9300;0.0688
Celebrity_VAE_2000_6000_8_OCSVM_RBF_0,2_scale;0.9855;0.7825;0.8724;0.1282
Celebrity_VAE_2000_6000_8_OCSVM_RBF_0,3_scale;0.9875;0.6907;0.8129;0.1859
Celebrity_VAE_2000_6000_8_OCSVM_RBF_0,4_scale;0.9903;0.5850;0.7355;0.2565
