Parametros;Precisao;Revocacao;F1-Score;Tempo
Divorce_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.6132;0.9980;0.7597;0.0032
Divorce_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.6132;0.9980;0.7597;0.0045
Divorce_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.6132;0.9980;0.7597;0.0039
Divorce_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.7176;0.9925;0.8330;0.0064
Divorce_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.8136;0.9900;0.8932;0.0100
Divorce_VAE_2000_6000_8_OCSVM_RBF_0,02_scale;0.9540;0.9795;0.9666;0.0157
Divorce_VAE_2000_6000_8_OCSVM_RBF_0,03_scale;0.9798;0.9715;0.9756;0.0222
Divorce_VAE_2000_6000_8_OCSVM_RBF_0,04_scale;0.9859;0.9627;0.9742;0.0292
Divorce_VAE_2000_6000_8_OCSVM_RBF_0,05_scale;0.9881;0.9553;0.9714;0.0363
Divorce_VAE_2000_6000_8_OCSVM_RBF_0,06_scale;0.9899;0.9510;0.9700;0.0432
Divorce_VAE_2000_6000_8_OCSVM_RBF_0,07_scale;0.9921;0.9370;0.9637;0.0451
Divorce_VAE_2000_6000_8_OCSVM_RBF_0,08_scale;0.9938;0.9220;0.9566;0.0516
Divorce_VAE_2000_6000_8_OCSVM_RBF_0,09_scale;0.9943;0.9110;0.9508;0.0593
Divorce_VAE_2000_6000_8_OCSVM_RBF_0,1_scale;0.9945;0.9008;0.9453;0.0687
Divorce_VAE_2000_6000_8_OCSVM_RBF_0,2_scale;0.9962;0.7953;0.8845;0.1301
Divorce_VAE_2000_6000_8_OCSVM_RBF_0,3_scale;0.9975;0.6917;0.8169;0.1869
Divorce_VAE_2000_6000_8_OCSVM_RBF_0,4_scale;0.9983;0.5885;0.7405;0.2458
Divorce_VAE_2000_6000_8_OCSVM_RBF_0,5_scale;0.9980;0.4993;0.6656;0.3143
Divorce_VAE_2000_6000_8_OCSVM_RBF_0,6_scale;0.9976;0.4073;0.5784;0.3634
Divorce_VAE_2000_6000_8_OCSVM_RBF_0,7_scale;0.9975;0.2955;0.4559;0.4176
Divorce_VAE_2000_6000_8_OCSVM_RBF_0,8_scale;0.9987;0.1943;0.3252;0.4650
Divorce_VAE_2000_6000_8_OCSVM_RBF_0,9_scale;1.0000;0.1042;0.1888;0.4871
Divorce_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.6980;0.9968;0.8210;0.0051
Divorce_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.7017;0.9970;0.8237;0.0053
Divorce_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.6985;0.9968;0.8214;0.0053
Divorce_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.8732;0.9902;0.9281;0.0079
Divorce_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.9097;0.9845;0.9456;0.0115
Divorce_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.9697;0.9758;0.9727;0.0198
Divorce_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9847;0.9633;0.9738;0.0255
Divorce_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9893;0.9465;0.9674;0.0292
Divorce_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9910;0.9327;0.9610;0.0387
Divorce_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9925;0.9255;0.9578;0.0579
Divorce_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9932;0.9155;0.9528;0.0496
Divorce_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9942;0.9073;0.9488;0.0527
Divorce_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9945;0.8960;0.9427;0.0620
Divorce_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9950;0.8870;0.9379;0.0766
Divorce_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9968;0.7792;0.8747;0.1334
Divorce_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9978;0.6737;0.8044;0.1895
Divorce_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9983;0.5750;0.7297;0.2820
Divorce_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9984;0.4743;0.6431;0.3104
Divorce_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9980;0.3713;0.5412;0.3628
Divorce_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9973;0.2812;0.4388;0.4424
Divorce_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9958;0.1787;0.3031;0.4637
Divorce_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;1.0000;0.0887;0.1630;0.4975
Divorce_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.7865;0.9968;0.8793;0.0060
Divorce_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.7865;0.9968;0.8793;0.0050
Divorce_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.7865;0.9968;0.8793;0.0044
Divorce_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.9147;0.9918;0.9517;0.0082
Divorce_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.9478;0.9842;0.9657;0.0103
Divorce_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.9757;0.9735;0.9746;0.0156
Divorce_VAE_2000_6000_10_OCSVM_RBF_0,03_scale;0.9817;0.9663;0.9739;0.0225
Divorce_VAE_2000_6000_10_OCSVM_RBF_0,04_scale;0.9848;0.9557;0.9701;0.0278
Divorce_VAE_2000_6000_10_OCSVM_RBF_0,05_scale;0.9877;0.9435;0.9651;0.0390
Divorce_VAE_2000_6000_10_OCSVM_RBF_0,06_scale;0.9886;0.9360;0.9616;0.0449
Divorce_VAE_2000_6000_10_OCSVM_RBF_0,07_scale;0.9909;0.9233;0.9559;0.0477
Divorce_VAE_2000_6000_10_OCSVM_RBF_0,08_scale;0.9924;0.9093;0.9490;0.0581
Divorce_VAE_2000_6000_10_OCSVM_RBF_0,09_scale;0.9936;0.8958;0.9422;0.0575
Divorce_VAE_2000_6000_10_OCSVM_RBF_0,1_scale;0.9941;0.8800;0.9336;0.0835
Divorce_VAE_2000_6000_10_OCSVM_RBF_0,2_scale;0.9961;0.7652;0.8655;0.1286
Divorce_VAE_2000_6000_10_OCSVM_RBF_0,3_scale;0.9970;0.6577;0.7926;0.1862
Divorce_VAE_2000_6000_10_OCSVM_RBF_0,4_scale;0.9978;0.5723;0.7274;0.2503
Divorce_VAE_2000_6000_10_OCSVM_RBF_0,5_scale;0.9979;0.4725;0.6413;0.3131
Divorce_VAE_2000_6000_10_OCSVM_RBF_0,6_scale;0.9980;0.3807;0.5512;0.3627
Divorce_VAE_2000_6000_10_OCSVM_RBF_0,7_scale;0.9983;0.2908;0.4503;0.4149
Divorce_VAE_2000_6000_10_OCSVM_RBF_0,8_scale;0.9988;0.2023;0.3364;0.4650
Divorce_VAE_2000_6000_10_OCSVM_RBF_0,9_scale;1.0000;0.1098;0.1978;0.5066
Divorce_VAE_2000_6000_6_OCSVM_RBF_0,0001_scale;0.5292;1.0000;0.6921;0.0041
Divorce_VAE_2000_6000_6_OCSVM_RBF_0,0005_scale;0.5292;1.0000;0.6921;0.0035
Divorce_VAE_2000_6000_6_OCSVM_RBF_0,001_scale;0.5292;1.0000;0.6921;0.0036
Divorce_VAE_2000_6000_6_OCSVM_RBF_0,005_scale;0.6209;0.9928;0.7639;0.0064
Divorce_VAE_2000_6000_6_OCSVM_RBF_0,01_scale;0.6934;0.9888;0.8151;0.0104
Divorce_VAE_2000_6000_6_OCSVM_RBF_0,02_scale;0.8907;0.9795;0.9330;0.0153
Divorce_VAE_2000_6000_6_OCSVM_RBF_0,03_scale;0.9724;0.9683;0.9703;0.0220
Divorce_VAE_2000_6000_6_OCSVM_RBF_0,04_scale;0.9817;0.9535;0.9674;0.0276
Divorce_VAE_2000_6000_6_OCSVM_RBF_0,05_scale;0.9849;0.9447;0.9644;0.0336
Divorce_VAE_2000_6000_6_OCSVM_RBF_0,06_scale;0.9858;0.9345;0.9594;0.0395
Divorce_VAE_2000_6000_6_OCSVM_RBF_0,07_scale;0.9867;0.9300;0.9575;0.0490
Divorce_VAE_2000_6000_6_OCSVM_RBF_0,08_scale;0.9884;0.9175;0.9516;0.0508
Divorce_VAE_2000_6000_6_OCSVM_RBF_0,09_scale;0.9904;0.9048;0.9456;0.0590
Divorce_VAE_2000_6000_6_OCSVM_RBF_0,1_scale;0.9908;0.8882;0.9367;0.0671
Divorce_VAE_2000_6000_6_OCSVM_RBF_0,2_scale;0.9965;0.7897;0.8812;0.1318
Divorce_VAE_2000_6000_6_OCSVM_RBF_0,3_scale;0.9975;0.6933;0.8180;0.1841
Divorce_VAE_2000_6000_6_OCSVM_RBF_0,4_scale;0.9979;0.6018;0.7508;0.2674
Divorce_VAE_2000_6000_6_OCSVM_RBF_0,5_scale;0.9995;0.5052;0.6712;0.2937
Divorce_VAE_2000_6000_6_OCSVM_RBF_0,6_scale;1.0000;0.4098;0.5813;0.3608
Divorce_VAE_2000_6000_6_OCSVM_RBF_0,7_scale;1.0000;0.3177;0.4823;0.4467
Divorce_VAE_2000_6000_6_OCSVM_RBF_0,8_scale;1.0000;0.2318;0.3763;0.4633
Divorce_VAE_2000_6000_6_OCSVM_RBF_0,9_scale;1.0000;0.1025;0.1859;0.4906
