Parametros;Precisao;Revocacao;F1-Score;Tempo
Economy_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.6293;0.9960;0.7713;0.0039
Economy_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.6293;0.9960;0.7713;0.0033
Economy_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.6293;0.9960;0.7713;0.0045
Economy_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.9132;0.9892;0.9497;0.0064
Economy_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.9361;0.9855;0.9602;0.0110
Economy_VAE_2000_6000_8_OCSVM_RBF_0,02_scale;0.9545;0.9758;0.9650;0.0167
Economy_VAE_2000_6000_8_OCSVM_RBF_0,03_scale;0.9640;0.9643;0.9641;0.0228
Economy_VAE_2000_6000_8_OCSVM_RBF_0,04_scale;0.9704;0.9507;0.9605;0.0317
Economy_VAE_2000_6000_8_OCSVM_RBF_0,05_scale;0.9725;0.9383;0.9551;0.0368
Economy_VAE_2000_6000_8_OCSVM_RBF_0,06_scale;0.9741;0.9295;0.9513;0.0448
Economy_VAE_2000_6000_8_OCSVM_RBF_0,07_scale;0.9773;0.9165;0.9459;0.0464
Economy_VAE_2000_6000_8_OCSVM_RBF_0,08_scale;0.9782;0.9097;0.9427;0.0517
Economy_VAE_2000_6000_8_OCSVM_RBF_0,09_scale;0.9788;0.8985;0.9369;0.0585
Economy_VAE_2000_6000_8_OCSVM_RBF_0,1_scale;0.9794;0.8915;0.9334;0.0672
Economy_VAE_2000_6000_8_OCSVM_RBF_0,2_scale;0.9819;0.7857;0.8729;0.1337
Economy_VAE_2000_6000_8_OCSVM_RBF_0,3_scale;0.9826;0.6763;0.8011;0.1831
Economy_VAE_2000_6000_8_OCSVM_RBF_0,4_scale;0.9837;0.5883;0.7362;0.2519
Economy_VAE_2000_6000_8_OCSVM_RBF_0,5_scale;0.9826;0.4793;0.6443;0.2960
Economy_VAE_2000_6000_8_OCSVM_RBF_0,6_scale;0.9852;0.3673;0.5351;0.3663
Economy_VAE_2000_6000_8_OCSVM_RBF_0,7_scale;0.9830;0.2893;0.4470;0.4333
Economy_VAE_2000_6000_8_OCSVM_RBF_0,8_scale;0.9795;0.1910;0.3197;0.4528
Economy_VAE_2000_6000_8_OCSVM_RBF_0,9_scale;0.9740;0.0935;0.1706;0.5083
Economy_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.5966;0.9960;0.7462;0.0045
Economy_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.6055;0.9965;0.7533;0.0045
Economy_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.6055;0.9965;0.7533;0.0037
Economy_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.9069;0.9912;0.9472;0.0064
Economy_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.9498;0.9838;0.9665;0.0094
Economy_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.9596;0.9730;0.9662;0.0167
Economy_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9648;0.9655;0.9651;0.0225
Economy_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9692;0.9590;0.9641;0.0280
Economy_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9727;0.9530;0.9627;0.0334
Economy_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9774;0.9317;0.9541;0.0402
Economy_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9793;0.9227;0.9502;0.0513
Economy_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9798;0.9103;0.9438;0.0533
Economy_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9802;0.9022;0.9396;0.0584
Economy_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9804;0.8875;0.9316;0.0636
Economy_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9832;0.7910;0.8767;0.1287
Economy_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9863;0.6825;0.8067;0.1900
Economy_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9860;0.5805;0.7308;0.2462
Economy_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9878;0.4858;0.6512;0.3029
Economy_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9910;0.3840;0.5535;0.3626
Economy_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9889;0.2888;0.4470;0.4122
Economy_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9905;0.1830;0.3089;0.4747
Economy_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.9885;0.0858;0.1578;0.4766
Economy_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.7114;0.9962;0.8300;0.0032
Economy_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.7114;0.9962;0.8300;0.0041
Economy_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.7114;0.9962;0.8300;0.0042
Economy_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.9337;0.9888;0.9604;0.0066
Economy_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.9406;0.9862;0.9629;0.0097
Economy_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.9647;0.9710;0.9679;0.0157
Economy_VAE_2000_6000_10_OCSVM_RBF_0,03_scale;0.9711;0.9593;0.9652;0.0225
Economy_VAE_2000_6000_10_OCSVM_RBF_0,04_scale;0.9745;0.9455;0.9598;0.0283
Economy_VAE_2000_6000_10_OCSVM_RBF_0,05_scale;0.9765;0.9357;0.9557;0.0347
Economy_VAE_2000_6000_10_OCSVM_RBF_0,06_scale;0.9793;0.9205;0.9490;0.0456
Economy_VAE_2000_6000_10_OCSVM_RBF_0,07_scale;0.9798;0.9113;0.9443;0.0457
Economy_VAE_2000_6000_10_OCSVM_RBF_0,08_scale;0.9804;0.8985;0.9376;0.0516
Economy_VAE_2000_6000_10_OCSVM_RBF_0,09_scale;0.9812;0.8885;0.9326;0.0582
Economy_VAE_2000_6000_10_OCSVM_RBF_0,1_scale;0.9822;0.8690;0.9221;0.0672
Economy_VAE_2000_6000_10_OCSVM_RBF_0,2_scale;0.9843;0.7548;0.8544;0.1270
Economy_VAE_2000_6000_10_OCSVM_RBF_0,3_scale;0.9832;0.6438;0.7781;0.1974
Economy_VAE_2000_6000_10_OCSVM_RBF_0,4_scale;0.9824;0.5433;0.6996;0.2444
Economy_VAE_2000_6000_10_OCSVM_RBF_0,5_scale;0.9817;0.4562;0.6230;0.3012
Economy_VAE_2000_6000_10_OCSVM_RBF_0,6_scale;0.9838;0.3648;0.5322;0.3554
Economy_VAE_2000_6000_10_OCSVM_RBF_0,7_scale;0.9881;0.2707;0.4250;0.4155
Economy_VAE_2000_6000_10_OCSVM_RBF_0,8_scale;0.9891;0.1810;0.3060;0.4540
Economy_VAE_2000_6000_10_OCSVM_RBF_0,9_scale;0.9888;0.0880;0.1616;0.4909
Economy_VAE_2000_6000_6_OCSVM_RBF_0,0001_scale;0.5781;0.9962;0.7317;0.0039
Economy_VAE_2000_6000_6_OCSVM_RBF_0,0005_scale;0.5781;0.9962;0.7317;0.0038
Economy_VAE_2000_6000_6_OCSVM_RBF_0,001_scale;0.5780;0.9962;0.7316;0.0050
Economy_VAE_2000_6000_6_OCSVM_RBF_0,005_scale;0.8676;0.9928;0.9260;0.0061
Economy_VAE_2000_6000_6_OCSVM_RBF_0,01_scale;0.9254;0.9862;0.9549;0.0099
