Parametros;Precisao;Revocacao;F1-Score;Tempo
Exports_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.8432;0.9960;0.9132;0.0040
Exports_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.8498;0.9970;0.9175;0.0051
Exports_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.8472;0.9968;0.9159;0.0041
Exports_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.9631;0.9912;0.9770;0.0061
Exports_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.9703;0.9870;0.9786;0.0154
Exports_VAE_2000_6000_8_OCSVM_RBF_0,02_scale;0.9866;0.9762;0.9814;0.0157
Exports_VAE_2000_6000_8_OCSVM_RBF_0,03_scale;0.9885;0.9688;0.9785;0.0215
Exports_VAE_2000_6000_8_OCSVM_RBF_0,04_scale;0.9912;0.9550;0.9728;0.0282
Exports_VAE_2000_6000_8_OCSVM_RBF_0,05_scale;0.9929;0.9427;0.9672;0.0351
Exports_VAE_2000_6000_8_OCSVM_RBF_0,06_scale;0.9931;0.9360;0.9637;0.0483
Exports_VAE_2000_6000_8_OCSVM_RBF_0,07_scale;0.9935;0.9220;0.9564;0.0493
Exports_VAE_2000_6000_8_OCSVM_RBF_0,08_scale;0.9935;0.9145;0.9524;0.0522
Exports_VAE_2000_6000_8_OCSVM_RBF_0,09_scale;0.9934;0.9065;0.9480;0.0580
Exports_VAE_2000_6000_8_OCSVM_RBF_0,1_scale;0.9936;0.8960;0.9423;0.0768
Exports_VAE_2000_6000_8_OCSVM_RBF_0,2_scale;0.9937;0.7905;0.8805;0.1261
Exports_VAE_2000_6000_8_OCSVM_RBF_0,3_scale;0.9950;0.6980;0.8205;0.1852
Exports_VAE_2000_6000_8_OCSVM_RBF_0,4_scale;0.9945;0.5930;0.7430;0.2416
Exports_VAE_2000_6000_8_OCSVM_RBF_0,5_scale;0.9950;0.4938;0.6600;0.2990
Exports_VAE_2000_6000_8_OCSVM_RBF_0,6_scale;0.9941;0.3770;0.5467;0.3583
Exports_VAE_2000_6000_8_OCSVM_RBF_0,7_scale;0.9957;0.2890;0.4480;0.4232
Exports_VAE_2000_6000_8_OCSVM_RBF_0,8_scale;0.9947;0.1860;0.3134;0.4483
Exports_VAE_2000_6000_8_OCSVM_RBF_0,9_scale;0.9918;0.0905;0.1659;0.4801
Exports_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.7072;0.9992;0.8282;0.0037
Exports_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.7072;0.9992;0.8282;0.0038
Exports_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.7072;0.9992;0.8282;0.0052
Exports_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.9472;0.9948;0.9704;0.0064
Exports_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.9772;0.9875;0.9823;0.0101
Exports_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.9908;0.9738;0.9822;0.0164
Exports_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9918;0.9675;0.9795;0.0224
Exports_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9925;0.9605;0.9762;0.0309
Exports_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9934;0.9455;0.9689;0.0346
Exports_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9934;0.9367;0.9642;0.0443
Exports_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9936;0.9263;0.9587;0.0461
Exports_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9940;0.9165;0.9537;0.0520
Exports_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9939;0.8998;0.9445;0.0574
Exports_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9939;0.8890;0.9385;0.0685
Exports_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9937;0.7867;0.8782;0.1273
Exports_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9942;0.6870;0.8125;0.2003
Exports_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9941;0.5948;0.7443;0.2473
Exports_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9931;0.5065;0.6709;0.3236
Exports_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9922;0.4110;0.5812;0.3680
Exports_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9907;0.3207;0.4846;0.4101
Exports_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9918;0.2122;0.3497;0.4494
Exports_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.9956;0.1125;0.2022;0.4807
Exports_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.7477;0.9980;0.8549;0.0045
Exports_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.7477;0.9980;0.8549;0.0034
Exports_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.7477;0.9980;0.8549;0.0039
Exports_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.9764;0.9928;0.9845;0.0066
Exports_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.9816;0.9865;0.9840;0.0110
Exports_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.9886;0.9760;0.9823;0.0174
Exports_VAE_2000_6000_10_OCSVM_RBF_0,03_scale;0.9912;0.9610;0.9759;0.0225
Exports_VAE_2000_6000_10_OCSVM_RBF_0,04_scale;0.9914;0.9470;0.9687;0.0292
Exports_VAE_2000_6000_10_OCSVM_RBF_0,05_scale;0.9918;0.9367;0.9635;0.0363
Exports_VAE_2000_6000_10_OCSVM_RBF_0,06_scale;0.9920;0.9267;0.9583;0.0443
Exports_VAE_2000_6000_10_OCSVM_RBF_0,07_scale;0.9927;0.9167;0.9532;0.0459
Exports_VAE_2000_6000_10_OCSVM_RBF_0,08_scale;0.9932;0.9103;0.9499;0.0543
Exports_VAE_2000_6000_10_OCSVM_RBF_0,09_scale;0.9931;0.9012;0.9450;0.0611
Exports_VAE_2000_6000_10_OCSVM_RBF_0,1_scale;0.9930;0.8928;0.9402;0.0749
Exports_VAE_2000_6000_10_OCSVM_RBF_0,2_scale;0.9934;0.7875;0.8785;0.1271
Exports_VAE_2000_6000_10_OCSVM_RBF_0,3_scale;0.9942;0.6815;0.8087;0.1838
Exports_VAE_2000_6000_10_OCSVM_RBF_0,4_scale;0.9949;0.5830;0.7352;0.2432
Exports_VAE_2000_6000_10_OCSVM_RBF_0,5_scale;0.9963;0.4695;0.6382;0.2988
Exports_VAE_2000_6000_10_OCSVM_RBF_0,6_scale;0.9974;0.3787;0.5490;0.3790
Exports_VAE_2000_6000_10_OCSVM_RBF_0,7_scale;0.9965;0.2863;0.4447;0.4098
Exports_VAE_2000_6000_10_OCSVM_RBF_0,8_scale;0.9951;0.2028;0.3369;0.4698
Exports_VAE_2000_6000_10_OCSVM_RBF_0,9_scale;0.9976;0.1052;0.1904;0.4920
Exports_VAE_2000_6000_6_OCSVM_RBF_0,0001_scale;0.5764;0.9992;0.7311;0.0032
Exports_VAE_2000_6000_6_OCSVM_RBF_0,0005_scale;0.5764;0.9992;0.7311;0.0058
Exports_VAE_2000_6000_6_OCSVM_RBF_0,001_scale;0.5764;0.9992;0.7311;0.0064
Exports_VAE_2000_6000_6_OCSVM_RBF_0,005_scale;0.9091;0.9922;0.9488;0.0065
Exports_VAE_2000_6000_6_OCSVM_RBF_0,01_scale;0.9592;0.9875;0.9731;0.0092
Exports_VAE_2000_6000_6_OCSVM_RBF_0,02_scale;0.9852;0.9790;0.9821;0.0153
Exports_VAE_2000_6000_6_OCSVM_RBF_0,03_scale;0.9883;0.9722;0.9802;0.0212
Exports_VAE_2000_6000_6_OCSVM_RBF_0,04_scale;0.9912;0.9585;0.9746;0.0277
Exports_VAE_2000_6000_6_OCSVM_RBF_0,05_scale;0.9924;0.9470;0.9692;0.0336
Exports_VAE_2000_6000_6_OCSVM_RBF_0,06_scale;0.9931;0.9347;0.9630;0.0465
Exports_VAE_2000_6000_6_OCSVM_RBF_0,07_scale;0.9930;0.9233;0.9569;0.0458
Exports_VAE_2000_6000_6_OCSVM_RBF_0,08_scale;0.9929;0.9113;0.9503;0.0513
Exports_VAE_2000_6000_6_OCSVM_RBF_0,09_scale;0.9928;0.9002;0.9443;0.0577
Exports_VAE_2000_6000_6_OCSVM_RBF_0,1_scale;0.9933;0.8950;0.9416;0.0675
Exports_VAE_2000_6000_6_OCSVM_RBF_0,2_scale;0.9934;0.7960;0.8838;0.1231
Exports_VAE_2000_6000_6_OCSVM_RBF_0,3_scale;0.9947;0.7007;0.8222;0.1948
Exports_VAE_2000_6000_6_OCSVM_RBF_0,4_scale;0.9939;0.6082;0.7547;0.2529
Exports_VAE_2000_6000_6_OCSVM_RBF_0,5_scale;0.9942;0.5142;0.6779;0.3014
Exports_VAE_2000_6000_6_OCSVM_RBF_0,6_scale;0.9952;0.4133;0.5840;0.3718
Exports_VAE_2000_6000_6_OCSVM_RBF_0,7_scale;0.9959;0.3020;0.4635;0.4186
Exports_VAE_2000_6000_6_OCSVM_RBF_0,8_scale;0.9947;0.1890;0.3176;0.4573
Exports_VAE_2000_6000_6_OCSVM_RBF_0,9_scale;0.9920;0.0930;0.1701;0.4958
Exports_VAE_2000_6000_7_OCSVM_RBF_0,0001_scale;0.5675;0.9978;0.7235;0.0040
Exports_VAE_2000_6000_7_OCSVM_RBF_0,0005_scale;0.5706;0.9982;0.7261;0.0040
Exports_VAE_2000_6000_7_OCSVM_RBF_0,001_scale;0.5700;0.9982;0.7257;0.0045
Exports_VAE_2000_6000_7_OCSVM_RBF_0,005_scale;0.9167;0.9910;0.9524;0.0073
Exports_VAE_2000_6000_7_OCSVM_RBF_0,01_scale;0.9578;0.9865;0.9719;0.0107
Exports_VAE_2000_6000_7_OCSVM_RBF_0,02_scale;0.9861;0.9768;0.9814;0.0185
Exports_VAE_2000_6000_7_OCSVM_RBF_0,03_scale;0.9910;0.9655;0.9781;0.0262
Exports_VAE_2000_6000_7_OCSVM_RBF_0,04_scale;0.9917;0.9580;0.9746;0.0299
Exports_VAE_2000_6000_7_OCSVM_RBF_0,05_scale;0.9917;0.9505;0.9706;0.0339
Exports_VAE_2000_6000_7_OCSVM_RBF_0,06_scale;0.9923;0.9353;0.9629;0.0437
Exports_VAE_2000_6000_7_OCSVM_RBF_0,07_scale;0.9925;0.9267;0.9585;0.0462
Exports_VAE_2000_6000_7_OCSVM_RBF_0,08_scale;0.9927;0.9163;0.9529;0.0527
Exports_VAE_2000_6000_7_OCSVM_RBF_0,09_scale;0.9929;0.9052;0.9470;0.0653
Exports_VAE_2000_6000_7_OCSVM_RBF_0,1_scale;0.9927;0.8850;0.9358;0.0711
Exports_VAE_2000_6000_7_OCSVM_RBF_0,2_scale;0.9934;0.7867;0.8781;0.1297
Exports_VAE_2000_6000_7_OCSVM_RBF_0,3_scale;0.9942;0.6887;0.8138;0.1961
Exports_VAE_2000_6000_7_OCSVM_RBF_0,4_scale;0.9936;0.5803;0.7326;0.2437
Exports_VAE_2000_6000_7_OCSVM_RBF_0,5_scale;0.9934;0.4918;0.6579;0.2966
Exports_VAE_2000_6000_7_OCSVM_RBF_0,6_scale;0.9925;0.3985;0.5687;0.3988
Exports_VAE_2000_6000_7_OCSVM_RBF_0,7_scale;0.9917;0.2988;0.4592;0.4207
Exports_VAE_2000_6000_7_OCSVM_RBF_0,8_scale;0.9938;0.2008;0.3340;0.4614
Exports_VAE_2000_6000_7_OCSVM_RBF_0,9_scale;0.9948;0.0953;0.1739;0.4903
Exports_VAE_2000_6000_3_OCSVM_RBF_0,0001_scale;0.5183;0.9990;0.6825;0.0032
Exports_VAE_2000_6000_3_OCSVM_RBF_0,0005_scale;0.5183;0.9990;0.6825;0.0038
