Parametros;Precisao;Revocacao;F1-Score;Tempo
Language_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.8814;0.9960;0.9352;0.0046
Language_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.8903;0.9958;0.9401;0.0056
Language_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.8903;0.9958;0.9401;0.0047
Language_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.9518;0.9875;0.9693;0.0076
Language_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.9711;0.9748;0.9729;0.0107
Language_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.9778;0.9670;0.9723;0.0158
Language_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9819;0.9613;0.9715;0.0219
Language_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9862;0.9467;0.9661;0.0288
Language_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9894;0.9353;0.9616;0.0337
Language_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9917;0.9243;0.9568;0.0449
Language_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9940;0.9163;0.9536;0.0474
Language_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9950;0.9038;0.9472;0.0526
Language_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9955;0.8940;0.9420;0.0588
Language_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9963;0.8855;0.9377;0.0714
Language_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9972;0.7913;0.8824;0.1347
Language_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9975;0.7087;0.8287;0.1938
Language_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9984;0.6195;0.7646;0.2544
Language_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9986;0.5308;0.6931;0.2930
Language_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9988;0.4285;0.5997;0.3630
Language_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9992;0.3210;0.4859;0.4320
Language_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9988;0.2087;0.3453;0.4513
Language_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;1.0000;0.0877;0.1613;0.4887
Language_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.8971;0.9942;0.9432;0.0042
Language_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.8972;0.9945;0.9433;0.0042
Language_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.8970;0.9945;0.9432;0.0042
Language_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.9495;0.9870;0.9679;0.0062
Language_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.9559;0.9802;0.9679;0.0097
Language_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.9670;0.9660;0.9665;0.0158
Language_VAE_2000_6000_10_OCSVM_RBF_0,03_scale;0.9730;0.9545;0.9637;0.0221
Language_VAE_2000_6000_10_OCSVM_RBF_0,04_scale;0.9770;0.9467;0.9617;0.0282
