Parametros;Precisao;Revocacao;F1-Score;Tempo
Recession_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.5446;0.9982;0.7047;0.0041
Recession_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.5443;0.9978;0.7043;0.0047
Recession_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.5442;0.9980;0.7043;0.0051
Recession_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.5549;0.9962;0.7128;0.0075
Recession_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.7797;0.9925;0.8733;0.0104
Recession_VAE_2000_6000_8_OCSVM_RBF_0,02_scale;0.8741;0.9802;0.9241;0.0165
Recession_VAE_2000_6000_8_OCSVM_RBF_0,03_scale;0.9164;0.9667;0.9409;0.0215
Recession_VAE_2000_6000_8_OCSVM_RBF_0,04_scale;0.9360;0.9545;0.9452;0.0278
Recession_VAE_2000_6000_8_OCSVM_RBF_0,05_scale;0.9417;0.9483;0.9449;0.0342
Recession_VAE_2000_6000_8_OCSVM_RBF_0,06_scale;0.9481;0.9367;0.9424;0.0401
Recession_VAE_2000_6000_8_OCSVM_RBF_0,07_scale;0.9535;0.9273;0.9402;0.0487
Recession_VAE_2000_6000_8_OCSVM_RBF_0,08_scale;0.9561;0.9200;0.9377;0.0538
Recession_VAE_2000_6000_8_OCSVM_RBF_0,09_scale;0.9597;0.9107;0.9346;0.0645
Recession_VAE_2000_6000_8_OCSVM_RBF_0,1_scale;0.9615;0.8985;0.9289;0.0716
Recession_VAE_2000_6000_8_OCSVM_RBF_0,2_scale;0.9776;0.7843;0.8703;0.1361
Recession_VAE_2000_6000_8_OCSVM_RBF_0,3_scale;0.9822;0.6897;0.8104;0.1899
Recession_VAE_2000_6000_8_OCSVM_RBF_0,4_scale;0.9877;0.5823;0.7326;0.2519
Recession_VAE_2000_6000_8_OCSVM_RBF_0,5_scale;0.9901;0.5020;0.6662;0.3033
Recession_VAE_2000_6000_8_OCSVM_RBF_0,6_scale;0.9922;0.4128;0.5830;0.3684
Recession_VAE_2000_6000_8_OCSVM_RBF_0,7_scale;0.9908;0.3217;0.4858;0.4389
Recession_VAE_2000_6000_8_OCSVM_RBF_0,8_scale;0.9887;0.2180;0.3572;0.4684
Recession_VAE_2000_6000_8_OCSVM_RBF_0,9_scale;0.9831;0.1165;0.2083;0.5161
Recession_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.7632;0.9972;0.8646;0.0032
Recession_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.7632;0.9972;0.8646;0.0035
Recession_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.7632;0.9972;0.8646;0.0040
Recession_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.8575;0.9882;0.9182;0.0070
Recession_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.8754;0.9840;0.9266;0.0095
Recession_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.9144;0.9667;0.9398;0.0156
Recession_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9330;0.9535;0.9431;0.0227
Recession_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9464;0.9365;0.9414;0.0284
Recession_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9518;0.9277;0.9396;0.0362
Recession_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9599;0.9163;0.9376;0.0562
Recession_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9623;0.9070;0.9338;0.0468
Recession_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9634;0.9015;0.9314;0.0549
Recession_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9656;0.8910;0.9268;0.0590
Recession_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9679;0.8810;0.9224;0.0676
Recession_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9820;0.7778;0.8680;0.1281
Recession_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9840;0.6927;0.8131;0.1847
Recession_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9854;0.6088;0.7526;0.2369
Recession_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9867;0.5188;0.6800;0.3192
Recession_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9879;0.4270;0.5963;0.3655
Recession_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9887;0.3490;0.5159;0.4127
Recession_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9894;0.2555;0.4061;0.4562
Recession_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.9945;0.1345;0.2370;0.4996
Recession_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.8011;0.9948;0.8875;0.0060
Recession_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.8011;0.9948;0.8875;0.0049
Recession_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.8011;0.9948;0.8875;0.0040
Recession_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.8840;0.9850;0.9318;0.0080
Recession_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.9052;0.9762;0.9394;0.0107
Recession_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.9187;0.9690;0.9432;0.0251
Recession_VAE_2000_6000_10_OCSVM_RBF_0,03_scale;0.9299;0.9553;0.9424;0.0228
Recession_VAE_2000_6000_10_OCSVM_RBF_0,04_scale;0.9431;0.9407;0.9419;0.0297
Recession_VAE_2000_6000_10_OCSVM_RBF_0,05_scale;0.9515;0.9315;0.9414;0.0359
Recession_VAE_2000_6000_10_OCSVM_RBF_0,06_scale;0.9562;0.9220;0.9388;0.0454
Recession_VAE_2000_6000_10_OCSVM_RBF_0,07_scale;0.9612;0.9107;0.9353;0.0484
Recession_VAE_2000_6000_10_OCSVM_RBF_0,08_scale;0.9652;0.8948;0.9286;0.0533
Recession_VAE_2000_6000_10_OCSVM_RBF_0,09_scale;0.9667;0.8860;0.9246;0.0602
Recession_VAE_2000_6000_10_OCSVM_RBF_0,1_scale;0.9686;0.8802;0.9223;0.0724
Recession_VAE_2000_6000_10_OCSVM_RBF_0,2_scale;0.9818;0.7817;0.8704;0.1285
Recession_VAE_2000_6000_10_OCSVM_RBF_0,3_scale;0.9858;0.6933;0.8140;0.1934
Recession_VAE_2000_6000_10_OCSVM_RBF_0,4_scale;0.9893;0.6015;0.7481;0.2515
Recession_VAE_2000_6000_10_OCSVM_RBF_0,5_scale;0.9893;0.5092;0.6724;0.3189
