Parametros;Precisao;Revocacao;F1-Score;Tempo
Series_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.6238;0.9992;0.7681;0.0034
Series_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.6238;0.9992;0.7681;0.0033
Series_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.6238;0.9992;0.7681;0.0034
Series_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.6696;0.9955;0.8006;0.0069
Series_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.7969;0.9870;0.8818;0.0100
Series_VAE_2000_6000_8_OCSVM_RBF_0,02_scale;0.8740;0.9728;0.9207;0.0160
Series_VAE_2000_6000_8_OCSVM_RBF_0,03_scale;0.8927;0.9593;0.9248;0.0228
Series_VAE_2000_6000_8_OCSVM_RBF_0,04_scale;0.9062;0.9517;0.9284;0.0287
Series_VAE_2000_6000_8_OCSVM_RBF_0,05_scale;0.9340;0.9373;0.9356;0.0332
Series_VAE_2000_6000_8_OCSVM_RBF_0,06_scale;0.9458;0.9290;0.9373;0.0405
Series_VAE_2000_6000_8_OCSVM_RBF_0,07_scale;0.9539;0.9210;0.9372;0.0459
Series_VAE_2000_6000_8_OCSVM_RBF_0,08_scale;0.9562;0.9167;0.9361;0.0538
Series_VAE_2000_6000_8_OCSVM_RBF_0,09_scale;0.9606;0.9070;0.9330;0.0594
Series_VAE_2000_6000_8_OCSVM_RBF_0,1_scale;0.9660;0.8950;0.9291;0.0746
Series_VAE_2000_6000_8_OCSVM_RBF_0,2_scale;0.9860;0.7910;0.8778;0.1340
Series_VAE_2000_6000_8_OCSVM_RBF_0,3_scale;0.9935;0.6893;0.8139;0.2001
Series_VAE_2000_6000_8_OCSVM_RBF_0,4_scale;0.9936;0.5845;0.7360;0.2535
Series_VAE_2000_6000_8_OCSVM_RBF_0,5_scale;0.9928;0.4840;0.6508;0.3038
Series_VAE_2000_6000_8_OCSVM_RBF_0,6_scale;0.9930;0.3900;0.5600;0.3711
Series_VAE_2000_6000_8_OCSVM_RBF_0,7_scale;0.9930;0.2850;0.4429;0.4223
Series_VAE_2000_6000_8_OCSVM_RBF_0,8_scale;0.9949;0.1970;0.3289;0.4657
Series_VAE_2000_6000_8_OCSVM_RBF_0,9_scale;0.9919;0.0920;0.1684;0.4874
Series_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.7476;0.9960;0.8541;0.0047
Series_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.7466;0.9960;0.8535;0.0043
Series_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.7462;0.9960;0.8532;0.0044
Series_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.7705;0.9935;0.8679;0.0065
Series_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.7978;0.9892;0.8833;0.0100
Series_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.8191;0.9802;0.8925;0.0160
Series_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.8646;0.9690;0.9138;0.0226
Series_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.8873;0.9603;0.9223;0.0285
Series_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9010;0.9557;0.9276;0.0349
Series_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9195;0.9423;0.9307;0.0431
Series_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9347;0.9297;0.9322;0.0474
Series_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9454;0.9173;0.9311;0.0529
Series_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9536;0.9085;0.9305;0.0590
Series_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9569;0.8988;0.9269;0.0745
Series_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9816;0.7855;0.8727;0.1373
Series_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9853;0.6725;0.7994;0.1886
Series_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9891;0.5887;0.7381;0.2481
Series_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9925;0.4960;0.6614;0.2948
Series_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9937;0.3920;0.5622;0.3685
Series_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9934;0.3018;0.4629;0.4184
Series_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9952;0.2090;0.3455;0.4529
