Parametros;Precisao;Revocacao;F1-Score;Tempo
Adults_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.5908;0.9980;0.7422;0.0051
Adults_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.5902;0.9985;0.7419;0.0047
Adults_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.5896;0.9985;0.7414;0.0048
Adults_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.7224;0.9978;0.8380;0.0079
Adults_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.9085;0.9908;0.9479;0.0101
Adults_VAE_2000_6000_8_OCSVM_RBF_0,02_scale;0.9480;0.9805;0.9640;0.0180
Adults_VAE_2000_6000_8_OCSVM_RBF_0,03_scale;0.9655;0.9663;0.9659;0.0298
Adults_VAE_2000_6000_8_OCSVM_RBF_0,04_scale;0.9683;0.9540;0.9611;0.0280
Adults_VAE_2000_6000_8_OCSVM_RBF_0,05_scale;0.9726;0.9420;0.9571;0.0352
Adults_VAE_2000_6000_8_OCSVM_RBF_0,06_scale;0.9757;0.9350;0.9549;0.0451
Adults_VAE_2000_6000_8_OCSVM_RBF_0,07_scale;0.9799;0.9163;0.9470;0.0477
Adults_VAE_2000_6000_8_OCSVM_RBF_0,08_scale;0.9811;0.9083;0.9433;0.0532
Adults_VAE_2000_6000_8_OCSVM_RBF_0,09_scale;0.9825;0.8992;0.9390;0.0594
Adults_VAE_2000_6000_8_OCSVM_RBF_0,1_scale;0.9848;0.8892;0.9346;0.0775
Adults_VAE_2000_6000_8_OCSVM_RBF_0,2_scale;0.9903;0.7690;0.8657;0.1237
Adults_VAE_2000_6000_8_OCSVM_RBF_0,3_scale;0.9932;0.6607;0.7936;0.1895
Adults_VAE_2000_6000_8_OCSVM_RBF_0,4_scale;0.9943;0.5623;0.7183;0.2468
Adults_VAE_2000_6000_8_OCSVM_RBF_0,5_scale;0.9962;0.4565;0.6261;0.3052
Adults_VAE_2000_6000_8_OCSVM_RBF_0,6_scale;0.9966;0.3615;0.5305;0.3649
Adults_VAE_2000_6000_8_OCSVM_RBF_0,7_scale;0.9963;0.2695;0.4242;0.4206
Adults_VAE_2000_6000_8_OCSVM_RBF_0,8_scale;0.9985;0.1695;0.2898;0.4575
Adults_VAE_2000_6000_8_OCSVM_RBF_0,9_scale;0.9971;0.0858;0.1579;0.5265
Adults_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.6008;0.9995;0.7505;0.0040
Adults_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.6008;0.9995;0.7505;0.0033
Adults_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.6008;0.9995;0.7505;0.0045
Adults_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.6638;0.9972;0.7971;0.0065
Adults_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.9063;0.9910;0.9467;0.0105
Adults_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.9618;0.9695;0.9656;0.0180
Adults_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9696;0.9575;0.9635;0.0229
