Parametros;Precisao;Revocacao;F1-Score;Tempo
Bonds_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.5280;0.9955;0.6900;0.0046
Bonds_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.5280;0.9955;0.6900;0.0034
Bonds_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.5280;0.9955;0.6900;0.0036
Bonds_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.7347;0.9888;0.8430;0.0069
Bonds_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.8151;0.9822;0.8909;0.0095
Bonds_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.8773;0.9705;0.9215;0.0154
Bonds_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9025;0.9603;0.9305;0.0228
Bonds_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9105;0.9537;0.9316;0.0298
Bonds_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9206;0.9450;0.9326;0.0340
Bonds_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9268;0.9373;0.9320;0.0469
Bonds_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9338;0.9237;0.9287;0.0496
Bonds_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9417;0.9120;0.9266;0.0519
Bonds_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9480;0.8985;0.9226;0.0588
Bonds_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9513;0.8890;0.9191;0.0680
Bonds_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9694;0.7768;0.8625;0.1318
Bonds_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9790;0.6763;0.7999;0.1952
Bonds_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9841;0.5725;0.7239;0.2424
Bonds_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9878;0.4640;0.6314;0.2988
Bonds_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9902;0.3780;0.5471;0.3825
Bonds_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9893;0.2765;0.4322;0.4101
Bonds_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9901;0.1745;0.2967;0.4684
Bonds_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.9885;0.0862;0.1587;0.4925
Bonds_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.5249;0.9978;0.6879;0.0049
Bonds_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.5249;0.9978;0.6879;0.0045
Bonds_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.5249;0.9978;0.6879;0.0034
Bonds_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.7532;0.9862;0.8541;0.0062
Bonds_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.8375;0.9808;0.9035;0.0096
Bonds_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.8865;0.9683;0.9256;0.0164
Bonds_VAE_2000_6000_10_OCSVM_RBF_0,03_scale;0.9119;0.9553;0.9331;0.0224
Bonds_VAE_2000_6000_10_OCSVM_RBF_0,04_scale;0.9270;0.9403;0.9336;0.0289
Bonds_VAE_2000_6000_10_OCSVM_RBF_0,05_scale;0.9366;0.9300;0.9333;0.0345
Bonds_VAE_2000_6000_10_OCSVM_RBF_0,06_scale;0.9445;0.9187;0.9314;0.0467
Bonds_VAE_2000_6000_10_OCSVM_RBF_0,07_scale;0.9522;0.9065;0.9288;0.0462
Bonds_VAE_2000_6000_10_OCSVM_RBF_0,08_scale;0.9556;0.8940;0.9238;0.0519
Bonds_VAE_2000_6000_10_OCSVM_RBF_0,09_scale;0.9567;0.8840;0.9189;0.0596
Bonds_VAE_2000_6000_10_OCSVM_RBF_0,1_scale;0.9589;0.8745;0.9147;0.0730
Bonds_VAE_2000_6000_10_OCSVM_RBF_0,2_scale;0.9757;0.7642;0.8571;0.1314
