Parametros;Precisao;Revocacao;F1-Score;Tempo
Court_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.6444;0.9980;0.7831;0.0054
Court_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.6483;0.9980;0.7860;0.0056
Court_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.6482;0.9980;0.7859;0.0048
Court_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.6838;0.9955;0.8108;0.0070
Court_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.7256;0.9908;0.8377;0.0101
Court_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.8354;0.9758;0.9001;0.0158
Court_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.8735;0.9613;0.9153;0.0220
Court_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.8961;0.9490;0.9218;0.0289
Court_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9141;0.9333;0.9236;0.0336
Court_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9177;0.9225;0.9201;0.0518
Court_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9274;0.9135;0.9204;0.0492
Court_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9321;0.9030;0.9173;0.0517
Court_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9364;0.8915;0.9134;0.0574
Court_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9379;0.8798;0.9079;0.0704
Court_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9535;0.7645;0.8486;0.1227
Court_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9568;0.6535;0.7766;0.1973
Court_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9613;0.5467;0.6971;0.2410
Court_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9610;0.4430;0.6064;0.3041
Court_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9610;0.3450;0.5077;0.3635
Court_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9632;0.2620;0.4119;0.4107
Court_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9644;0.1762;0.2980;0.4590
Court_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.9596;0.0950;0.1729;0.5016
Court_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.6747;0.9990;0.8054;0.0042
Court_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.6747;0.9990;0.8054;0.0038
Court_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.6747;0.9990;0.8054;0.0038
Court_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.8121;0.9938;0.8938;0.0075
Court_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.8490;0.9880;0.9132;0.0127
Court_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.8946;0.9633;0.9277;0.0164
Court_VAE_2000_6000_10_OCSVM_RBF_0,03_scale;0.9016;0.9530;0.9266;0.0229
Court_VAE_2000_6000_10_OCSVM_RBF_0,04_scale;0.9072;0.9407;0.9237;0.0287
Court_VAE_2000_6000_10_OCSVM_RBF_0,05_scale;0.9133;0.9293;0.9212;0.0341
Court_VAE_2000_6000_10_OCSVM_RBF_0,06_scale;0.9189;0.9183;0.9186;0.0454
Court_VAE_2000_6000_10_OCSVM_RBF_0,07_scale;0.9240;0.9055;0.9146;0.0471
Court_VAE_2000_6000_10_OCSVM_RBF_0,08_scale;0.9276;0.8965;0.9118;0.0516
Court_VAE_2000_6000_10_OCSVM_RBF_0,09_scale;0.9305;0.8805;0.9048;0.0587
Court_VAE_2000_6000_10_OCSVM_RBF_0,1_scale;0.9330;0.8740;0.9025;0.0737
Court_VAE_2000_6000_10_OCSVM_RBF_0,2_scale;0.9508;0.7675;0.8494;0.1284
Court_VAE_2000_6000_10_OCSVM_RBF_0,3_scale;0.9588;0.6510;0.7755;0.1925
Court_VAE_2000_6000_10_OCSVM_RBF_0,4_scale;0.9619;0.5423;0.6935;0.2566
Court_VAE_2000_6000_10_OCSVM_RBF_0,5_scale;0.9613;0.4410;0.6046;0.2975
Court_VAE_2000_6000_10_OCSVM_RBF_0,6_scale;0.9643;0.3443;0.5074;0.3714
Court_VAE_2000_6000_10_OCSVM_RBF_0,7_scale;0.9625;0.2632;0.4134;0.4276
Court_VAE_2000_6000_10_OCSVM_RBF_0,8_scale;0.9608;0.1775;0.2996;0.4581
Court_VAE_2000_6000_10_OCSVM_RBF_0,9_scale;0.9615;0.0938;0.1708;0.4915
Court_VAE_2000_6000_6_OCSVM_RBF_0,0001_scale;0.5301;0.9962;0.6920;0.0042
Court_VAE_2000_6000_6_OCSVM_RBF_0,0005_scale;0.5298;0.9992;0.6925;0.0037
Court_VAE_2000_6000_6_OCSVM_RBF_0,001_scale;0.5298;0.9992;0.6925;0.0038
Court_VAE_2000_6000_6_OCSVM_RBF_0,005_scale;0.5802;0.9950;0.7330;0.0067
Court_VAE_2000_6000_6_OCSVM_RBF_0,01_scale;0.6464;0.9900;0.7821;0.0120
Court_VAE_2000_6000_6_OCSVM_RBF_0,02_scale;0.8220;0.9708;0.8902;0.0158
Court_VAE_2000_6000_6_OCSVM_RBF_0,03_scale;0.8711;0.9563;0.9117;0.0222
Court_VAE_2000_6000_6_OCSVM_RBF_0,04_scale;0.8914;0.9455;0.9176;0.0282
Court_VAE_2000_6000_6_OCSVM_RBF_0,05_scale;0.9094;0.9330;0.9210;0.0336
Court_VAE_2000_6000_6_OCSVM_RBF_0,06_scale;0.9186;0.9203;0.9194;0.0400
Court_VAE_2000_6000_6_OCSVM_RBF_0,07_scale;0.9252;0.9125;0.9188;0.0460
Court_VAE_2000_6000_6_OCSVM_RBF_0,08_scale;0.9269;0.9032;0.9149;0.0523
Court_VAE_2000_6000_6_OCSVM_RBF_0,09_scale;0.9313;0.8875;0.9089;0.0664
Court_VAE_2000_6000_6_OCSVM_RBF_0,1_scale;0.9348;0.8788;0.9059;0.0690
Court_VAE_2000_6000_6_OCSVM_RBF_0,2_scale;0.9530;0.7555;0.8428;0.1361
Court_VAE_2000_6000_6_OCSVM_RBF_0,3_scale;0.9580;0.6502;0.7747;0.1869
Court_VAE_2000_6000_6_OCSVM_RBF_0,4_scale;0.9613;0.5460;0.6964;0.2418
Court_VAE_2000_6000_6_OCSVM_RBF_0,5_scale;0.9653;0.4452;0.6094;0.2950
Court_VAE_2000_6000_6_OCSVM_RBF_0,6_scale;0.9657;0.3595;0.5240;0.3750
Court_VAE_2000_6000_6_OCSVM_RBF_0,7_scale;0.9615;0.2622;0.4121;0.4181
Court_VAE_2000_6000_6_OCSVM_RBF_0,8_scale;0.9590;0.1815;0.3052;0.4677
Court_VAE_2000_6000_6_OCSVM_RBF_0,9_scale;0.9620;0.0950;0.1729;0.4915
Court_VAE_2000_6000_7_OCSVM_RBF_0,0001_scale;0.5347;0.9968;0.6960;0.0050
Court_VAE_2000_6000_7_OCSVM_RBF_0,0005_scale;0.5368;0.9982;0.6982;0.0044
Court_VAE_2000_6000_7_OCSVM_RBF_0,001_scale;0.5369;0.9980;0.6982;0.0049
Court_VAE_2000_6000_7_OCSVM_RBF_0,005_scale;0.5997;0.9925;0.7476;0.0098
Court_VAE_2000_6000_7_OCSVM_RBF_0,01_scale;0.6168;0.9912;0.7605;0.0104
Court_VAE_2000_6000_7_OCSVM_RBF_0,02_scale;0.7640;0.9762;0.8572;0.0165
Court_VAE_2000_6000_7_OCSVM_RBF_0,03_scale;0.8540;0.9593;0.9036;0.0228
Court_VAE_2000_6000_7_OCSVM_RBF_0,04_scale;0.9022;0.9430;0.9221;0.0321
Court_VAE_2000_6000_7_OCSVM_RBF_0,05_scale;0.9077;0.9293;0.9183;0.0347
Court_VAE_2000_6000_7_OCSVM_RBF_0,06_scale;0.9188;0.9140;0.9164;0.0466
Court_VAE_2000_6000_7_OCSVM_RBF_0,07_scale;0.9227;0.9067;0.9146;0.0469
Court_VAE_2000_6000_7_OCSVM_RBF_0,08_scale;0.9280;0.8952;0.9113;0.0529
Court_VAE_2000_6000_7_OCSVM_RBF_0,09_scale;0.9303;0.8775;0.9031;0.0589
Court_VAE_2000_6000_7_OCSVM_RBF_0,1_scale;0.9332;0.8660;0.8983;0.0705
Court_VAE_2000_6000_7_OCSVM_RBF_0,2_scale;0.9501;0.7520;0.8395;0.1242
Court_VAE_2000_6000_7_OCSVM_RBF_0,3_scale;0.9560;0.6470;0.7717;0.1977
Court_VAE_2000_6000_7_OCSVM_RBF_0,4_scale;0.9604;0.5390;0.6905;0.2431
Court_VAE_2000_6000_7_OCSVM_RBF_0,5_scale;0.9612;0.4402;0.6039;0.2994
Court_VAE_2000_6000_7_OCSVM_RBF_0,6_scale;0.9614;0.3545;0.5180;0.3883
Court_VAE_2000_6000_7_OCSVM_RBF_0,7_scale;0.9682;0.2667;0.4183;0.4338
Court_VAE_2000_6000_7_OCSVM_RBF_0,8_scale;0.9690;0.1800;0.3036;0.4613
Court_VAE_2000_6000_7_OCSVM_RBF_0,9_scale;0.9706;0.0990;0.1797;0.4948
Court_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.5178;0.9980;0.6818;0.0061
Court_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.5185;0.9988;0.6826;0.0052
Court_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.5182;0.9985;0.6823;0.0053
Court_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.5426;0.9960;0.7025;0.0070
Court_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.6044;0.9905;0.7507;0.0099
Court_VAE_2000_6000_8_OCSVM_RBF_0,02_scale;0.7387;0.9752;0.8406;0.0163
Court_VAE_2000_6000_8_OCSVM_RBF_0,03_scale;0.8078;0.9667;0.8802;0.0219
Court_VAE_2000_6000_8_OCSVM_RBF_0,04_scale;0.8797;0.9527;0.9148;0.0280
Court_VAE_2000_6000_8_OCSVM_RBF_0,05_scale;0.9010;0.9370;0.9186;0.0343
Court_VAE_2000_6000_8_OCSVM_RBF_0,06_scale;0.9106;0.9290;0.9197;0.0434
Court_VAE_2000_6000_8_OCSVM_RBF_0,07_scale;0.9169;0.9213;0.9191;0.0538
Court_VAE_2000_6000_8_OCSVM_RBF_0,08_scale;0.9264;0.8995;0.9127;0.0528
Court_VAE_2000_6000_8_OCSVM_RBF_0,09_scale;0.9327;0.8875;0.9096;0.0597
Court_VAE_2000_6000_8_OCSVM_RBF_0,1_scale;0.9358;0.8715;0.9025;0.0676
Court_VAE_2000_6000_8_OCSVM_RBF_0,2_scale;0.9532;0.7585;0.8448;0.1222
Court_VAE_2000_6000_8_OCSVM_RBF_0,3_scale;0.9603;0.6478;0.7737;0.1800
Court_VAE_2000_6000_8_OCSVM_RBF_0,4_scale;0.9646;0.5525;0.7026;0.2473
Court_VAE_2000_6000_8_OCSVM_RBF_0,5_scale;0.9668;0.4587;0.6222;0.3028
Court_VAE_2000_6000_8_OCSVM_RBF_0,6_scale;0.9685;0.3613;0.5262;0.3591
Court_VAE_2000_6000_8_OCSVM_RBF_0,7_scale;0.9673;0.2807;0.4352;0.4146
Court_VAE_2000_6000_8_OCSVM_RBF_0,8_scale;0.9677;0.1875;0.3141;0.4508
Court_VAE_2000_6000_8_OCSVM_RBF_0,9_scale;0.9622;0.0890;0.1629;0.4880
Court_VAE_2000_6000_4_OCSVM_RBF_0,0001_scale;0.5151;1.0000;0.6800;0.0038
Court_VAE_2000_6000_4_OCSVM_RBF_0,0005_scale;0.5151;1.0000;0.6800;0.0036
Court_VAE_2000_6000_4_OCSVM_RBF_0,001_scale;0.5151;1.0000;0.6800;0.0038
Court_VAE_2000_6000_4_OCSVM_RBF_0,005_scale;0.5357;0.9950;0.6964;0.0065
Court_VAE_2000_6000_4_OCSVM_RBF_0,01_scale;0.5571;0.9938;0.7140;0.0098
Court_VAE_2000_6000_4_OCSVM_RBF_0,02_scale;0.7310;0.9785;0.8369;0.0158
Court_VAE_2000_6000_4_OCSVM_RBF_0,03_scale;0.8158;0.9675;0.8852;0.0220
Court_VAE_2000_6000_4_OCSVM_RBF_0,04_scale;0.8523;0.9577;0.9019;0.0288
Court_VAE_2000_6000_4_OCSVM_RBF_0,05_scale;0.8734;0.9483;0.9093;0.0406
Court_VAE_2000_6000_4_OCSVM_RBF_0,06_scale;0.8899;0.9377;0.9132;0.0446
Court_VAE_2000_6000_4_OCSVM_RBF_0,07_scale;0.8995;0.9285;0.9138;0.0467
Court_VAE_2000_6000_4_OCSVM_RBF_0,08_scale;0.9051;0.9180;0.9115;0.0553
Court_VAE_2000_6000_4_OCSVM_RBF_0,09_scale;0.9142;0.9107;0.9125;0.0577
Court_VAE_2000_6000_4_OCSVM_RBF_0,1_scale;0.9190;0.9018;0.9103;0.0679
Court_VAE_2000_6000_4_OCSVM_RBF_0,2_scale;0.9456;0.8077;0.8712;0.1228
Court_VAE_2000_6000_4_OCSVM_RBF_0,3_scale;0.9546;0.6997;0.8076;0.1865
Court_VAE_2000_6000_4_OCSVM_RBF_0,4_scale;0.9587;0.6030;0.7403;0.2425
Court_VAE_2000_6000_4_OCSVM_RBF_0,5_scale;0.9588;0.5058;0.6622;0.2999
Court_VAE_2000_6000_4_OCSVM_RBF_0,6_scale;0.9615;0.4125;0.5773;0.3637
Court_VAE_2000_6000_4_OCSVM_RBF_0,7_scale;0.9636;0.3180;0.4782;0.4085
Court_VAE_2000_6000_4_OCSVM_RBF_0,8_scale;0.9638;0.1995;0.3306;0.4649
Court_VAE_2000_6000_4_OCSVM_RBF_0,9_scale;0.9651;0.1037;0.1874;0.4895
Court_VAE_2000_6000_5_OCSVM_RBF_0,0001_scale;0.5435;0.9992;0.7041;0.0067
Court_VAE_2000_6000_5_OCSVM_RBF_0,0005_scale;0.5422;0.9988;0.7029;0.0063
Court_VAE_2000_6000_5_OCSVM_RBF_0,001_scale;0.5425;0.9985;0.7030;0.0059
Court_VAE_2000_6000_5_OCSVM_RBF_0,005_scale;0.5602;0.9972;0.7174;0.0084
Court_VAE_2000_6000_5_OCSVM_RBF_0,01_scale;0.6130;0.9890;0.7568;0.0125
Court_VAE_2000_6000_5_OCSVM_RBF_0,02_scale;0.7158;0.9798;0.8272;0.0167
Court_VAE_2000_6000_5_OCSVM_RBF_0,03_scale;0.8442;0.9635;0.8999;0.0224
Court_VAE_2000_6000_5_OCSVM_RBF_0,04_scale;0.8848;0.9505;0.9165;0.0294
Court_VAE_2000_6000_5_OCSVM_RBF_0,05_scale;0.8989;0.9427;0.9203;0.0352
Court_VAE_2000_6000_5_OCSVM_RBF_0,06_scale;0.9121;0.9335;0.9227;0.0429
Court_VAE_2000_6000_5_OCSVM_RBF_0,07_scale;0.9208;0.9237;0.9223;0.0472
Court_VAE_2000_6000_5_OCSVM_RBF_0,08_scale;0.9273;0.9115;0.9193;0.0524
Court_VAE_2000_6000_5_OCSVM_RBF_0,09_scale;0.9326;0.8995;0.9158;0.0687
Court_VAE_2000_6000_5_OCSVM_RBF_0,1_scale;0.9365;0.8925;0.9140;0.0708
