Parametros;Precisao;Revocacao;F1-Score;Tempo
Drama_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.6812;0.9978;0.8096;0.0070
Drama_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.6812;0.9978;0.8096;0.0058
Drama_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.6812;0.9978;0.8096;0.0076
Drama_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.7563;0.9925;0.8585;0.0112
Drama_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.8649;0.9828;0.9201;0.0164
Drama_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.9438;0.9623;0.9530;0.0270
Drama_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9604;0.9465;0.9534;0.0443
Drama_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9731;0.9327;0.9525;0.0629
Drama_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9764;0.9197;0.9472;0.0636
Drama_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9793;0.8978;0.9367;0.0749
Drama_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9833;0.8842;0.9312;0.0983
Drama_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9847;0.8690;0.9232;0.0912
Drama_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9873;0.8538;0.9157;0.1077
Drama_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9877;0.8397;0.9077;0.1158
Drama_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9934;0.7190;0.8342;0.2502
Drama_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9938;0.5990;0.7475;0.3294
Drama_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9945;0.5015;0.6668;0.4259
Drama_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9951;0.4080;0.5787;0.5463
Drama_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9967;0.3025;0.4641;0.6692
Drama_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9978;0.2258;0.3682;0.4574
Drama_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9984;0.1605;0.2765;0.4603
Drama_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;1.0000;0.0960;0.1752;0.5009
Drama_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.8419;0.9945;0.9119;0.0039
Drama_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.8408;0.9945;0.9112;0.0041
Drama_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.8408;0.9945;0.9112;0.0040
Drama_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.9272;0.9832;0.9544;0.0077
Drama_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.9373;0.9752;0.9559;0.0102
Drama_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.9620;0.9560;0.9590;0.0158
Drama_VAE_2000_6000_10_OCSVM_RBF_0,03_scale;0.9723;0.9380;0.9548;0.0235
Drama_VAE_2000_6000_10_OCSVM_RBF_0,04_scale;0.9780;0.9235;0.9500;0.0285
Drama_VAE_2000_6000_10_OCSVM_RBF_0,05_scale;0.9798;0.9115;0.9444;0.0351
Drama_VAE_2000_6000_10_OCSVM_RBF_0,06_scale;0.9823;0.8998;0.9392;0.0452
Drama_VAE_2000_6000_10_OCSVM_RBF_0,07_scale;0.9844;0.8835;0.9312;0.0461
Drama_VAE_2000_6000_10_OCSVM_RBF_0,08_scale;0.9864;0.8675;0.9231;0.0522
Drama_VAE_2000_6000_10_OCSVM_RBF_0,09_scale;0.9875;0.8478;0.9123;0.0616
Drama_VAE_2000_6000_10_OCSVM_RBF_0,1_scale;0.9902;0.8350;0.9060;0.0735
Drama_VAE_2000_6000_10_OCSVM_RBF_0,2_scale;0.9952;0.7248;0.8387;0.1393
Drama_VAE_2000_6000_10_OCSVM_RBF_0,3_scale;0.9956;0.6250;0.7679;0.1970
Drama_VAE_2000_6000_10_OCSVM_RBF_0,4_scale;0.9963;0.5340;0.6953;0.2442
Drama_VAE_2000_6000_10_OCSVM_RBF_0,5_scale;0.9961;0.4480;0.6180;0.3011
Drama_VAE_2000_6000_10_OCSVM_RBF_0,6_scale;0.9974;0.3772;0.5474;0.3545
Drama_VAE_2000_6000_10_OCSVM_RBF_0,7_scale;0.9976;0.3182;0.4826;0.4116
Drama_VAE_2000_6000_10_OCSVM_RBF_0,8_scale;0.9989;0.2180;0.3579;0.4635
Drama_VAE_2000_6000_10_OCSVM_RBF_0,9_scale;0.9980;0.1263;0.2241;0.4727
Drama_VAE_2000_6000_6_OCSVM_RBF_0,0001_scale;0.6046;0.9932;0.7517;0.0071
Drama_VAE_2000_6000_6_OCSVM_RBF_0,0005_scale;0.6078;0.9950;0.7546;0.0062
Drama_VAE_2000_6000_6_OCSVM_RBF_0,001_scale;0.6059;0.9948;0.7531;0.0064
Drama_VAE_2000_6000_6_OCSVM_RBF_0,005_scale;0.6462;0.9918;0.7825;0.0075
Drama_VAE_2000_6000_6_OCSVM_RBF_0,01_scale;0.7685;0.9852;0.8635;0.0150
Drama_VAE_2000_6000_6_OCSVM_RBF_0,02_scale;0.8675;0.9788;0.9198;0.0179
Drama_VAE_2000_6000_6_OCSVM_RBF_0,03_scale;0.9343;0.9640;0.9489;0.0229
Drama_VAE_2000_6000_6_OCSVM_RBF_0,04_scale;0.9589;0.9457;0.9523;0.0293
Drama_VAE_2000_6000_6_OCSVM_RBF_0,05_scale;0.9731;0.9325;0.9524;0.0365
Drama_VAE_2000_6000_6_OCSVM_RBF_0,06_scale;0.9780;0.9235;0.9500;0.0471
Drama_VAE_2000_6000_6_OCSVM_RBF_0,07_scale;0.9808;0.9058;0.9418;0.0482
Drama_VAE_2000_6000_6_OCSVM_RBF_0,08_scale;0.9818;0.8922;0.9349;0.0551
Drama_VAE_2000_6000_6_OCSVM_RBF_0,09_scale;0.9833;0.8822;0.9300;0.0599
Drama_VAE_2000_6000_6_OCSVM_RBF_0,1_scale;0.9844;0.8702;0.9238;0.0739
Drama_VAE_2000_6000_6_OCSVM_RBF_0,2_scale;0.9920;0.7398;0.8475;0.1309
Drama_VAE_2000_6000_6_OCSVM_RBF_0,3_scale;0.9942;0.6382;0.7774;0.1962
Drama_VAE_2000_6000_6_OCSVM_RBF_0,4_scale;0.9972;0.5417;0.7021;0.2459
Drama_VAE_2000_6000_6_OCSVM_RBF_0,5_scale;0.9976;0.4238;0.5948;0.3057
Drama_VAE_2000_6000_6_OCSVM_RBF_0,6_scale;0.9985;0.3287;0.4946;0.3787
Drama_VAE_2000_6000_6_OCSVM_RBF_0,7_scale;0.9979;0.2333;0.3781;0.4169
Drama_VAE_2000_6000_6_OCSVM_RBF_0,8_scale;0.9965;0.1437;0.2513;0.4623
Drama_VAE_2000_6000_6_OCSVM_RBF_0,9_scale;1.0000;0.0638;0.1199;0.5000
Drama_VAE_2000_6000_7_OCSVM_RBF_0,0001_scale;0.5707;0.9955;0.7255;0.0042
Drama_VAE_2000_6000_7_OCSVM_RBF_0,0005_scale;0.5707;0.9955;0.7255;0.0056
Drama_VAE_2000_6000_7_OCSVM_RBF_0,001_scale;0.5707;0.9955;0.7255;0.0038
Drama_VAE_2000_6000_7_OCSVM_RBF_0,005_scale;0.6790;0.9862;0.8043;0.0071
Drama_VAE_2000_6000_7_OCSVM_RBF_0,01_scale;0.7314;0.9740;0.8354;0.0128
Drama_VAE_2000_6000_7_OCSVM_RBF_0,02_scale;0.9145;0.9577;0.9356;0.0166
Drama_VAE_2000_6000_7_OCSVM_RBF_0,03_scale;0.9574;0.9447;0.9511;0.0236
Drama_VAE_2000_6000_7_OCSVM_RBF_0,04_scale;0.9741;0.9313;0.9522;0.0270
Drama_VAE_2000_6000_7_OCSVM_RBF_0,05_scale;0.9782;0.9205;0.9485;0.0338
Drama_VAE_2000_6000_7_OCSVM_RBF_0,06_scale;0.9808;0.9070;0.9425;0.0457
