Parametros;Precisao;Revocacao;F1-Score;Tempo
Election_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.7523;0.9978;0.8578;0.0047
Election_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.7611;0.9988;0.8639;0.0054
Election_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.7617;0.9988;0.8643;0.0038
Election_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.7933;0.9952;0.8829;0.0064
Election_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.8564;0.9888;0.9178;0.0095
Election_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.9002;0.9785;0.9377;0.0153
Election_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9378;0.9695;0.9534;0.0228
Election_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9503;0.9613;0.9558;0.0288
Election_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9619;0.9530;0.9574;0.0350
Election_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9691;0.9490;0.9589;0.0494
Election_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9728;0.9385;0.9553;0.0467
Election_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9753;0.9277;0.9509;0.0534
Election_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9770;0.9137;0.9443;0.0598
Election_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9774;0.9067;0.9407;0.0746
Election_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9827;0.8093;0.8876;0.1261
Election_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9856;0.7007;0.8191;0.1972
Election_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9888;0.5955;0.7433;0.2493
Election_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9899;0.4880;0.6537;0.3051
Election_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9919;0.4000;0.5701;0.3895
Election_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9901;0.3003;0.4608;0.4184
Election_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9892;0.2052;0.3400;0.4673
Election_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.9906;0.1052;0.1903;0.4951
Election_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.6095;0.9988;0.7570;0.0045
Election_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.6095;0.9988;0.7570;0.0048
Election_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.6095;0.9988;0.7570;0.0050
Election_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.6415;0.9955;0.7802;0.0068
Election_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.7219;0.9910;0.8353;0.0105
Election_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.8337;0.9798;0.9008;0.0167
Election_VAE_2000_6000_10_OCSVM_RBF_0,03_scale;0.9078;0.9718;0.9387;0.0222
Election_VAE_2000_6000_10_OCSVM_RBF_0,04_scale;0.9407;0.9635;0.9520;0.0295
Election_VAE_2000_6000_10_OCSVM_RBF_0,05_scale;0.9583;0.9547;0.9565;0.0364
Election_VAE_2000_6000_10_OCSVM_RBF_0,06_scale;0.9642;0.9493;0.9567;0.0515
Election_VAE_2000_6000_10_OCSVM_RBF_0,07_scale;0.9699;0.9420;0.9557;0.0491
Election_VAE_2000_6000_10_OCSVM_RBF_0,08_scale;0.9721;0.9323;0.9518;0.0534
Election_VAE_2000_6000_10_OCSVM_RBF_0,09_scale;0.9729;0.9255;0.9486;0.0588
Election_VAE_2000_6000_10_OCSVM_RBF_0,1_scale;0.9748;0.9170;0.9450;0.0699
Election_VAE_2000_6000_10_OCSVM_RBF_0,2_scale;0.9823;0.8177;0.8925;0.1270
Election_VAE_2000_6000_10_OCSVM_RBF_0,3_scale;0.9864;0.7252;0.8359;0.2044
Election_VAE_2000_6000_10_OCSVM_RBF_0,4_scale;0.9863;0.6135;0.7565;0.2624
Election_VAE_2000_6000_10_OCSVM_RBF_0,5_scale;0.9907;0.5072;0.6710;0.3084
Election_VAE_2000_6000_10_OCSVM_RBF_0,6_scale;0.9899;0.3935;0.5631;0.3710
Election_VAE_2000_6000_10_OCSVM_RBF_0,7_scale;0.9924;0.2945;0.4542;0.4249
Election_VAE_2000_6000_10_OCSVM_RBF_0,8_scale;0.9898;0.1935;0.3237;0.4605
Election_VAE_2000_6000_10_OCSVM_RBF_0,9_scale;0.9893;0.0922;0.1688;0.4966
Election_VAE_2000_6000_6_OCSVM_RBF_0,0001_scale;0.7290;0.9995;0.8431;0.0064
Election_VAE_2000_6000_6_OCSVM_RBF_0,0005_scale;0.7290;0.9995;0.8431;0.0044
Election_VAE_2000_6000_6_OCSVM_RBF_0,001_scale;0.7290;0.9995;0.8431;0.0074
Election_VAE_2000_6000_6_OCSVM_RBF_0,005_scale;0.7771;0.9962;0.8731;0.0072
Election_VAE_2000_6000_6_OCSVM_RBF_0,01_scale;0.8493;0.9930;0.9155;0.0098
Election_VAE_2000_6000_6_OCSVM_RBF_0,02_scale;0.9003;0.9800;0.9385;0.0158
Election_VAE_2000_6000_6_OCSVM_RBF_0,03_scale;0.9369;0.9725;0.9544;0.0222
Election_VAE_2000_6000_6_OCSVM_RBF_0,04_scale;0.9513;0.9613;0.9562;0.0292
Election_VAE_2000_6000_6_OCSVM_RBF_0,05_scale;0.9576;0.9545;0.9561;0.0338
Election_VAE_2000_6000_6_OCSVM_RBF_0,06_scale;0.9663;0.9463;0.9562;0.0448
Election_VAE_2000_6000_6_OCSVM_RBF_0,07_scale;0.9694;0.9330;0.9508;0.0481
Election_VAE_2000_6000_6_OCSVM_RBF_0,08_scale;0.9724;0.9253;0.9482;0.0557
Election_VAE_2000_6000_6_OCSVM_RBF_0,09_scale;0.9750;0.9153;0.9442;0.0600
Election_VAE_2000_6000_6_OCSVM_RBF_0,1_scale;0.9767;0.9022;0.9380;0.0749
Election_VAE_2000_6000_6_OCSVM_RBF_0,2_scale;0.9819;0.7873;0.8739;0.1290
Election_VAE_2000_6000_6_OCSVM_RBF_0,3_scale;0.9845;0.6850;0.8079;0.2003
Election_VAE_2000_6000_6_OCSVM_RBF_0,4_scale;0.9885;0.5790;0.7303;0.2675
Election_VAE_2000_6000_6_OCSVM_RBF_0,5_scale;0.9880;0.4743;0.6409;0.2963
Election_VAE_2000_6000_6_OCSVM_RBF_0,6_scale;0.9865;0.3650;0.5328;0.3716
Election_VAE_2000_6000_6_OCSVM_RBF_0,7_scale;0.9887;0.2627;0.4152;0.4221
Election_VAE_2000_6000_6_OCSVM_RBF_0,8_scale;0.9912;0.1685;0.2880;0.4653
Election_VAE_2000_6000_6_OCSVM_RBF_0,9_scale;0.9867;0.0742;0.1381;0.4984
Election_VAE_2000_6000_7_OCSVM_RBF_0,0001_scale;0.8385;0.9992;0.9118;0.0044
Election_VAE_2000_6000_7_OCSVM_RBF_0,0005_scale;0.8385;0.9992;0.9118;0.0051
Election_VAE_2000_6000_7_OCSVM_RBF_0,001_scale;0.8385;0.9992;0.9118;0.0039
Election_VAE_2000_6000_7_OCSVM_RBF_0,005_scale;0.8779;0.9960;0.9332;0.0071
Election_VAE_2000_6000_7_OCSVM_RBF_0,01_scale;0.9066;0.9920;0.9474;0.0098
Election_VAE_2000_6000_7_OCSVM_RBF_0,02_scale;0.9361;0.9810;0.9580;0.0161
Election_VAE_2000_6000_7_OCSVM_RBF_0,03_scale;0.9499;0.9712;0.9604;0.0229
Election_VAE_2000_6000_7_OCSVM_RBF_0,04_scale;0.9614;0.9580;0.9597;0.0290
Election_VAE_2000_6000_7_OCSVM_RBF_0,05_scale;0.9670;0.9535;0.9602;0.0340
Election_VAE_2000_6000_7_OCSVM_RBF_0,06_scale;0.9719;0.9430;0.9572;0.0456
Election_VAE_2000_6000_7_OCSVM_RBF_0,07_scale;0.9750;0.9347;0.9544;0.0474
Election_VAE_2000_6000_7_OCSVM_RBF_0,08_scale;0.9765;0.9227;0.9488;0.0516
Election_VAE_2000_6000_7_OCSVM_RBF_0,09_scale;0.9783;0.9120;0.9440;0.0582
Election_VAE_2000_6000_7_OCSVM_RBF_0,1_scale;0.9786;0.9052;0.9405;0.0783
Election_VAE_2000_6000_7_OCSVM_RBF_0,2_scale;0.9835;0.7875;0.8746;0.1228
Election_VAE_2000_6000_7_OCSVM_RBF_0,3_scale;0.9850;0.6733;0.7998;0.1977
Election_VAE_2000_6000_7_OCSVM_RBF_0,4_scale;0.9868;0.5810;0.7314;0.2481
Election_VAE_2000_6000_7_OCSVM_RBF_0,5_scale;0.9886;0.4985;0.6628;0.3055
Election_VAE_2000_6000_7_OCSVM_RBF_0,6_scale;0.9882;0.3962;0.5657;0.3689
Election_VAE_2000_6000_7_OCSVM_RBF_0,7_scale;0.9897;0.2883;0.4465;0.4193
Election_VAE_2000_6000_7_OCSVM_RBF_0,8_scale;0.9873;0.1940;0.3243;0.4521
Election_VAE_2000_6000_7_OCSVM_RBF_0,9_scale;0.9893;0.0925;0.1692;0.5080
Election_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.8618;0.9992;0.9254;0.0039
Election_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.8618;0.9992;0.9254;0.0032
Election_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.8618;0.9992;0.9254;0.0037
Election_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.9086;0.9965;0.9505;0.0132
Election_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.9299;0.9922;0.9601;0.0115
Election_VAE_2000_6000_8_OCSVM_RBF_0,02_scale;0.9463;0.9825;0.9641;0.0177
Election_VAE_2000_6000_8_OCSVM_RBF_0,03_scale;0.9526;0.9750;0.9637;0.0226
Election_VAE_2000_6000_8_OCSVM_RBF_0,04_scale;0.9607;0.9650;0.9628;0.0289
Election_VAE_2000_6000_8_OCSVM_RBF_0,05_scale;0.9657;0.9560;0.9608;0.0341
Election_VAE_2000_6000_8_OCSVM_RBF_0,06_scale;0.9671;0.9475;0.9572;0.0440
Election_VAE_2000_6000_8_OCSVM_RBF_0,07_scale;0.9703;0.9400;0.9549;0.0467
Election_VAE_2000_6000_8_OCSVM_RBF_0,08_scale;0.9718;0.9305;0.9507;0.0531
Election_VAE_2000_6000_8_OCSVM_RBF_0,09_scale;0.9725;0.9185;0.9447;0.0636
Election_VAE_2000_6000_8_OCSVM_RBF_0,1_scale;0.9744;0.9032;0.9375;0.0680
Election_VAE_2000_6000_8_OCSVM_RBF_0,2_scale;0.9805;0.7933;0.8770;0.1221
Election_VAE_2000_6000_8_OCSVM_RBF_0,3_scale;0.9834;0.6945;0.8141;0.1832
Election_VAE_2000_6000_8_OCSVM_RBF_0,4_scale;0.9850;0.5903;0.7382;0.2402
