Parametros;Precisao;Revocacao;F1-Score;Tempo
Employee_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.5172;0.9982;0.6814;0.0046
Employee_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.5172;0.9982;0.6814;0.0033
Employee_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.5172;0.9982;0.6814;0.0036
Employee_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.6936;0.9928;0.8167;0.0060
Employee_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.8205;0.9825;0.8942;0.0096
Employee_VAE_2000_6000_8_OCSVM_RBF_0,02_scale;0.8845;0.9595;0.9205;0.0163
Employee_VAE_2000_6000_8_OCSVM_RBF_0,03_scale;0.9046;0.9483;0.9259;0.0224
Employee_VAE_2000_6000_8_OCSVM_RBF_0,04_scale;0.9214;0.9377;0.9295;0.0285
Employee_VAE_2000_6000_8_OCSVM_RBF_0,05_scale;0.9266;0.9305;0.9285;0.0345
Employee_VAE_2000_6000_8_OCSVM_RBF_0,06_scale;0.9329;0.9077;0.9202;0.0400
Employee_VAE_2000_6000_8_OCSVM_RBF_0,07_scale;0.9362;0.8992;0.9174;0.0515
Employee_VAE_2000_6000_8_OCSVM_RBF_0,08_scale;0.9381;0.8872;0.9120;0.0543
Employee_VAE_2000_6000_8_OCSVM_RBF_0,09_scale;0.9434;0.8705;0.9055;0.0580
Employee_VAE_2000_6000_8_OCSVM_RBF_0,1_scale;0.9450;0.8588;0.8998;0.0637
Employee_VAE_2000_6000_8_OCSVM_RBF_0,2_scale;0.9593;0.7312;0.8299;0.1350
Employee_VAE_2000_6000_8_OCSVM_RBF_0,3_scale;0.9681;0.6150;0.7522;0.1853
Employee_VAE_2000_6000_8_OCSVM_RBF_0,4_scale;0.9703;0.5312;0.6866;0.2428
Employee_VAE_2000_6000_8_OCSVM_RBF_0,5_scale;0.9699;0.4265;0.5925;0.3011
Employee_VAE_2000_6000_8_OCSVM_RBF_0,6_scale;0.9726;0.3372;0.5008;0.3790
Employee_VAE_2000_6000_8_OCSVM_RBF_0,7_scale;0.9719;0.2597;0.4099;0.4313
Employee_VAE_2000_6000_8_OCSVM_RBF_0,8_scale;0.9714;0.1700;0.2894;0.4649
Employee_VAE_2000_6000_8_OCSVM_RBF_0,9_scale;0.9708;0.0833;0.1534;0.5023
Employee_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.5178;0.9982;0.6819;0.0046
Employee_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.5178;0.9982;0.6819;0.0037
Employee_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.5178;0.9982;0.6819;0.0034
Employee_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.7498;0.9912;0.8538;0.0066
Employee_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.8431;0.9822;0.9074;0.0103
Employee_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.8924;0.9645;0.9271;0.0161
Employee_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9124;0.9530;0.9323;0.0226
Employee_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9309;0.9400;0.9354;0.0292
Employee_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9333;0.9273;0.9303;0.0351
Employee_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9384;0.9107;0.9244;0.0408
Employee_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9421;0.8995;0.9203;0.0482
Employee_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9449;0.8870;0.9150;0.0606
Employee_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9483;0.8750;0.9102;0.0591
Employee_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9521;0.8588;0.9030;0.0725
Employee_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9644;0.7380;0.8361;0.1233
Employee_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9694;0.6330;0.7659;0.1863
Employee_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9703;0.5302;0.6857;0.2508
Employee_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9719;0.4323;0.5984;0.3074
Employee_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9725;0.3448;0.5090;0.3815
Employee_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9702;0.2527;0.4010;0.4194
Employee_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9719;0.1732;0.2941;0.4738
Employee_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.9760;0.1015;0.1839;0.4988
Employee_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.5169;0.9998;0.6815;0.0043
Employee_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.5169;0.9998;0.6815;0.0042
Employee_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.5169;0.9998;0.6815;0.0038
Employee_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.6860;0.9922;0.8112;0.0105
Employee_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.8251;0.9815;0.8966;0.0128
Employee_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.8767;0.9710;0.9215;0.0171
Employee_VAE_2000_6000_10_OCSVM_RBF_0,03_scale;0.8951;0.9597;0.9263;0.0258
Employee_VAE_2000_6000_10_OCSVM_RBF_0,04_scale;0.9189;0.9353;0.9270;0.0302
Employee_VAE_2000_6000_10_OCSVM_RBF_0,05_scale;0.9287;0.9153;0.9219;0.0335
Employee_VAE_2000_6000_10_OCSVM_RBF_0,06_scale;0.9332;0.9050;0.9189;0.0441
Employee_VAE_2000_6000_10_OCSVM_RBF_0,07_scale;0.9371;0.8905;0.9132;0.0466
Employee_VAE_2000_6000_10_OCSVM_RBF_0,08_scale;0.9402;0.8732;0.9055;0.0516
Employee_VAE_2000_6000_10_OCSVM_RBF_0,09_scale;0.9452;0.8622;0.9018;0.0569
Employee_VAE_2000_6000_10_OCSVM_RBF_0,1_scale;0.9467;0.8445;0.8927;0.0774
Employee_VAE_2000_6000_10_OCSVM_RBF_0,2_scale;0.9604;0.7402;0.8361;0.1222
Employee_VAE_2000_6000_10_OCSVM_RBF_0,3_scale;0.9645;0.6252;0.7587;0.1858
Employee_VAE_2000_6000_10_OCSVM_RBF_0,4_scale;0.9677;0.5172;0.6742;0.2562
Employee_VAE_2000_6000_10_OCSVM_RBF_0,5_scale;0.9672;0.4198;0.5854;0.2948
Employee_VAE_2000_6000_10_OCSVM_RBF_0,6_scale;0.9640;0.3347;0.4969;0.3764
Employee_VAE_2000_6000_10_OCSVM_RBF_0,7_scale;0.9637;0.2655;0.4163;0.4268
Employee_VAE_2000_6000_10_OCSVM_RBF_0,8_scale;0.9634;0.1845;0.3097;0.4518
Employee_VAE_2000_6000_10_OCSVM_RBF_0,9_scale;0.9623;0.0958;0.1742;0.4910
Employee_VAE_2000_6000_6_OCSVM_RBF_0,0001_scale;0.5117;0.9988;0.6767;0.0043
Employee_VAE_2000_6000_6_OCSVM_RBF_0,0005_scale;0.5117;0.9988;0.6767;0.0036
Employee_VAE_2000_6000_6_OCSVM_RBF_0,001_scale;0.5117;0.9988;0.6767;0.0033
Employee_VAE_2000_6000_6_OCSVM_RBF_0,005_scale;0.5939;0.9960;0.7441;0.0064
Employee_VAE_2000_6000_6_OCSVM_RBF_0,01_scale;0.7819;0.9805;0.8700;0.0094
Employee_VAE_2000_6000_6_OCSVM_RBF_0,02_scale;0.8387;0.9673;0.8984;0.0157
Employee_VAE_2000_6000_6_OCSVM_RBF_0,03_scale;0.8613;0.9565;0.9064;0.0227
Employee_VAE_2000_6000_6_OCSVM_RBF_0,04_scale;0.8838;0.9433;0.9126;0.0281
Employee_VAE_2000_6000_6_OCSVM_RBF_0,05_scale;0.9055;0.9217;0.9135;0.0342
Employee_VAE_2000_6000_6_OCSVM_RBF_0,06_scale;0.9094;0.9105;0.9099;0.0447
Employee_VAE_2000_6000_6_OCSVM_RBF_0,07_scale;0.9200;0.9000;0.9099;0.0473
Employee_VAE_2000_6000_6_OCSVM_RBF_0,08_scale;0.9324;0.8855;0.9083;0.0555
Employee_VAE_2000_6000_6_OCSVM_RBF_0,09_scale;0.9341;0.8790;0.9057;0.0583
Employee_VAE_2000_6000_6_OCSVM_RBF_0,1_scale;0.9363;0.8702;0.9020;0.0693
Employee_VAE_2000_6000_6_OCSVM_RBF_0,2_scale;0.9549;0.7412;0.8346;0.1288
Employee_VAE_2000_6000_6_OCSVM_RBF_0,3_scale;0.9612;0.6432;0.7707;0.1981
Employee_VAE_2000_6000_6_OCSVM_RBF_0,4_scale;0.9676;0.5377;0.6913;0.2478
Employee_VAE_2000_6000_6_OCSVM_RBF_0,5_scale;0.9696;0.4308;0.5965;0.3023
Employee_VAE_2000_6000_6_OCSVM_RBF_0,6_scale;0.9724;0.3528;0.5177;0.3731
Employee_VAE_2000_6000_6_OCSVM_RBF_0,7_scale;0.9715;0.2637;0.4149;0.4355
Employee_VAE_2000_6000_6_OCSVM_RBF_0,8_scale;0.9806;0.1898;0.3180;0.4643
Employee_VAE_2000_6000_6_OCSVM_RBF_0,9_scale;0.9728;0.0985;0.1789;0.4962
Employee_VAE_2000_6000_7_OCSVM_RBF_0,0001_scale;0.5189;0.9992;0.6831;0.0048
Employee_VAE_2000_6000_7_OCSVM_RBF_0,0005_scale;0.5189;0.9992;0.6831;0.0046
Employee_VAE_2000_6000_7_OCSVM_RBF_0,001_scale;0.5189;0.9992;0.6831;0.0037
Employee_VAE_2000_6000_7_OCSVM_RBF_0,005_scale;0.7044;0.9952;0.8249;0.0069
