Parametros;Precisao;Revocacao;F1-Score;Tempo
Media_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.7389;0.9868;0.8450;0.0089
Media_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.7322;0.9890;0.8414;0.0076
Media_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.7330;0.9882;0.8417;0.0077
Media_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.7360;0.9878;0.8435;0.0096
Media_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.7546;0.9818;0.8533;0.0176
Media_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.7995;0.9663;0.8750;0.0180
Media_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.8130;0.9545;0.8781;0.0238
Media_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.8345;0.9430;0.8854;0.0308
Media_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.8402;0.9343;0.8847;0.0365
Media_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.8573;0.9225;0.8887;0.0473
Media_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.8693;0.9110;0.8896;0.0490
Media_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.8815;0.8962;0.8888;0.0542
Media_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.8873;0.8875;0.8874;0.0599
Media_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.8965;0.8770;0.8866;0.0731
Media_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9378;0.7688;0.8449;0.1244
Media_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9577;0.6570;0.7794;0.2115
Media_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9639;0.5613;0.7094;0.2528
Media_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9699;0.4590;0.6231;0.2966
Media_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9733;0.3548;0.5200;0.3461
Media_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9807;0.2535;0.4029;0.4068
Media_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9772;0.1718;0.2922;0.4370
Media_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.9788;0.0922;0.1686;0.4778
Media_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.6292;0.9988;0.7721;0.0040
Media_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.6292;0.9988;0.7721;0.0037
Media_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.6292;0.9988;0.7721;0.0046
Media_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.7422;0.9938;0.8497;0.0071
Media_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.7850;0.9888;0.8752;0.0094
Media_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.8177;0.9780;0.8907;0.0159
Media_VAE_2000_6000_10_OCSVM_RBF_0,03_scale;0.8625;0.9673;0.9119;0.0229
Media_VAE_2000_6000_10_OCSVM_RBF_0,04_scale;0.8812;0.9527;0.9156;0.0297
Media_VAE_2000_6000_10_OCSVM_RBF_0,05_scale;0.8903;0.9455;0.9171;0.0395
Media_VAE_2000_6000_10_OCSVM_RBF_0,06_scale;0.9032;0.9357;0.9192;0.0462
Media_VAE_2000_6000_10_OCSVM_RBF_0,07_scale;0.9134;0.9233;0.9183;0.0465
Media_VAE_2000_6000_10_OCSVM_RBF_0,08_scale;0.9270;0.9110;0.9189;0.0580
Media_VAE_2000_6000_10_OCSVM_RBF_0,09_scale;0.9376;0.8945;0.9156;0.0588
Media_VAE_2000_6000_10_OCSVM_RBF_0,1_scale;0.9406;0.8868;0.9129;0.0760
Media_VAE_2000_6000_10_OCSVM_RBF_0,2_scale;0.9619;0.7893;0.8671;0.1276
Media_VAE_2000_6000_10_OCSVM_RBF_0,3_scale;0.9667;0.6833;0.8006;0.1915
Media_VAE_2000_6000_10_OCSVM_RBF_0,4_scale;0.9732;0.5820;0.7284;0.2390
Media_VAE_2000_6000_10_OCSVM_RBF_0,5_scale;0.9756;0.4800;0.6434;0.3101
Media_VAE_2000_6000_10_OCSVM_RBF_0,6_scale;0.9815;0.3855;0.5536;0.3847
Media_VAE_2000_6000_10_OCSVM_RBF_0,7_scale;0.9834;0.2812;0.4374;0.4174
Media_VAE_2000_6000_10_OCSVM_RBF_0,8_scale;0.9821;0.1782;0.3017;0.4657
Media_VAE_2000_6000_10_OCSVM_RBF_0,9_scale;0.9833;0.0882;0.1620;0.4874
Media_VAE_2000_6000_6_OCSVM_RBF_0,0001_scale;0.6052;0.9968;0.7531;0.0100
