Parametros;Precisao;Revocacao;F1-Score;Tempo
Opera_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.7159;0.9972;0.8335;0.0044
Opera_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.7200;0.9972;0.8363;0.0044
Opera_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.7200;0.9972;0.8363;0.0048
Opera_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.8270;0.9922;0.9021;0.0079
Opera_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.8639;0.9870;0.9214;0.0110
Opera_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.9438;0.9700;0.9567;0.0168
Opera_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9620;0.9623;0.9621;0.0221
Opera_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9728;0.9493;0.9609;0.0293
Opera_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9783;0.9355;0.9564;0.0363
Opera_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9809;0.9220;0.9505;0.0468
Opera_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9835;0.8950;0.9372;0.0475
Opera_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9859;0.8732;0.9262;0.0515
Opera_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9873;0.8548;0.9163;0.0599
Opera_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9874;0.8452;0.9108;0.0837
Opera_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9904;0.6990;0.8196;0.1342
Opera_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9958;0.5903;0.7412;0.1993
Opera_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9960;0.4923;0.6589;0.2463
Opera_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9969;0.4080;0.5790;0.3007
Opera_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9976;0.3127;0.4762;0.3854
Opera_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9967;0.2290;0.3724;0.4345
Opera_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9967;0.1515;0.2630;0.4783
Opera_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.9930;0.0710;0.1325;0.4931
Opera_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.7552;0.9982;0.8599;0.0035
Opera_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.7552;0.9982;0.8599;0.0035
Opera_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.7552;0.9982;0.8599;0.0035
Opera_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.8721;0.9905;0.9275;0.0063
Opera_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.9153;0.9855;0.9491;0.0133
Opera_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.9679;0.9640;0.9659;0.0174
Opera_VAE_2000_6000_10_OCSVM_RBF_0,03_scale;0.9779;0.9493;0.9633;0.0245
Opera_VAE_2000_6000_10_OCSVM_RBF_0,04_scale;0.9809;0.9365;0.9582;0.0280
Opera_VAE_2000_6000_10_OCSVM_RBF_0,05_scale;0.9827;0.9223;0.9515;0.0335
Opera_VAE_2000_6000_10_OCSVM_RBF_0,06_scale;0.9843;0.9067;0.9439;0.0444
Opera_VAE_2000_6000_10_OCSVM_RBF_0,07_scale;0.9883;0.8875;0.9352;0.0462
Opera_VAE_2000_6000_10_OCSVM_RBF_0,08_scale;0.9902;0.8618;0.9215;0.0527
Opera_VAE_2000_6000_10_OCSVM_RBF_0,09_scale;0.9909;0.8462;0.9129;0.0587
Opera_VAE_2000_6000_10_OCSVM_RBF_0,1_scale;0.9919;0.8257;0.9012;0.0775
Opera_VAE_2000_6000_10_OCSVM_RBF_0,2_scale;0.9957;0.7005;0.8224;0.1297
Opera_VAE_2000_6000_10_OCSVM_RBF_0,3_scale;0.9975;0.6008;0.7499;0.1922
Opera_VAE_2000_6000_10_OCSVM_RBF_0,4_scale;0.9981;0.5150;0.6794;0.2512
Opera_VAE_2000_6000_10_OCSVM_RBF_0,5_scale;0.9982;0.4235;0.5947;0.2962
Opera_VAE_2000_6000_10_OCSVM_RBF_0,6_scale;0.9986;0.3453;0.5131;0.3740
Opera_VAE_2000_6000_10_OCSVM_RBF_0,7_scale;0.9981;0.2585;0.4106;0.4160
Opera_VAE_2000_6000_10_OCSVM_RBF_0,8_scale;0.9987;0.1857;0.3132;0.4746
Opera_VAE_2000_6000_10_OCSVM_RBF_0,9_scale;0.9973;0.0927;0.1697;0.4851
Opera_VAE_2000_6000_6_OCSVM_RBF_0,0001_scale;0.7543;0.9962;0.8586;0.0033
Opera_VAE_2000_6000_6_OCSVM_RBF_0,0005_scale;0.7543;0.9962;0.8586;0.0033
Opera_VAE_2000_6000_6_OCSVM_RBF_0,001_scale;0.7543;0.9962;0.8586;0.0032
Opera_VAE_2000_6000_6_OCSVM_RBF_0,005_scale;0.8287;0.9905;0.9024;0.0066
Opera_VAE_2000_6000_6_OCSVM_RBF_0,01_scale;0.8559;0.9828;0.9149;0.0099
Opera_VAE_2000_6000_6_OCSVM_RBF_0,02_scale;0.9261;0.9685;0.9468;0.0197
Opera_VAE_2000_6000_6_OCSVM_RBF_0,03_scale;0.9382;0.9607;0.9494;0.0252
Opera_VAE_2000_6000_6_OCSVM_RBF_0,04_scale;0.9543;0.9457;0.9500;0.0292
Opera_VAE_2000_6000_6_OCSVM_RBF_0,05_scale;0.9617;0.9345;0.9479;0.0344
Opera_VAE_2000_6000_6_OCSVM_RBF_0,06_scale;0.9706;0.9173;0.9432;0.0457
Opera_VAE_2000_6000_6_OCSVM_RBF_0,07_scale;0.9742;0.9050;0.9383;0.0460
Opera_VAE_2000_6000_6_OCSVM_RBF_0,08_scale;0.9770;0.8920;0.9326;0.0521
Opera_VAE_2000_6000_6_OCSVM_RBF_0,09_scale;0.9786;0.8818;0.9277;0.0579
Opera_VAE_2000_6000_6_OCSVM_RBF_0,1_scale;0.9814;0.8685;0.9215;0.0691
Opera_VAE_2000_6000_6_OCSVM_RBF_0,2_scale;0.9920;0.7418;0.8488;0.1300
Opera_VAE_2000_6000_6_OCSVM_RBF_0,3_scale;0.9938;0.6372;0.7765;0.2012
Opera_VAE_2000_6000_6_OCSVM_RBF_0,4_scale;0.9944;0.5360;0.6966;0.2422
Opera_VAE_2000_6000_6_OCSVM_RBF_0,5_scale;0.9943;0.4328;0.6030;0.3011
Opera_VAE_2000_6000_6_OCSVM_RBF_0,6_scale;0.9965;0.3543;0.5227;0.3851
Opera_VAE_2000_6000_6_OCSVM_RBF_0,7_scale;0.9982;0.2737;0.4297;0.4125
Opera_VAE_2000_6000_6_OCSVM_RBF_0,8_scale;0.9987;0.1940;0.3249;0.4526
Opera_VAE_2000_6000_6_OCSVM_RBF_0,9_scale;1.0000;0.1067;0.1929;0.4798
Opera_VAE_2000_6000_7_OCSVM_RBF_0,0001_scale;0.6145;0.9982;0.7607;0.0056
Opera_VAE_2000_6000_7_OCSVM_RBF_0,0005_scale;0.6145;0.9982;0.7607;0.0043
Opera_VAE_2000_6000_7_OCSVM_RBF_0,001_scale;0.6145;0.9982;0.7607;0.0045
Opera_VAE_2000_6000_7_OCSVM_RBF_0,005_scale;0.7253;0.9945;0.8388;0.0077
Opera_VAE_2000_6000_7_OCSVM_RBF_0,01_scale;0.9065;0.9818;0.9426;0.0134
Opera_VAE_2000_6000_7_OCSVM_RBF_0,02_scale;0.9404;0.9705;0.9552;0.0192
Opera_VAE_2000_6000_7_OCSVM_RBF_0,03_scale;0.9572;0.9610;0.9591;0.0224
Opera_VAE_2000_6000_7_OCSVM_RBF_0,04_scale;0.9669;0.9503;0.9585;0.0304
Opera_VAE_2000_6000_7_OCSVM_RBF_0,05_scale;0.9737;0.9363;0.9546;0.0376
