Parametros;Precisao;Revocacao;F1-Score;Tempo
Stocks_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.8501;0.9982;0.9182;0.0042
Stocks_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.8501;0.9982;0.9182;0.0044
Stocks_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.8501;0.9982;0.9182;0.0037
Stocks_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.9126;0.9948;0.9519;0.0065
Stocks_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.9369;0.9910;0.9632;0.0099
Stocks_VAE_2000_6000_8_OCSVM_RBF_0,02_scale;0.9489;0.9832;0.9657;0.0158
Stocks_VAE_2000_6000_8_OCSVM_RBF_0,03_scale;0.9558;0.9725;0.9641;0.0221
Stocks_VAE_2000_6000_8_OCSVM_RBF_0,04_scale;0.9622;0.9600;0.9611;0.0289
Stocks_VAE_2000_6000_8_OCSVM_RBF_0,05_scale;0.9642;0.9507;0.9575;0.0352
Stocks_VAE_2000_6000_8_OCSVM_RBF_0,06_scale;0.9663;0.9400;0.9530;0.0445
Stocks_VAE_2000_6000_8_OCSVM_RBF_0,07_scale;0.9672;0.9303;0.9484;0.0451
Stocks_VAE_2000_6000_8_OCSVM_RBF_0,08_scale;0.9690;0.9223;0.9450;0.0527
Stocks_VAE_2000_6000_8_OCSVM_RBF_0,09_scale;0.9707;0.9095;0.9391;0.0726
Stocks_VAE_2000_6000_8_OCSVM_RBF_0,1_scale;0.9718;0.8970;0.9329;0.0902
Stocks_VAE_2000_6000_8_OCSVM_RBF_0,2_scale;0.9775;0.7837;0.8700;0.1366
Stocks_VAE_2000_6000_8_OCSVM_RBF_0,3_scale;0.9821;0.6705;0.7969;0.1877
Stocks_VAE_2000_6000_8_OCSVM_RBF_0,4_scale;0.9841;0.5740;0.7251;0.2483
Stocks_VAE_2000_6000_8_OCSVM_RBF_0,5_scale;0.9860;0.4928;0.6571;0.3161
Stocks_VAE_2000_6000_8_OCSVM_RBF_0,6_scale;0.9882;0.3980;0.5675;0.3661
Stocks_VAE_2000_6000_8_OCSVM_RBF_0,7_scale;0.9866;0.2943;0.4533;0.4082
Stocks_VAE_2000_6000_8_OCSVM_RBF_0,8_scale;0.9875;0.1970;0.3285;0.4684
Stocks_VAE_2000_6000_8_OCSVM_RBF_0,9_scale;0.9854;0.1013;0.1836;0.4748
Stocks_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.8626;0.9962;0.9246;0.0092
Stocks_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.8641;0.9962;0.9255;0.0056
Stocks_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.8641;0.9962;0.9255;0.0045
Stocks_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.8720;0.9928;0.9285;0.0073
Stocks_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.9099;0.9892;0.9479;0.0127
Stocks_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.9341;0.9748;0.9540;0.0166
Stocks_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9383;0.9688;0.9533;0.0240
Stocks_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9427;0.9627;0.9526;0.0298
Stocks_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9473;0.9517;0.9495;0.0362
