Parametros;Precisao;Revocacao;F1-Score;Tempo
Tariff_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.5776;0.9988;0.7320;0.0044
Tariff_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.5782;0.9988;0.7324;0.0036
Tariff_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.5790;0.9988;0.7330;0.0036
Tariff_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.6391;0.9948;0.7782;0.0069
Tariff_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.6922;0.9905;0.8149;0.0100
Tariff_VAE_2000_6000_8_OCSVM_RBF_0,02_scale;0.7574;0.9805;0.8547;0.0185
Tariff_VAE_2000_6000_8_OCSVM_RBF_0,03_scale;0.7934;0.9688;0.8724;0.0225
Tariff_VAE_2000_6000_8_OCSVM_RBF_0,04_scale;0.8368;0.9523;0.8908;0.0375
Tariff_VAE_2000_6000_8_OCSVM_RBF_0,05_scale;0.8560;0.9423;0.8971;0.0338
Tariff_VAE_2000_6000_8_OCSVM_RBF_0,06_scale;0.8737;0.9290;0.9005;0.0583
Tariff_VAE_2000_6000_8_OCSVM_RBF_0,07_scale;0.8867;0.9177;0.9020;0.0462
Tariff_VAE_2000_6000_8_OCSVM_RBF_0,08_scale;0.8992;0.9030;0.9011;0.0519
Tariff_VAE_2000_6000_8_OCSVM_RBF_0,09_scale;0.9037;0.8820;0.8927;0.0590
Tariff_VAE_2000_6000_8_OCSVM_RBF_0,1_scale;0.9120;0.8658;0.8883;0.0702
Tariff_VAE_2000_6000_8_OCSVM_RBF_0,2_scale;0.9441;0.7518;0.8370;0.1323
Tariff_VAE_2000_6000_8_OCSVM_RBF_0,3_scale;0.9567;0.6408;0.7675;0.1894
Tariff_VAE_2000_6000_8_OCSVM_RBF_0,4_scale;0.9624;0.5433;0.6945;0.2454
Tariff_VAE_2000_6000_8_OCSVM_RBF_0,5_scale;0.9690;0.4382;0.6035;0.3074
Tariff_VAE_2000_6000_8_OCSVM_RBF_0,6_scale;0.9731;0.3347;0.4981;0.3662
Tariff_VAE_2000_6000_8_OCSVM_RBF_0,7_scale;0.9765;0.2495;0.3975;0.4252
Tariff_VAE_2000_6000_8_OCSVM_RBF_0,8_scale;0.9786;0.1713;0.2915;0.4616
Tariff_VAE_2000_6000_8_OCSVM_RBF_0,9_scale;0.9844;0.0790;0.1463;0.4950
Tariff_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.5741;0.9990;0.7291;0.0038
Tariff_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.5741;0.9990;0.7291;0.0041
Tariff_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.5741;0.9990;0.7291;0.0036
Tariff_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.6829;0.9892;0.8080;0.0072
Tariff_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.7128;0.9828;0.8263;0.0098
Tariff_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.7584;0.9677;0.8504;0.0158
Tariff_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.8123;0.9497;0.8756;0.0215
Tariff_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.8401;0.9390;0.8868;0.0279
Tariff_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.8632;0.9215;0.8914;0.0343
Tariff_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.8730;0.9077;0.8901;0.0400
Tariff_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.8834;0.8922;0.8878;0.0572
Tariff_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.8911;0.8718;0.8813;0.0572
Tariff_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.8940;0.8602;0.8768;0.0595
Tariff_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.8994;0.8492;0.8736;0.0736
Tariff_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9391;0.7130;0.8106;0.1407
Tariff_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9509;0.6195;0.7502;0.1887
Tariff_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9590;0.5145;0.6697;0.2491
Tariff_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9718;0.4223;0.5887;0.3014
Tariff_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9744;0.3327;0.4961;0.3756
Tariff_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9769;0.2427;0.3889;0.4307
Tariff_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9791;0.1752;0.2973;0.4539
Tariff_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.9774;0.0865;0.1589;0.4998
