Parametros;Precisao;Revocacao;F1-Score;Tempo
Transport_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.5155;0.9992;0.6802;0.0046
Transport_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.5155;0.9992;0.6802;0.0038
Transport_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.5155;0.9992;0.6802;0.0034
Transport_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.8302;0.9888;0.9026;0.0062
Transport_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.8797;0.9835;0.9287;0.0095
Transport_VAE_2000_6000_8_OCSVM_RBF_0,02_scale;0.9300;0.9670;0.9482;0.0168
Transport_VAE_2000_6000_8_OCSVM_RBF_0,03_scale;0.9452;0.9527;0.9490;0.0236
Transport_VAE_2000_6000_8_OCSVM_RBF_0,04_scale;0.9480;0.9427;0.9453;0.0289
Transport_VAE_2000_6000_8_OCSVM_RBF_0,05_scale;0.9523;0.9325;0.9423;0.0366
Transport_VAE_2000_6000_8_OCSVM_RBF_0,06_scale;0.9563;0.9243;0.9400;0.0458
Transport_VAE_2000_6000_8_OCSVM_RBF_0,07_scale;0.9615;0.9110;0.9356;0.0464
Transport_VAE_2000_6000_8_OCSVM_RBF_0,08_scale;0.9650;0.9030;0.9330;0.0514
Transport_VAE_2000_6000_8_OCSVM_RBF_0,09_scale;0.9681;0.8890;0.9269;0.0609
Transport_VAE_2000_6000_8_OCSVM_RBF_0,1_scale;0.9701;0.8765;0.9209;0.0785
Transport_VAE_2000_6000_8_OCSVM_RBF_0,2_scale;0.9813;0.7628;0.8583;0.1235
Transport_VAE_2000_6000_8_OCSVM_RBF_0,3_scale;0.9844;0.6607;0.7907;0.1898
Transport_VAE_2000_6000_8_OCSVM_RBF_0,4_scale;0.9885;0.5800;0.7311;0.2497
Transport_VAE_2000_6000_8_OCSVM_RBF_0,5_scale;0.9888;0.4858;0.6515;0.2931
Transport_VAE_2000_6000_8_OCSVM_RBF_0,6_scale;0.9876;0.3785;0.5473;0.3800
Transport_VAE_2000_6000_8_OCSVM_RBF_0,7_scale;0.9861;0.2848;0.4419;0.4166
Transport_VAE_2000_6000_8_OCSVM_RBF_0,8_scale;0.9866;0.1842;0.3105;0.4542
Transport_VAE_2000_6000_8_OCSVM_RBF_0,9_scale;0.9792;0.0825;0.1522;0.4798
Transport_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.5569;0.9990;0.7152;0.0038
Transport_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.5569;0.9990;0.7152;0.0041
Transport_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.5569;0.9990;0.7152;0.0044
Transport_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.9468;0.9920;0.9689;0.0070
Transport_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.9683;0.9835;0.9758;0.0098
Transport_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.9804;0.9740;0.9772;0.0165
Transport_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9837;0.9643;0.9739;0.0216
Transport_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9865;0.9533;0.9696;0.0348
Transport_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9879;0.9385;0.9626;0.0331
Transport_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9885;0.9270;0.9568;0.0466
Transport_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9889;0.9150;0.9505;0.0498
Transport_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9894;0.9075;0.9467;0.0528
Transport_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9893;0.9002;0.9427;0.0598
Transport_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9897;0.8900;0.9372;0.0689
Transport_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9931;0.7883;0.8789;0.1278
Transport_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9927;0.6820;0.8085;0.1822
Transport_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9935;0.5725;0.7264;0.2450
Transport_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9926;0.4715;0.6393;0.3060
Transport_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9916;0.3825;0.5520;0.3757
Transport_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9904;0.2828;0.4399;0.4130
Transport_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9898;0.1940;0.3244;0.4795
Transport_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.9899;0.0983;0.1788;0.5070
Transport_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.5336;0.9728;0.6892;0.0048
Transport_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.5422;0.9992;0.7030;0.0051
Transport_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.5422;0.9992;0.7030;0.0046
Transport_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.9623;0.9902;0.9761;0.0070
Transport_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.9745;0.9842;0.9794;0.0109
