Parametros;Precisao;Revocacao;F1-Score;Tempo
Vaccines_VAE_1968_5906_9_OCSVM_RBF_0,0001_scale;0.5387;0.9995;0.7000;0.0052
Vaccines_VAE_1968_5906_9_OCSVM_RBF_0,0005_scale;0.5398;0.9982;0.7007;0.0054
Vaccines_VAE_1968_5906_9_OCSVM_RBF_0,001_scale;0.5410;0.9985;0.7018;0.0053
Vaccines_VAE_1968_5906_9_OCSVM_RBF_0,005_scale;0.9805;0.9952;0.9878;0.0076
Vaccines_VAE_1968_5906_9_OCSVM_RBF_0,01_scale;0.9846;0.9919;0.9882;0.0092
Vaccines_VAE_1968_5906_9_OCSVM_RBF_0,02_scale;0.9895;0.9840;0.9868;0.0154
Vaccines_VAE_1968_5906_9_OCSVM_RBF_0,03_scale;0.9915;0.9784;0.9849;0.0230
Vaccines_VAE_1968_5906_9_OCSVM_RBF_0,04_scale;0.9922;0.9713;0.9817;0.0278
Vaccines_VAE_1968_5906_9_OCSVM_RBF_0,05_scale;0.9927;0.9634;0.9778;0.0383
Vaccines_VAE_1968_5906_9_OCSVM_RBF_0,06_scale;0.9929;0.9561;0.9741;0.0467
Vaccines_VAE_1968_5906_9_OCSVM_RBF_0,07_scale;0.9934;0.9490;0.9706;0.0462
Vaccines_VAE_1968_5906_9_OCSVM_RBF_0,08_scale;0.9938;0.9431;0.9678;0.0509
Vaccines_VAE_1968_5906_9_OCSVM_RBF_0,09_scale;0.9943;0.9342;0.9633;0.0574
Vaccines_VAE_1968_5906_9_OCSVM_RBF_0,1_scale;0.9948;0.9236;0.9579;0.0662
Vaccines_VAE_1968_5906_9_OCSVM_RBF_0,2_scale;0.9960;0.8268;0.9036;0.1291
Vaccines_VAE_1968_5906_9_OCSVM_RBF_0,3_scale;0.9963;0.7425;0.8509;0.1849
Vaccines_VAE_1968_5906_9_OCSVM_RBF_0,4_scale;0.9960;0.6379;0.7777;0.2411
Vaccines_VAE_1968_5906_9_OCSVM_RBF_0,5_scale;0.9967;0.5396;0.7002;0.2938
Vaccines_VAE_1968_5906_9_OCSVM_RBF_0,6_scale;0.9966;0.4424;0.6127;0.3565
Vaccines_VAE_1968_5906_9_OCSVM_RBF_0,7_scale;0.9962;0.3301;0.4959;0.4115
Vaccines_VAE_1968_5906_9_OCSVM_RBF_0,8_scale;0.9978;0.2265;0.3692;0.4524
Vaccines_VAE_1968_5906_9_OCSVM_RBF_0,9_scale;0.9976;0.1039;0.1881;0.4888
Vaccines_VAE_1968_5906_10_OCSVM_RBF_0,0001_scale;0.6250;0.9997;0.7692;0.0078
Vaccines_VAE_1968_5906_10_OCSVM_RBF_0,0005_scale;0.6250;0.9997;0.7692;0.0040
Vaccines_VAE_1968_5906_10_OCSVM_RBF_0,001_scale;0.6250;0.9997;0.7692;0.0042
Vaccines_VAE_1968_5906_10_OCSVM_RBF_0,005_scale;0.9778;0.9934;0.9855;0.0074
Vaccines_VAE_1968_5906_10_OCSVM_RBF_0,01_scale;0.9851;0.9898;0.9875;0.0094
Vaccines_VAE_1968_5906_10_OCSVM_RBF_0,02_scale;0.9898;0.9835;0.9866;0.0168
Vaccines_VAE_1968_5906_10_OCSVM_RBF_0,03_scale;0.9910;0.9789;0.9849;0.0209
Vaccines_VAE_1968_5906_10_OCSVM_RBF_0,04_scale;0.9915;0.9718;0.9815;0.0270
Vaccines_VAE_1968_5906_10_OCSVM_RBF_0,05_scale;0.9922;0.9642;0.9780;0.0332
Vaccines_VAE_1968_5906_10_OCSVM_RBF_0,06_scale;0.9931;0.9558;0.9741;0.0392
