Parametros;Precisao;Revocacao;F1-Score;Tempo
Cinema_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.6839;0.9968;0.8112;0.0043
Cinema_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.6839;0.9968;0.8112;0.0035
Cinema_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.6839;0.9968;0.8112;0.0034
Cinema_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.8643;0.9902;0.9230;0.0069
Cinema_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.9248;0.9868;0.9548;0.0105
Cinema_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.9487;0.9765;0.9624;0.0175
Cinema_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9556;0.9695;0.9625;0.0217
Cinema_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9654;0.9617;0.9636;0.0280
Cinema_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9720;0.9530;0.9624;0.0339
Cinema_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9747;0.9457;0.9600;0.0450
Cinema_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9788;0.9335;0.9556;0.0504
Cinema_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9801;0.9253;0.9519;0.0517
Cinema_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9815;0.9127;0.9459;0.0581
Cinema_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9823;0.9028;0.9409;0.0698
Cinema_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9892;0.7995;0.8843;0.1253
Cinema_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9911;0.6983;0.8193;0.1948
Cinema_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9903;0.5870;0.7371;0.2559
Cinema_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9900;0.4975;0.6622;0.3152
Cinema_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9917;0.3885;0.5583;0.3650
Cinema_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9904;0.2838;0.4411;0.4204
Cinema_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9891;0.2047;0.3393;0.4570
Cinema_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.9892;0.0912;0.1671;0.5064
Cinema_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.7507;0.9980;0.8568;0.0040
Cinema_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.7507;0.9980;0.8568;0.0046
Cinema_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.7507;0.9980;0.8568;0.0035
Cinema_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.9073;0.9930;0.9482;0.0075
Cinema_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.9552;0.9868;0.9707;0.0107
Cinema_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.9622;0.9788;0.9704;0.0169
Cinema_VAE_2000_6000_10_OCSVM_RBF_0,03_scale;0.9707;0.9688;0.9697;0.0215
Cinema_VAE_2000_6000_10_OCSVM_RBF_0,04_scale;0.9736;0.9593;0.9664;0.0285
Cinema_VAE_2000_6000_10_OCSVM_RBF_0,05_scale;0.9738;0.9490;0.9613;0.0350
Cinema_VAE_2000_6000_10_OCSVM_RBF_0,06_scale;0.9754;0.9423;0.9585;0.0507
Cinema_VAE_2000_6000_10_OCSVM_RBF_0,07_scale;0.9770;0.9353;0.9557;0.0529
Cinema_VAE_2000_6000_10_OCSVM_RBF_0,08_scale;0.9803;0.9213;0.9499;0.0547
Cinema_VAE_2000_6000_10_OCSVM_RBF_0,09_scale;0.9812;0.9130;0.9459;0.0592
Cinema_VAE_2000_6000_10_OCSVM_RBF_0,1_scale;0.9823;0.9040;0.9415;0.0709
Cinema_VAE_2000_6000_10_OCSVM_RBF_0,2_scale;0.9880;0.8020;0.8853;0.1286
Cinema_VAE_2000_6000_10_OCSVM_RBF_0,3_scale;0.9891;0.7027;0.8217;0.2034
Cinema_VAE_2000_6000_10_OCSVM_RBF_0,4_scale;0.9913;0.5990;0.7468;0.2515
Cinema_VAE_2000_6000_10_OCSVM_RBF_0,5_scale;0.9916;0.4735;0.6409;0.3133
Cinema_VAE_2000_6000_10_OCSVM_RBF_0,6_scale;0.9909;0.3805;0.5499;0.3813
