Parametros;Precisao;Revocacao;F1-Score;Tempo
Fiction_VAE_1488_4465_9_OCSVM_RBF_0,0001_scale;0.7560;0.9970;0.8599;0.0034
Fiction_VAE_1488_4465_9_OCSVM_RBF_0,0005_scale;0.7560;0.9970;0.8599;0.0031
Fiction_VAE_1488_4465_9_OCSVM_RBF_0,001_scale;0.7560;0.9970;0.8599;0.0028
Fiction_VAE_1488_4465_9_OCSVM_RBF_0,005_scale;0.8569;0.9919;0.9195;0.0049
Fiction_VAE_1488_4465_9_OCSVM_RBF_0,01_scale;0.9013;0.9876;0.9425;0.0064
Fiction_VAE_1488_4465_9_OCSVM_RBF_0,02_scale;0.9352;0.9798;0.9570;0.0119
Fiction_VAE_1488_4465_9_OCSVM_RBF_0,03_scale;0.9543;0.9681;0.9611;0.0134
Fiction_VAE_1488_4465_9_OCSVM_RBF_0,04_scale;0.9592;0.9624;0.9608;0.0166
Fiction_VAE_1488_4465_9_OCSVM_RBF_0,05_scale;0.9658;0.9479;0.9568;0.0199
Fiction_VAE_1488_4465_9_OCSVM_RBF_0,06_scale;0.9675;0.9301;0.9485;0.0232
Fiction_VAE_1488_4465_9_OCSVM_RBF_0,07_scale;0.9725;0.9140;0.9423;0.0269
Fiction_VAE_1488_4465_9_OCSVM_RBF_0,08_scale;0.9742;0.9016;0.9365;0.0378
Fiction_VAE_1488_4465_9_OCSVM_RBF_0,09_scale;0.9762;0.8945;0.9336;0.0419
Fiction_VAE_1488_4465_9_OCSVM_RBF_0,1_scale;0.9770;0.8858;0.9292;0.0367
Fiction_VAE_1488_4465_9_OCSVM_RBF_0,2_scale;0.9854;0.7692;0.8640;0.0699
Fiction_VAE_1488_4465_9_OCSVM_RBF_0,3_scale;0.9863;0.6779;0.8035;0.1100
Fiction_VAE_1488_4465_9_OCSVM_RBF_0,4_scale;0.9890;0.5747;0.7270;0.1357
Fiction_VAE_1488_4465_9_OCSVM_RBF_0,5_scale;0.9888;0.4740;0.6408;0.1718
Fiction_VAE_1488_4465_9_OCSVM_RBF_0,6_scale;0.9896;0.3846;0.5539;0.2008
Fiction_VAE_1488_4465_9_OCSVM_RBF_0,7_scale;0.9913;0.2684;0.4224;0.2220
Fiction_VAE_1488_4465_9_OCSVM_RBF_0,8_scale;0.9891;0.1831;0.3090;0.2630
Fiction_VAE_1488_4465_9_OCSVM_RBF_0,9_scale;0.9885;0.0867;0.1594;0.2788
Fiction_VAE_1488_4465_10_OCSVM_RBF_0,0001_scale;0.6560;0.9953;0.7908;0.0038
Fiction_VAE_1488_4465_10_OCSVM_RBF_0,0005_scale;0.6606;0.9953;0.7942;0.0036
Fiction_VAE_1488_4465_10_OCSVM_RBF_0,001_scale;0.6606;0.9953;0.7942;0.0038
Fiction_VAE_1488_4465_10_OCSVM_RBF_0,005_scale;0.6645;0.9953;0.7969;0.0046
Fiction_VAE_1488_4465_10_OCSVM_RBF_0,01_scale;0.6860;0.9893;0.8102;0.0059
Fiction_VAE_1488_4465_10_OCSVM_RBF_0,02_scale;0.7641;0.9738;0.8563;0.0095
Fiction_VAE_1488_4465_10_OCSVM_RBF_0,03_scale;0.7886;0.9634;0.8673;0.0133
Fiction_VAE_1488_4465_10_OCSVM_RBF_0,04_scale;0.8099;0.9533;0.8758;0.0189
Fiction_VAE_1488_4465_10_OCSVM_RBF_0,05_scale;0.8216;0.9452;0.8791;0.0199
Fiction_VAE_1488_4465_10_OCSVM_RBF_0,06_scale;0.8283;0.9412;0.8811;0.0229
Fiction_VAE_1488_4465_10_OCSVM_RBF_0,07_scale;0.8476;0.9288;0.8864;0.0283
Fiction_VAE_1488_4465_10_OCSVM_RBF_0,08_scale;0.8563;0.9211;0.8875;0.0305
Fiction_VAE_1488_4465_10_OCSVM_RBF_0,09_scale;0.8559;0.9076;0.8810;0.0345
Fiction_VAE_1488_4465_10_OCSVM_RBF_0,1_scale;0.8642;0.8959;0.8798;0.0369
Fiction_VAE_1488_4465_10_OCSVM_RBF_0,2_scale;0.9088;0.7964;0.8489;0.0703
Fiction_VAE_1488_4465_10_OCSVM_RBF_0,3_scale;0.9287;0.6826;0.7868;0.1155
Fiction_VAE_1488_4465_10_OCSVM_RBF_0,4_scale;0.9411;0.5694;0.7095;0.1360
Fiction_VAE_1488_4465_10_OCSVM_RBF_0,5_scale;0.9440;0.4814;0.6376;0.1760
Fiction_VAE_1488_4465_10_OCSVM_RBF_0,6_scale;0.9539;0.3826;0.5462;0.1964
Fiction_VAE_1488_4465_10_OCSVM_RBF_0,7_scale;0.9543;0.2879;0.4423;0.2268
Fiction_VAE_1488_4465_10_OCSVM_RBF_0,8_scale;0.9580;0.1686;0.2868;0.2477
Fiction_VAE_1488_4465_10_OCSVM_RBF_0,9_scale;0.9567;0.0890;0.1629;0.2801
Fiction_VAE_1488_4465_6_OCSVM_RBF_0,0001_scale;0.6385;0.9966;0.7783;0.0033
Fiction_VAE_1488_4465_6_OCSVM_RBF_0,0005_scale;0.6385;0.9966;0.7783;0.0033
Fiction_VAE_1488_4465_6_OCSVM_RBF_0,001_scale;0.6385;0.9966;0.7783;0.0028
Fiction_VAE_1488_4465_6_OCSVM_RBF_0,005_scale;0.8144;0.9950;0.8957;0.0045
Fiction_VAE_1488_4465_6_OCSVM_RBF_0,01_scale;0.8629;0.9913;0.9226;0.0061
