Parametros;Precisao;Revocacao;F1-Score;Tempo
Medicare_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.9050;0.9958;0.9482;0.0032
Medicare_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.9050;0.9958;0.9482;0.0045
Medicare_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.9050;0.9958;0.9482;0.0037
Medicare_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.9536;0.9862;0.9696;0.0068
Medicare_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.9656;0.9760;0.9708;0.0101
Medicare_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.9723;0.9567;0.9645;0.0159
Medicare_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9760;0.9443;0.9598;0.0221
Medicare_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9807;0.9277;0.9535;0.0283
Medicare_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9838;0.9105;0.9457;0.0361
Medicare_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9841;0.8962;0.9381;0.0454
Medicare_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9849;0.8832;0.9313;0.0461
Medicare_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9862;0.8735;0.9264;0.0517
Medicare_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9862;0.8602;0.9189;0.0587
Medicare_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9874;0.8420;0.9089;0.0751
Medicare_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9893;0.6917;0.8142;0.1320
Medicare_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9890;0.5643;0.7186;0.1921
Medicare_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9893;0.4640;0.6317;0.2546
Medicare_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9885;0.3658;0.5339;0.3006
Medicare_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9886;0.2825;0.4394;0.3774
Medicare_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9876;0.1998;0.3323;0.4290
Medicare_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9878;0.1215;0.2164;0.4668
Medicare_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.9920;0.0622;0.1171;0.5037
Medicare_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.9092;0.9932;0.9493;0.0051
Medicare_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.9092;0.9932;0.9493;0.0047
Medicare_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.9092;0.9932;0.9493;0.0039
Medicare_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.9530;0.9845;0.9685;0.0070
Medicare_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.9610;0.9782;0.9695;0.0106
Medicare_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.9701;0.9573;0.9636;0.0159
Medicare_VAE_2000_6000_10_OCSVM_RBF_0,03_scale;0.9728;0.9397;0.9560;0.0255
Medicare_VAE_2000_6000_10_OCSVM_RBF_0,04_scale;0.9755;0.9175;0.9456;0.0344
Medicare_VAE_2000_6000_10_OCSVM_RBF_0,05_scale;0.9770;0.9030;0.9385;0.0351
Medicare_VAE_2000_6000_10_OCSVM_RBF_0,06_scale;0.9782;0.8850;0.9293;0.0548
Medicare_VAE_2000_6000_10_OCSVM_RBF_0,07_scale;0.9803;0.8705;0.9221;0.0481
Medicare_VAE_2000_6000_10_OCSVM_RBF_0,08_scale;0.9811;0.8585;0.9157;0.0531
Medicare_VAE_2000_6000_10_OCSVM_RBF_0,09_scale;0.9828;0.8440;0.9081;0.0629
Medicare_VAE_2000_6000_10_OCSVM_RBF_0,1_scale;0.9837;0.8297;0.9002;0.0819
Medicare_VAE_2000_6000_10_OCSVM_RBF_0,2_scale;0.9866;0.6993;0.8184;0.1288
Medicare_VAE_2000_6000_10_OCSVM_RBF_0,3_scale;0.9876;0.5773;0.7286;0.1949
Medicare_VAE_2000_6000_10_OCSVM_RBF_0,4_scale;0.9879;0.4913;0.6562;0.2603
Medicare_VAE_2000_6000_10_OCSVM_RBF_0,5_scale;0.9890;0.4040;0.5737;0.3118
Medicare_VAE_2000_6000_10_OCSVM_RBF_0,6_scale;0.9883;0.3177;0.4809;0.3867
Medicare_VAE_2000_6000_10_OCSVM_RBF_0,7_scale;0.9858;0.2430;0.3899;0.4413
Medicare_VAE_2000_6000_10_OCSVM_RBF_0,8_scale;0.9888;0.1767;0.2999;0.4831
Medicare_VAE_2000_6000_10_OCSVM_RBF_0,9_scale;0.9949;0.0980;0.1784;0.4958
Medicare_VAE_2000_6000_6_OCSVM_RBF_0,0001_scale;0.8831;0.9968;0.9365;0.0041
Medicare_VAE_2000_6000_6_OCSVM_RBF_0,0005_scale;0.8831;0.9968;0.9365;0.0044
Medicare_VAE_2000_6000_6_OCSVM_RBF_0,001_scale;0.8831;0.9968;0.9365;0.0038
Medicare_VAE_2000_6000_6_OCSVM_RBF_0,005_scale;0.9483;0.9855;0.9665;0.0073
Medicare_VAE_2000_6000_6_OCSVM_RBF_0,01_scale;0.9647;0.9768;0.9707;0.0108
Medicare_VAE_2000_6000_6_OCSVM_RBF_0,02_scale;0.9759;0.9627;0.9693;0.0162
Medicare_VAE_2000_6000_6_OCSVM_RBF_0,03_scale;0.9802;0.9385;0.9589;0.0219
Medicare_VAE_2000_6000_6_OCSVM_RBF_0,04_scale;0.9833;0.9270;0.9543;0.0351
Medicare_VAE_2000_6000_6_OCSVM_RBF_0,05_scale;0.9844;0.9143;0.9480;0.0342
Medicare_VAE_2000_6000_6_OCSVM_RBF_0,06_scale;0.9855;0.9002;0.9409;0.0474
Medicare_VAE_2000_6000_6_OCSVM_RBF_0,07_scale;0.9859;0.8910;0.9360;0.0468
Medicare_VAE_2000_6000_6_OCSVM_RBF_0,08_scale;0.9868;0.8758;0.9279;0.0519
Medicare_VAE_2000_6000_6_OCSVM_RBF_0,09_scale;0.9872;0.8658;0.9225;0.0585
Medicare_VAE_2000_6000_6_OCSVM_RBF_0,1_scale;0.9876;0.8532;0.9155;0.0760
Medicare_VAE_2000_6000_6_OCSVM_RBF_0,2_scale;0.9888;0.7475;0.8514;0.1253
Medicare_VAE_2000_6000_6_OCSVM_RBF_0,3_scale;0.9923;0.6135;0.7582;0.2027
Medicare_VAE_2000_6000_6_OCSVM_RBF_0,4_scale;0.9921;0.5005;0.6653;0.2483
Medicare_VAE_2000_6000_6_OCSVM_RBF_0,5_scale;0.9916;0.3850;0.5547;0.3029
Medicare_VAE_2000_6000_6_OCSVM_RBF_0,6_scale;0.9895;0.3050;0.4663;0.3759
Medicare_VAE_2000_6000_6_OCSVM_RBF_0,7_scale;0.9892;0.2300;0.3732;0.4174
Medicare_VAE_2000_6000_6_OCSVM_RBF_0,8_scale;0.9890;0.1570;0.2710;0.4538
Medicare_VAE_2000_6000_6_OCSVM_RBF_0,9_scale;0.9941;0.0840;0.1549;0.4965
Medicare_VAE_2000_6000_7_OCSVM_RBF_0,0001_scale;0.8159;0.9982;0.8979;0.0038
Medicare_VAE_2000_6000_7_OCSVM_RBF_0,0005_scale;0.8159;0.9982;0.8979;0.0036
Medicare_VAE_2000_6000_7_OCSVM_RBF_0,001_scale;0.8159;0.9982;0.8979;0.0035
Medicare_VAE_2000_6000_7_OCSVM_RBF_0,005_scale;0.9526;0.9842;0.9682;0.0082
