Parametros;Precisao;Revocacao;F1-Score;Tempo
Medicine_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.8525;0.9970;0.9191;0.0040
Medicine_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.8521;0.9968;0.9188;0.0042
Medicine_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.8517;0.9965;0.9184;0.0042
Medicine_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.8903;0.9940;0.9393;0.0076
Medicine_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.9057;0.9898;0.9459;0.0107
Medicine_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.9279;0.9778;0.9522;0.0178
Medicine_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9408;0.9657;0.9531;0.0224
Medicine_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9495;0.9487;0.9491;0.0291
Medicine_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9518;0.9387;0.9452;0.0337
Medicine_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9537;0.9267;0.9400;0.0449
Medicine_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9569;0.9160;0.9360;0.0494
Medicine_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9594;0.9040;0.9309;0.0530
Medicine_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9610;0.8940;0.9263;0.0596
Medicine_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9621;0.8832;0.9210;0.0690
Medicine_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9700;0.7748;0.8614;0.1283
Medicine_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9709;0.6767;0.7976;0.2037
Medicine_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9730;0.5577;0.7090;0.2566
Medicine_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9715;0.4695;0.6331;0.3002
Medicine_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9738;0.3623;0.5281;0.3700
Medicine_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9716;0.2740;0.4275;0.4090
Medicine_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9705;0.1812;0.3055;0.4497
Medicine_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.9789;0.0813;0.1500;0.4877
Medicine_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.8719;0.9970;0.9303;0.0049
Medicine_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.8719;0.9970;0.9303;0.0039
Medicine_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.8719;0.9970;0.9303;0.0035
Medicine_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.8974;0.9925;0.9425;0.0067
Medicine_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.9158;0.9870;0.9501;0.0100
Medicine_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.9275;0.9725;0.9495;0.0160
Medicine_VAE_2000_6000_10_OCSVM_RBF_0,03_scale;0.9378;0.9643;0.9508;0.0228
Medicine_VAE_2000_6000_10_OCSVM_RBF_0,04_scale;0.9467;0.9505;0.9486;0.0282
Medicine_VAE_2000_6000_10_OCSVM_RBF_0,05_scale;0.9516;0.9343;0.9429;0.0352
Medicine_VAE_2000_6000_10_OCSVM_RBF_0,06_scale;0.9560;0.9233;0.9393;0.0463
Medicine_VAE_2000_6000_10_OCSVM_RBF_0,07_scale;0.9567;0.9125;0.9341;0.0489
Medicine_VAE_2000_6000_10_OCSVM_RBF_0,08_scale;0.9580;0.9012;0.9288;0.0539
Medicine_VAE_2000_6000_10_OCSVM_RBF_0,09_scale;0.9614;0.8850;0.9216;0.0597
Medicine_VAE_2000_6000_10_OCSVM_RBF_0,1_scale;0.9614;0.8782;0.9180;0.0685
Medicine_VAE_2000_6000_10_OCSVM_RBF_0,2_scale;0.9679;0.7755;0.8611;0.1267
Medicine_VAE_2000_6000_10_OCSVM_RBF_0,3_scale;0.9705;0.6747;0.7960;0.1951
Medicine_VAE_2000_6000_10_OCSVM_RBF_0,4_scale;0.9730;0.5855;0.7311;0.2441
Medicine_VAE_2000_6000_10_OCSVM_RBF_0,5_scale;0.9728;0.4657;0.6299;0.3096
Medicine_VAE_2000_6000_10_OCSVM_RBF_0,6_scale;0.9738;0.3720;0.5384;0.3683
Medicine_VAE_2000_6000_10_OCSVM_RBF_0,7_scale;0.9776;0.2940;0.4520;0.4211
Medicine_VAE_2000_6000_10_OCSVM_RBF_0,8_scale;0.9760;0.1935;0.3230;0.4544
Medicine_VAE_2000_6000_10_OCSVM_RBF_0,9_scale;0.9755;0.0995;0.1806;0.4954
Medicine_VAE_2000_6000_6_OCSVM_RBF_0,0001_scale;0.7470;0.9980;0.8545;0.0054
Medicine_VAE_2000_6000_6_OCSVM_RBF_0,0005_scale;0.7515;0.9978;0.8573;0.0046
Medicine_VAE_2000_6000_6_OCSVM_RBF_0,001_scale;0.7508;0.9978;0.8568;0.0047
Medicine_VAE_2000_6000_6_OCSVM_RBF_0,005_scale;0.8414;0.9935;0.9112;0.0069
Medicine_VAE_2000_6000_6_OCSVM_RBF_0,01_scale;0.8744;0.9865;0.9271;0.0104
Medicine_VAE_2000_6000_6_OCSVM_RBF_0,02_scale;0.9145;0.9738;0.9432;0.0172
Medicine_VAE_2000_6000_6_OCSVM_RBF_0,03_scale;0.9281;0.9650;0.9462;0.0260
Medicine_VAE_2000_6000_6_OCSVM_RBF_0,04_scale;0.9370;0.9593;0.9480;0.0285
Medicine_VAE_2000_6000_6_OCSVM_RBF_0,05_scale;0.9465;0.9430;0.9448;0.0347
Medicine_VAE_2000_6000_6_OCSVM_RBF_0,06_scale;0.9535;0.9275;0.9403;0.0453
Medicine_VAE_2000_6000_6_OCSVM_RBF_0,07_scale;0.9559;0.9165;0.9358;0.0478
Medicine_VAE_2000_6000_6_OCSVM_RBF_0,08_scale;0.9585;0.9070;0.9320;0.0527
Medicine_VAE_2000_6000_6_OCSVM_RBF_0,09_scale;0.9597;0.8995;0.9286;0.0586
Medicine_VAE_2000_6000_6_OCSVM_RBF_0,1_scale;0.9608;0.8888;0.9234;0.0706
Medicine_VAE_2000_6000_6_OCSVM_RBF_0,2_scale;0.9704;0.7785;0.8639;0.1285
Medicine_VAE_2000_6000_6_OCSVM_RBF_0,3_scale;0.9758;0.6660;0.7917;0.1898
