Parametros;Precisao;Revocacao;F1-Score;Tempo
Mortgage_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.5150;0.9960;0.6789;0.0051
Mortgage_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.5147;0.9980;0.6791;0.0051
Mortgage_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.5150;0.9980;0.6794;0.0051
Mortgage_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.9424;0.9948;0.9679;0.0065
Mortgage_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.9670;0.9882;0.9775;0.0097
Mortgage_VAE_2000_6000_8_OCSVM_RBF_0,02_scale;0.9783;0.9800;0.9791;0.0158
Mortgage_VAE_2000_6000_8_OCSVM_RBF_0,03_scale;0.9825;0.9695;0.9760;0.0217
Mortgage_VAE_2000_6000_8_OCSVM_RBF_0,04_scale;0.9859;0.9585;0.9720;0.0279
Mortgage_VAE_2000_6000_8_OCSVM_RBF_0,05_scale;0.9913;0.9405;0.9652;0.0329
Mortgage_VAE_2000_6000_8_OCSVM_RBF_0,06_scale;0.9923;0.9317;0.9611;0.0431
Mortgage_VAE_2000_6000_8_OCSVM_RBF_0,07_scale;0.9928;0.9245;0.9574;0.0496
Mortgage_VAE_2000_6000_8_OCSVM_RBF_0,08_scale;0.9930;0.9173;0.9536;0.0531
Mortgage_VAE_2000_6000_8_OCSVM_RBF_0,09_scale;0.9932;0.9110;0.9503;0.0584
Mortgage_VAE_2000_6000_8_OCSVM_RBF_0,1_scale;0.9934;0.8980;0.9433;0.0738
Mortgage_VAE_2000_6000_8_OCSVM_RBF_0,2_scale;0.9940;0.7925;0.8819;0.1299
Mortgage_VAE_2000_6000_8_OCSVM_RBF_0,3_scale;0.9945;0.6755;0.8045;0.1923
Mortgage_VAE_2000_6000_8_OCSVM_RBF_0,4_scale;0.9958;0.5857;0.7376;0.2534
Mortgage_VAE_2000_6000_8_OCSVM_RBF_0,5_scale;0.9969;0.4860;0.6534;0.2999
Mortgage_VAE_2000_6000_8_OCSVM_RBF_0,6_scale;0.9962;0.3930;0.5636;0.3736
Mortgage_VAE_2000_6000_8_OCSVM_RBF_0,7_scale;0.9975;0.2960;0.4565;0.4257
Mortgage_VAE_2000_6000_8_OCSVM_RBF_0,8_scale;0.9988;0.2015;0.3353;0.4643
Mortgage_VAE_2000_6000_8_OCSVM_RBF_0,9_scale;0.9974;0.0975;0.1776;0.4931
Mortgage_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.5685;0.9975;0.7242;0.0037
Mortgage_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.5631;0.9992;0.7203;0.0043
Mortgage_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.5641;0.9990;0.7210;0.0049
Mortgage_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.9704;0.9925;0.9813;0.0075
Mortgage_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.9763;0.9878;0.9820;0.0105
Mortgage_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.9799;0.9762;0.9781;0.0169
Mortgage_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9864;0.9630;0.9746;0.0221
Mortgage_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9886;0.9547;0.9714;0.0285
Mortgage_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9898;0.9443;0.9665;0.0340
Mortgage_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9915;0.9343;0.9620;0.0462
Mortgage_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9919;0.9225;0.9560;0.0531
Mortgage_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9929;0.9085;0.9488;0.0527
Mortgage_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9931;0.8962;0.9422;0.0580
Mortgage_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9938;0.8880;0.9379;0.0690
Mortgage_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9952;0.7850;0.8777;0.1305
Mortgage_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9956;0.6783;0.8068;0.1865
Mortgage_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9961;0.5725;0.7271;0.2463
Mortgage_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9969;0.4855;0.6530;0.3154
Mortgage_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9968;0.3920;0.5627;0.3728
Mortgage_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9983;0.2990;0.4602;0.4214
Mortgage_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;1.0000;0.2042;0.3392;0.4615
Mortgage_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;1.0000;0.1040;0.1884;0.4865
Mortgage_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.5138;0.9982;0.6784;0.0062
