Parametros;Precisao;Revocacao;F1-Score;Tempo
People_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.5369;0.9972;0.6980;0.0068
People_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.5369;0.9972;0.6980;0.0070
People_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.5371;0.9972;0.6982;0.0079
People_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.5430;0.9950;0.7026;0.0092
People_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.5485;0.9918;0.7064;0.0111
People_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.5770;0.9812;0.7267;0.0167
People_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.5928;0.9748;0.7373;0.0239
People_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.6040;0.9673;0.7436;0.0304
People_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.6190;0.9565;0.7516;0.0444
People_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.6357;0.9435;0.7596;0.0471
People_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.6569;0.9313;0.7703;0.0486
People_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.6612;0.9235;0.7706;0.0558
People_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.6717;0.9150;0.7747;0.0601
People_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.6735;0.9097;0.7740;0.0729
People_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.7799;0.8105;0.7949;0.1280
People_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.8430;0.7047;0.7677;0.1969
People_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.8732;0.6045;0.7144;0.2485
People_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.8986;0.5072;0.6484;0.3042
People_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9139;0.3955;0.5521;0.3581
People_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9292;0.2920;0.4444;0.4019
People_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9401;0.2003;0.3302;0.4547
People_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.9398;0.1015;0.1832;0.4789
People_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.5114;0.9998;0.6766;0.0040
People_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.5114;0.9998;0.6766;0.0039
