Parametros;Precisao;Revocacao;F1-Score;Tempo
Sport_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.7038;0.9985;0.8256;0.0045
Sport_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.7038;0.9985;0.8256;0.0033
Sport_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.7038;0.9985;0.8256;0.0033
Sport_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.8828;0.9905;0.9336;0.0061
Sport_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.9078;0.9868;0.9456;0.0091
Sport_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.9263;0.9778;0.9514;0.0152
Sport_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9379;0.9710;0.9542;0.0220
Sport_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9476;0.9593;0.9534;0.0312
Sport_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9538;0.9495;0.9516;0.0345
Sport_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9582;0.9407;0.9494;0.0409
Sport_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9604;0.9277;0.9438;0.0468
Sport_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9631;0.9197;0.9409;0.0523
Sport_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9665;0.9083;0.9365;0.0579
Sport_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9675;0.8942;0.9295;0.0674
Sport_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9768;0.7997;0.8795;0.1225
Sport_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9800;0.6975;0.8150;0.1971
Sport_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9811;0.5962;0.7417;0.2415
Sport_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9816;0.4800;0.6447;0.3082
Sport_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9855;0.3905;0.5594;0.3592
Sport_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9897;0.2890;0.4474;0.4157
Sport_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9907;0.1865;0.3139;0.4596
Sport_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.9907;0.0800;0.1480;0.4808
Sport_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.7336;0.9922;0.8436;0.0045
Sport_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.7386;0.9952;0.8479;0.0044
Sport_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.7386;0.9952;0.8479;0.0065
Sport_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.8595;0.9922;0.9211;0.0084
Sport_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.8985;0.9848;0.9396;0.0112
Sport_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.9185;0.9782;0.9475;0.0176
Sport_VAE_2000_6000_10_OCSVM_RBF_0,03_scale;0.9327;0.9667;0.9494;0.0232
Sport_VAE_2000_6000_10_OCSVM_RBF_0,04_scale;0.9396;0.9603;0.9498;0.0295
Sport_VAE_2000_6000_10_OCSVM_RBF_0,05_scale;0.9445;0.9533;0.9489;0.0341
Sport_VAE_2000_6000_10_OCSVM_RBF_0,06_scale;0.9491;0.9470;0.9481;0.0451
Sport_VAE_2000_6000_10_OCSVM_RBF_0,07_scale;0.9559;0.9325;0.9441;0.0479
Sport_VAE_2000_6000_10_OCSVM_RBF_0,08_scale;0.9599;0.9213;0.9402;0.0613
Sport_VAE_2000_6000_10_OCSVM_RBF_0,09_scale;0.9618;0.9133;0.9369;0.0580
Sport_VAE_2000_6000_10_OCSVM_RBF_0,1_scale;0.9638;0.9055;0.9337;0.0685
Sport_VAE_2000_6000_10_OCSVM_RBF_0,2_scale;0.9760;0.7925;0.8747;0.1261
Sport_VAE_2000_6000_10_OCSVM_RBF_0,3_scale;0.9804;0.6750;0.7995;0.1900
Sport_VAE_2000_6000_10_OCSVM_RBF_0,4_scale;0.9798;0.5823;0.7304;0.2487
Sport_VAE_2000_6000_10_OCSVM_RBF_0,5_scale;0.9817;0.4825;0.6470;0.3140
Sport_VAE_2000_6000_10_OCSVM_RBF_0,6_scale;0.9823;0.3880;0.5563;0.3598
Sport_VAE_2000_6000_10_OCSVM_RBF_0,7_scale;0.9806;0.2777;0.4329;0.4224
Sport_VAE_2000_6000_10_OCSVM_RBF_0,8_scale;0.9852;0.1825;0.3080;0.4639
Sport_VAE_2000_6000_10_OCSVM_RBF_0,9_scale;0.9926;0.1000;0.1817;0.5010
Sport_VAE_2000_6000_6_OCSVM_RBF_0,0001_scale;0.6944;0.9990;0.8193;0.0038
Sport_VAE_2000_6000_6_OCSVM_RBF_0,0005_scale;0.6944;0.9990;0.8193;0.0037
Sport_VAE_2000_6000_6_OCSVM_RBF_0,001_scale;0.6944;0.9990;0.8193;0.0036
Sport_VAE_2000_6000_6_OCSVM_RBF_0,005_scale;0.8106;0.9962;0.8939;0.0067
Sport_VAE_2000_6000_6_OCSVM_RBF_0,01_scale;0.8253;0.9930;0.9014;0.0100
Sport_VAE_2000_6000_6_OCSVM_RBF_0,02_scale;0.8931;0.9878;0.9380;0.0160
Sport_VAE_2000_6000_6_OCSVM_RBF_0,03_scale;0.9173;0.9738;0.9447;0.0230
Sport_VAE_2000_6000_6_OCSVM_RBF_0,04_scale;0.9297;0.9653;0.9471;0.0347
Sport_VAE_2000_6000_6_OCSVM_RBF_0,05_scale;0.9422;0.9540;0.9481;0.0387
Sport_VAE_2000_6000_6_OCSVM_RBF_0,06_scale;0.9479;0.9417;0.9448;0.0453
Sport_VAE_2000_6000_6_OCSVM_RBF_0,07_scale;0.9531;0.9347;0.9438;0.0477
Sport_VAE_2000_6000_6_OCSVM_RBF_0,08_scale;0.9595;0.9247;0.9418;0.0523
Sport_VAE_2000_6000_6_OCSVM_RBF_0,09_scale;0.9620;0.9170;0.9389;0.0593
Sport_VAE_2000_6000_6_OCSVM_RBF_0,1_scale;0.9621;0.9083;0.9344;0.0683
Sport_VAE_2000_6000_6_OCSVM_RBF_0,2_scale;0.9762;0.8110;0.8860;0.1267
Sport_VAE_2000_6000_6_OCSVM_RBF_0,3_scale;0.9811;0.7150;0.8272;0.1910
Sport_VAE_2000_6000_6_OCSVM_RBF_0,4_scale;0.9853;0.6185;0.7599;0.2513
Sport_VAE_2000_6000_6_OCSVM_RBF_0,5_scale;0.9865;0.5285;0.6883;0.3124
Sport_VAE_2000_6000_6_OCSVM_RBF_0,6_scale;0.9875;0.4328;0.6018;0.3720
Sport_VAE_2000_6000_6_OCSVM_RBF_0,7_scale;0.9857;0.3285;0.4928;0.4153
Sport_VAE_2000_6000_6_OCSVM_RBF_0,8_scale;0.9877;0.2215;0.3619;0.4652
Sport_VAE_2000_6000_6_OCSVM_RBF_0,9_scale;0.9856;0.1030;0.1865;0.5070
Sport_VAE_2000_6000_7_OCSVM_RBF_0,0001_scale;0.7319;0.9985;0.8447;0.0034
Sport_VAE_2000_6000_7_OCSVM_RBF_0,0005_scale;0.7319;0.9985;0.8447;0.0038
Sport_VAE_2000_6000_7_OCSVM_RBF_0,001_scale;0.7319;0.9985;0.8447;0.0043
Sport_VAE_2000_6000_7_OCSVM_RBF_0,005_scale;0.8890;0.9915;0.9375;0.0072
Sport_VAE_2000_6000_7_OCSVM_RBF_0,01_scale;0.8941;0.9902;0.9397;0.0105
Sport_VAE_2000_6000_7_OCSVM_RBF_0,02_scale;0.9122;0.9818;0.9457;0.0165
Sport_VAE_2000_6000_7_OCSVM_RBF_0,03_scale;0.9328;0.9710;0.9515;0.0227
Sport_VAE_2000_6000_7_OCSVM_RBF_0,04_scale;0.9375;0.9643;0.9507;0.0280
Sport_VAE_2000_6000_7_OCSVM_RBF_0,05_scale;0.9482;0.9560;0.9521;0.0345
Sport_VAE_2000_6000_7_OCSVM_RBF_0,06_scale;0.9550;0.9440;0.9495;0.0412
Sport_VAE_2000_6000_7_OCSVM_RBF_0,07_scale;0.9567;0.9335;0.9450;0.0467
Sport_VAE_2000_6000_7_OCSVM_RBF_0,08_scale;0.9599;0.9283;0.9438;0.0530
Sport_VAE_2000_6000_7_OCSVM_RBF_0,09_scale;0.9630;0.9175;0.9397;0.0580
Sport_VAE_2000_6000_7_OCSVM_RBF_0,1_scale;0.9646;0.9062;0.9345;0.0679
