Parametros;Precisao;Revocacao;F1-Score;Tempo
Volleyball_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.9669;0.9940;0.9803;0.0053
Volleyball_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.9679;0.9938;0.9806;0.0051
Volleyball_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.9683;0.9940;0.9810;0.0051
Volleyball_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.9912;0.9872;0.9892;0.0065
Volleyball_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.9934;0.9840;0.9887;0.0104
Volleyball_VAE_2000_6000_8_OCSVM_RBF_0,02_scale;0.9951;0.9675;0.9811;0.0157
Volleyball_VAE_2000_6000_8_OCSVM_RBF_0,03_scale;0.9963;0.9517;0.9735;0.0314
Volleyball_VAE_2000_6000_8_OCSVM_RBF_0,04_scale;0.9966;0.9390;0.9669;0.0286
Volleyball_VAE_2000_6000_8_OCSVM_RBF_0,05_scale;0.9973;0.9237;0.9591;0.0340
Volleyball_VAE_2000_6000_8_OCSVM_RBF_0,06_scale;0.9975;0.9125;0.9531;0.0492
Volleyball_VAE_2000_6000_8_OCSVM_RBF_0,07_scale;0.9978;0.9010;0.9469;0.0469
Volleyball_VAE_2000_6000_8_OCSVM_RBF_0,08_scale;0.9983;0.8860;0.9388;0.0586
Volleyball_VAE_2000_6000_8_OCSVM_RBF_0,09_scale;0.9986;0.8760;0.9333;0.0587
Volleyball_VAE_2000_6000_8_OCSVM_RBF_0,1_scale;0.9985;0.8540;0.9206;0.0763
Volleyball_VAE_2000_6000_8_OCSVM_RBF_0,2_scale;0.9990;0.7442;0.8530;0.1259
Volleyball_VAE_2000_6000_8_OCSVM_RBF_0,3_scale;0.9988;0.6455;0.7842;0.1843
Volleyball_VAE_2000_6000_8_OCSVM_RBF_0,4_scale;0.9991;0.5395;0.7006;0.2407
Volleyball_VAE_2000_6000_8_OCSVM_RBF_0,5_scale;0.9994;0.4470;0.6177;0.3115
Volleyball_VAE_2000_6000_8_OCSVM_RBF_0,6_scale;1.0000;0.3700;0.5401;0.3629
Volleyball_VAE_2000_6000_8_OCSVM_RBF_0,7_scale;1.0000;0.2830;0.4412;0.4140
Volleyball_VAE_2000_6000_8_OCSVM_RBF_0,8_scale;1.0000;0.1855;0.3129;0.4678
Volleyball_VAE_2000_6000_8_OCSVM_RBF_0,9_scale;1.0000;0.0840;0.1550;0.4896
