Parametros;Precisao;Revocacao;F1-Score;Tempo
Adoption_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.5416;0.9960;0.7017;0.0043
Adoption_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.5416;0.9960;0.7017;0.0036
Adoption_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.5416;0.9960;0.7017;0.0040
Adoption_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.5746;0.9888;0.7268;0.0066
Adoption_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.5920;0.9820;0.7387;0.0098
Adoption_VAE_2000_6000_8_OCSVM_RBF_0,02_scale;0.6344;0.9695;0.7669;0.0214
Adoption_VAE_2000_6000_8_OCSVM_RBF_0,03_scale;0.6578;0.9557;0.7792;0.0252
Adoption_VAE_2000_6000_8_OCSVM_RBF_0,04_scale;0.6704;0.9465;0.7849;0.0271
Adoption_VAE_2000_6000_8_OCSVM_RBF_0,05_scale;0.6846;0.9343;0.7901;0.0329
Adoption_VAE_2000_6000_8_OCSVM_RBF_0,06_scale;0.6972;0.9217;0.7939;0.0424
Adoption_VAE_2000_6000_8_OCSVM_RBF_0,07_scale;0.7139;0.9103;0.8002;0.0448
Adoption_VAE_2000_6000_8_OCSVM_RBF_0,08_scale;0.7251;0.8992;0.8028;0.0576
Adoption_VAE_2000_6000_8_OCSVM_RBF_0,09_scale;0.7321;0.8908;0.8037;0.0563
Adoption_VAE_2000_6000_8_OCSVM_RBF_0,1_scale;0.7391;0.8838;0.8050;0.0667
Adoption_VAE_2000_6000_8_OCSVM_RBF_0,2_scale;0.8053;0.7830;0.7940;0.1252
Adoption_VAE_2000_6000_8_OCSVM_RBF_0,3_scale;0.8443;0.6548;0.7375;0.1831
Adoption_VAE_2000_6000_8_OCSVM_RBF_0,4_scale;0.8644;0.5530;0.6745;0.2359
Adoption_VAE_2000_6000_8_OCSVM_RBF_0,5_scale;0.8785;0.4682;0.6109;0.2973
Adoption_VAE_2000_6000_8_OCSVM_RBF_0,6_scale;0.8899;0.3820;0.5345;0.3739
Adoption_VAE_2000_6000_8_OCSVM_RBF_0,7_scale;0.9003;0.2935;0.4427;0.4133
Adoption_VAE_2000_6000_8_OCSVM_RBF_0,8_scale;0.9067;0.2040;0.3331;0.4532
Adoption_VAE_2000_6000_8_OCSVM_RBF_0,9_scale;0.9052;0.1050;0.1882;0.4764
Adoption_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.5984;0.9942;0.7471;0.0053
Adoption_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.5931;0.9950;0.7432;0.0044
Adoption_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.5931;0.9950;0.7432;0.0038
Adoption_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.6142;0.9892;0.7578;0.0062
Adoption_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.6349;0.9848;0.7721;0.0088
Adoption_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.6788;0.9715;0.7992;0.0152
Adoption_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.6866;0.9623;0.8014;0.0236
Adoption_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.6985;0.9553;0.8070;0.0303
Adoption_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.7242;0.9400;0.8181;0.0343
Adoption_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.7360;0.9327;0.8228;0.0425
Adoption_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.7572;0.9190;0.8303;0.0469
Adoption_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.7721;0.9028;0.8323;0.0527
Adoption_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.7889;0.8828;0.8332;0.0578
Adoption_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.7997;0.8722;0.8344;0.0861
Adoption_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.8456;0.7722;0.8073;0.1260
Adoption_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.8710;0.6535;0.7468;0.1857
Adoption_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.8928;0.5640;0.6913;0.2333
Adoption_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9016;0.4788;0.6254;0.3036
Adoption_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9087;0.3780;0.5339;0.3680
Adoption_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9166;0.2720;0.4195;0.4226
Adoption_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9206;0.1855;0.3088;0.4576
Adoption_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.9310;0.1013;0.1826;0.4979
Adoption_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.5633;0.9965;0.7198;0.0039
Adoption_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.5633;0.9965;0.7198;0.0036
Adoption_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.5633;0.9965;0.7198;0.0031
Adoption_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.6012;0.9905;0.7483;0.0065
Adoption_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.6252;0.9852;0.7649;0.0091
Adoption_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.6618;0.9718;0.7874;0.0147
Adoption_VAE_2000_6000_10_OCSVM_RBF_0,03_scale;0.6868;0.9593;0.8005;0.0219
Adoption_VAE_2000_6000_10_OCSVM_RBF_0,04_scale;0.6997;0.9495;0.8057;0.0283
Adoption_VAE_2000_6000_10_OCSVM_RBF_0,05_scale;0.7117;0.9443;0.8116;0.0325
Adoption_VAE_2000_6000_10_OCSVM_RBF_0,06_scale;0.7342;0.9357;0.8228;0.0378
Adoption_VAE_2000_6000_10_OCSVM_RBF_0,07_scale;0.7423;0.9245;0.8234;0.0594
Adoption_VAE_2000_6000_10_OCSVM_RBF_0,08_scale;0.7571;0.9093;0.8262;0.0492
Adoption_VAE_2000_6000_10_OCSVM_RBF_0,09_scale;0.7716;0.8942;0.8284;0.0544
Adoption_VAE_2000_6000_10_OCSVM_RBF_0,1_scale;0.7782;0.8858;0.8285;0.0601
Adoption_VAE_2000_6000_10_OCSVM_RBF_0,2_scale;0.8293;0.7688;0.7979;0.1245
Adoption_VAE_2000_6000_10_OCSVM_RBF_0,3_scale;0.8460;0.6565;0.7393;0.1794
Adoption_VAE_2000_6000_10_OCSVM_RBF_0,4_scale;0.8582;0.5675;0.6832;0.2346
Adoption_VAE_2000_6000_10_OCSVM_RBF_0,5_scale;0.8630;0.4710;0.6094;0.3048
Adoption_VAE_2000_6000_10_OCSVM_RBF_0,6_scale;0.8654;0.3713;0.5196;0.3524
Adoption_VAE_2000_6000_10_OCSVM_RBF_0,7_scale;0.8730;0.2785;0.4223;0.3887
