Parametros;Precisao;Revocacao;F1-Score;Tempo
Agriculture_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.7670;0.9985;0.8676;0.0066
Agriculture_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.7659;0.9985;0.8668;0.0055
Agriculture_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.7592;0.9985;0.8625;0.0050
Agriculture_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.9259;0.9928;0.9581;0.0077
Agriculture_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.9669;0.9860;0.9764;0.0100
Agriculture_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.9836;0.9760;0.9798;0.0159
Agriculture_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9867;0.9670;0.9768;0.0209
Agriculture_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9876;0.9563;0.9717;0.0275
Agriculture_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9890;0.9413;0.9645;0.0316
Agriculture_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9894;0.9313;0.9594;0.0370
Agriculture_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9895;0.9205;0.9538;0.0492
Agriculture_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9896;0.9080;0.9471;0.0522
Agriculture_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9896;0.9018;0.9436;0.0583
Agriculture_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9897;0.8882;0.9362;0.0696
Agriculture_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9909;0.7870;0.8772;0.1276
Agriculture_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9917;0.6833;0.8091;0.1813
Agriculture_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9916;0.5875;0.7378;0.2535
Agriculture_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9934;0.4920;0.6581;0.3017
Agriculture_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9948;0.3807;0.5507;0.3568
Agriculture_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9955;0.2795;0.4365;0.4037
Agriculture_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9947;0.1865;0.3141;0.4431
Agriculture_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;1.0000;0.0993;0.1806;0.4887
Agriculture_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.8216;0.9982;0.9014;0.0039
Agriculture_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.8216;0.9982;0.9014;0.0038
Agriculture_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.8216;0.9982;0.9014;0.0040
Agriculture_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.9780;0.9872;0.9826;0.0065
Agriculture_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.9808;0.9808;0.9808;0.0091
Agriculture_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.9855;0.9698;0.9776;0.0152
Agriculture_VAE_2000_6000_10_OCSVM_RBF_0,03_scale;0.9871;0.9603;0.9735;0.0242
Agriculture_VAE_2000_6000_10_OCSVM_RBF_0,04_scale;0.9885;0.9485;0.9681;0.0283
Agriculture_VAE_2000_6000_10_OCSVM_RBF_0,05_scale;0.9892;0.9380;0.9629;0.0340
Agriculture_VAE_2000_6000_10_OCSVM_RBF_0,06_scale;0.9895;0.9217;0.9544;0.0396
Agriculture_VAE_2000_6000_10_OCSVM_RBF_0,07_scale;0.9900;0.9133;0.9501;0.0531
Agriculture_VAE_2000_6000_10_OCSVM_RBF_0,08_scale;0.9904;0.9000;0.9430;0.0540
Agriculture_VAE_2000_6000_10_OCSVM_RBF_0,09_scale;0.9903;0.8900;0.9375;0.0599
Agriculture_VAE_2000_6000_10_OCSVM_RBF_0,1_scale;0.9902;0.8805;0.9321;0.0678
Agriculture_VAE_2000_6000_10_OCSVM_RBF_0,2_scale;0.9922;0.7903;0.8798;0.1212
Agriculture_VAE_2000_6000_10_OCSVM_RBF_0,3_scale;0.9922;0.6955;0.8178;0.1970
Agriculture_VAE_2000_6000_10_OCSVM_RBF_0,4_scale;0.9935;0.5775;0.7304;0.2350
Agriculture_VAE_2000_6000_10_OCSVM_RBF_0,5_scale;0.9933;0.4783;0.6456;0.2980
Agriculture_VAE_2000_6000_10_OCSVM_RBF_0,6_scale;0.9943;0.3932;0.5636;0.3518
Agriculture_VAE_2000_6000_10_OCSVM_RBF_0,7_scale;0.9965;0.2850;0.4432;0.4097
Agriculture_VAE_2000_6000_10_OCSVM_RBF_0,8_scale;0.9960;0.1875;0.3156;0.4476
Agriculture_VAE_2000_6000_10_OCSVM_RBF_0,9_scale;0.9973;0.0907;0.1664;0.4848
Agriculture_VAE_2000_6000_6_OCSVM_RBF_0,0001_scale;0.5207;1.0000;0.6848;0.0045
Agriculture_VAE_2000_6000_6_OCSVM_RBF_0,0005_scale;0.5207;1.0000;0.6848;0.0033
Agriculture_VAE_2000_6000_6_OCSVM_RBF_0,001_scale;0.5207;1.0000;0.6848;0.0031
Agriculture_VAE_2000_6000_6_OCSVM_RBF_0,005_scale;0.8280;0.9938;0.9033;0.0060
Agriculture_VAE_2000_6000_6_OCSVM_RBF_0,01_scale;0.9785;0.9878;0.9831;0.0098
Agriculture_VAE_2000_6000_6_OCSVM_RBF_0,02_scale;0.9837;0.9800;0.9818;0.0202
Agriculture_VAE_2000_6000_6_OCSVM_RBF_0,03_scale;0.9855;0.9700;0.9777;0.0212
Agriculture_VAE_2000_6000_6_OCSVM_RBF_0,04_scale;0.9866;0.9590;0.9726;0.0267
Agriculture_VAE_2000_6000_6_OCSVM_RBF_0,05_scale;0.9875;0.9483;0.9675;0.0311
Agriculture_VAE_2000_6000_6_OCSVM_RBF_0,06_scale;0.9886;0.9360;0.9616;0.0371
Agriculture_VAE_2000_6000_6_OCSVM_RBF_0,07_scale;0.9891;0.9277;0.9574;0.0490
