Parametros;Precisao;Revocacao;F1-Score;Tempo
Anniversary_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.6196;0.9992;0.7649;0.0041
Anniversary_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.6196;0.9992;0.7649;0.0033
Anniversary_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.6196;0.9992;0.7649;0.0033
Anniversary_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.6758;0.9955;0.8051;0.0060
Anniversary_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.7324;0.9888;0.8415;0.0088
Anniversary_VAE_2000_6000_8_OCSVM_RBF_0,02_scale;0.8723;0.9820;0.9239;0.0147
Anniversary_VAE_2000_6000_8_OCSVM_RBF_0,03_scale;0.9011;0.9752;0.9367;0.0204
Anniversary_VAE_2000_6000_8_OCSVM_RBF_0,04_scale;0.9307;0.9603;0.9452;0.0307
Anniversary_VAE_2000_6000_8_OCSVM_RBF_0,05_scale;0.9445;0.9410;0.9428;0.0431
Anniversary_VAE_2000_6000_8_OCSVM_RBF_0,06_scale;0.9537;0.9215;0.9373;0.0519
Anniversary_VAE_2000_6000_8_OCSVM_RBF_0,07_scale;0.9638;0.9065;0.9343;0.0477
Anniversary_VAE_2000_6000_8_OCSVM_RBF_0,08_scale;0.9668;0.8955;0.9298;0.0540
Anniversary_VAE_2000_6000_8_OCSVM_RBF_0,09_scale;0.9693;0.8852;0.9254;0.0584
Anniversary_VAE_2000_6000_8_OCSVM_RBF_0,1_scale;0.9727;0.8745;0.9210;0.0683
Anniversary_VAE_2000_6000_8_OCSVM_RBF_0,2_scale;0.9823;0.7645;0.8598;0.1267
Anniversary_VAE_2000_6000_8_OCSVM_RBF_0,3_scale;0.9875;0.6697;0.7982;0.1822
Anniversary_VAE_2000_6000_8_OCSVM_RBF_0,4_scale;0.9882;0.5635;0.7177;0.2404
Anniversary_VAE_2000_6000_8_OCSVM_RBF_0,5_scale;0.9906;0.4495;0.6184;0.2975
Anniversary_VAE_2000_6000_8_OCSVM_RBF_0,6_scale;0.9912;0.3663;0.5349;0.3654
Anniversary_VAE_2000_6000_8_OCSVM_RBF_0,7_scale;0.9915;0.2612;0.4135;0.4118
Anniversary_VAE_2000_6000_8_OCSVM_RBF_0,8_scale;0.9927;0.1710;0.2917;0.4660
Anniversary_VAE_2000_6000_8_OCSVM_RBF_0,9_scale;0.9851;0.0825;0.1522;0.4760
Anniversary_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.6022;0.9890;0.7486;0.0065
Anniversary_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.6015;0.9902;0.7484;0.0054
Anniversary_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.6009;0.9908;0.7481;0.0054
Anniversary_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.6391;0.9868;0.7757;0.0074
Anniversary_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.6598;0.9820;0.7893;0.0108
Anniversary_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.7446;0.9765;0.8449;0.0162
Anniversary_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.8335;0.9650;0.8945;0.0227
Anniversary_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.8910;0.9580;0.9233;0.0326
Anniversary_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9164;0.9455;0.9307;0.0342
Anniversary_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9337;0.9330;0.9334;0.0462
Anniversary_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9434;0.9250;0.9341;0.0459
Anniversary_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9518;0.9140;0.9325;0.0516
Anniversary_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9598;0.8960;0.9268;0.0575
Anniversary_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9647;0.8872;0.9243;0.0804
Anniversary_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9790;0.7810;0.8689;0.1194
Anniversary_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9840;0.6757;0.8012;0.1854
Anniversary_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9863;0.5593;0.7138;0.2357
Anniversary_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9883;0.4645;0.6320;0.2888
Anniversary_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9887;0.3715;0.5401;0.3616
Anniversary_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9885;0.2802;0.4367;0.4136
Anniversary_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9869;0.1883;0.3162;0.4498
Anniversary_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.9831;0.1020;0.1848;0.4883
Anniversary_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.5125;1.0000;0.6777;0.0051
Anniversary_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.5126;1.0000;0.6778;0.0038
Anniversary_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.5126;1.0000;0.6778;0.0042
Anniversary_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.5167;0.9960;0.6804;0.0076
Anniversary_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.5287;0.9938;0.6902;0.0101
Anniversary_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.5974;0.9860;0.7440;0.0217
Anniversary_VAE_2000_6000_10_OCSVM_RBF_0,03_scale;0.6527;0.9805;0.7837;0.0221
Anniversary_VAE_2000_6000_10_OCSVM_RBF_0,04_scale;0.6871;0.9690;0.8041;0.0267
Anniversary_VAE_2000_6000_10_OCSVM_RBF_0,05_scale;0.7050;0.9637;0.8143;0.0331
Anniversary_VAE_2000_6000_10_OCSVM_RBF_0,06_scale;0.7393;0.9585;0.8347;0.0443
Anniversary_VAE_2000_6000_10_OCSVM_RBF_0,07_scale;0.7521;0.9547;0.8414;0.0471
Anniversary_VAE_2000_6000_10_OCSVM_RBF_0,08_scale;0.7758;0.9463;0.8526;0.0529
Anniversary_VAE_2000_6000_10_OCSVM_RBF_0,09_scale;0.7924;0.9390;0.8595;0.0571
Anniversary_VAE_2000_6000_10_OCSVM_RBF_0,1_scale;0.8063;0.9285;0.8631;0.0688
Anniversary_VAE_2000_6000_10_OCSVM_RBF_0,2_scale;0.8916;0.8495;0.8701;0.1361
Anniversary_VAE_2000_6000_10_OCSVM_RBF_0,3_scale;0.9263;0.7695;0.8406;0.1935
Anniversary_VAE_2000_6000_10_OCSVM_RBF_0,4_scale;0.9420;0.6785;0.7888;0.2400
Anniversary_VAE_2000_6000_10_OCSVM_RBF_0,5_scale;0.9554;0.5942;0.7327;0.3041
Anniversary_VAE_2000_6000_10_OCSVM_RBF_0,6_scale;0.9700;0.4848;0.6464;0.3626
Anniversary_VAE_2000_6000_10_OCSVM_RBF_0,7_scale;0.9779;0.3762;0.5434;0.4091
Anniversary_VAE_2000_6000_10_OCSVM_RBF_0,8_scale;0.9872;0.2507;0.3999;0.4399
Anniversary_VAE_2000_6000_10_OCSVM_RBF_0,9_scale;0.9849;0.1145;0.2052;0.4718
Anniversary_VAE_2000_6000_6_OCSVM_RBF_0,0001_scale;0.6445;0.9958;0.7825;0.0057
Anniversary_VAE_2000_6000_6_OCSVM_RBF_0,0005_scale;0.6401;0.9955;0.7792;0.0048
Anniversary_VAE_2000_6000_6_OCSVM_RBF_0,001_scale;0.6402;0.9955;0.7793;0.0066
Anniversary_VAE_2000_6000_6_OCSVM_RBF_0,005_scale;0.6740;0.9918;0.8025;0.0073
Anniversary_VAE_2000_6000_6_OCSVM_RBF_0,01_scale;0.7395;0.9838;0.8443;0.0108
Anniversary_VAE_2000_6000_6_OCSVM_RBF_0,02_scale;0.8580;0.9760;0.9132;0.0168
Anniversary_VAE_2000_6000_6_OCSVM_RBF_0,03_scale;0.9051;0.9653;0.9342;0.0232
Anniversary_VAE_2000_6000_6_OCSVM_RBF_0,04_scale;0.9299;0.9547;0.9421;0.0298
Anniversary_VAE_2000_6000_6_OCSVM_RBF_0,05_scale;0.9414;0.9400;0.9407;0.0367
Anniversary_VAE_2000_6000_6_OCSVM_RBF_0,06_scale;0.9499;0.9293;0.9395;0.0572
Anniversary_VAE_2000_6000_6_OCSVM_RBF_0,07_scale;0.9566;0.9195;0.9377;0.0476
Anniversary_VAE_2000_6000_6_OCSVM_RBF_0,08_scale;0.9638;0.9058;0.9339;0.0536
Anniversary_VAE_2000_6000_6_OCSVM_RBF_0,09_scale;0.9690;0.8978;0.9320;0.0581
Anniversary_VAE_2000_6000_6_OCSVM_RBF_0,1_scale;0.9728;0.8838;0.9261;0.0748
Anniversary_VAE_2000_6000_6_OCSVM_RBF_0,2_scale;0.9829;0.7762;0.8674;0.1242
Anniversary_VAE_2000_6000_6_OCSVM_RBF_0,3_scale;0.9851;0.6790;0.8039;0.1892
