Parametros;Precisao;Revocacao;F1-Score;Tempo
Arson_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.6013;0.9990;0.7507;0.0048
Arson_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.6013;0.9990;0.7507;0.0032
Arson_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.6013;0.9990;0.7507;0.0039
Arson_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.7532;0.9895;0.8553;0.0067
Arson_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.7954;0.9842;0.8798;0.0097
Arson_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.8342;0.9758;0.8994;0.0162
Arson_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.8632;0.9673;0.9123;0.0209
Arson_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.8760;0.9540;0.9134;0.0260
Arson_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.8944;0.9420;0.9176;0.0330
Arson_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9080;0.9350;0.9213;0.0408
Arson_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9138;0.9245;0.9191;0.0437
Arson_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9266;0.9093;0.9179;0.0489
Arson_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9300;0.8970;0.9132;0.0565
Arson_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9339;0.8900;0.9114;0.0658
Arson_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9624;0.7933;0.8697;0.1198
Arson_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9770;0.6890;0.8081;0.1757
Arson_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9837;0.6045;0.7488;0.2421
Arson_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9871;0.5172;0.6788;0.2871
Arson_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9895;0.4248;0.5944;0.3541
Arson_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9933;0.2980;0.4585;0.4204
Arson_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9953;0.2100;0.3468;0.4520
Arson_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;1.0000;0.1118;0.2010;0.4883
Arson_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.5695;0.9992;0.7255;0.0040
Arson_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.5695;0.9992;0.7255;0.0043
Arson_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.5695;0.9992;0.7255;0.0034
Arson_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.6908;0.9915;0.8143;0.0066
Arson_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.7623;0.9848;0.8594;0.0091
Arson_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.8033;0.9748;0.8807;0.0151
Arson_VAE_2000_6000_10_OCSVM_RBF_0,03_scale;0.8303;0.9653;0.8927;0.0215
Arson_VAE_2000_6000_10_OCSVM_RBF_0,04_scale;0.8409;0.9550;0.8943;0.0272
Arson_VAE_2000_6000_10_OCSVM_RBF_0,05_scale;0.8564;0.9453;0.8986;0.0415
Arson_VAE_2000_6000_10_OCSVM_RBF_0,06_scale;0.8684;0.9405;0.9030;0.0423
Arson_VAE_2000_6000_10_OCSVM_RBF_0,07_scale;0.8871;0.9267;0.9065;0.0465
Arson_VAE_2000_6000_10_OCSVM_RBF_0,08_scale;0.8979;0.9123;0.9050;0.0515
Arson_VAE_2000_6000_10_OCSVM_RBF_0,09_scale;0.9056;0.8995;0.9025;0.0580
Arson_VAE_2000_6000_10_OCSVM_RBF_0,1_scale;0.9122;0.8888;0.9003;0.0757
Arson_VAE_2000_6000_10_OCSVM_RBF_0,2_scale;0.9462;0.7778;0.8537;0.1314
Arson_VAE_2000_6000_10_OCSVM_RBF_0,3_scale;0.9661;0.6920;0.8064;0.1868
Arson_VAE_2000_6000_10_OCSVM_RBF_0,4_scale;0.9734;0.5863;0.7318;0.2394
Arson_VAE_2000_6000_10_OCSVM_RBF_0,5_scale;0.9816;0.4930;0.6563;0.3033
Arson_VAE_2000_6000_10_OCSVM_RBF_0,6_scale;0.9876;0.3992;0.5686;0.3616
Arson_VAE_2000_6000_10_OCSVM_RBF_0,7_scale;0.9894;0.3030;0.4639;0.4033
Arson_VAE_2000_6000_10_OCSVM_RBF_0,8_scale;0.9938;0.1993;0.3319;0.4585
Arson_VAE_2000_6000_10_OCSVM_RBF_0,9_scale;0.9950;0.0995;0.1809;0.4836
Arson_VAE_2000_6000_6_OCSVM_RBF_0,0001_scale;0.5252;0.9918;0.6867;0.0066
Arson_VAE_2000_6000_6_OCSVM_RBF_0,0005_scale;0.5260;0.9908;0.6872;0.0050
Arson_VAE_2000_6000_6_OCSVM_RBF_0,001_scale;0.5248;0.9910;0.6862;0.0057
Arson_VAE_2000_6000_6_OCSVM_RBF_0,005_scale;0.6676;0.9922;0.7982;0.0151
Arson_VAE_2000_6000_6_OCSVM_RBF_0,01_scale;0.7283;0.9860;0.8378;0.0094
Arson_VAE_2000_6000_6_OCSVM_RBF_0,02_scale;0.8289;0.9722;0.8948;0.0155
Arson_VAE_2000_6000_6_OCSVM_RBF_0,03_scale;0.8666;0.9613;0.9115;0.0210
Arson_VAE_2000_6000_6_OCSVM_RBF_0,04_scale;0.8735;0.9565;0.9131;0.0272
Arson_VAE_2000_6000_6_OCSVM_RBF_0,05_scale;0.8868;0.9463;0.9156;0.0434
Arson_VAE_2000_6000_6_OCSVM_RBF_0,06_scale;0.8945;0.9370;0.9153;0.0439
Arson_VAE_2000_6000_6_OCSVM_RBF_0,07_scale;0.9062;0.9245;0.9152;0.0481
Arson_VAE_2000_6000_6_OCSVM_RBF_0,08_scale;0.9161;0.9115;0.9138;0.0508
Arson_VAE_2000_6000_6_OCSVM_RBF_0,09_scale;0.9218;0.9048;0.9132;0.0572
Arson_VAE_2000_6000_6_OCSVM_RBF_0,1_scale;0.9263;0.8925;0.9091;0.0826
Arson_VAE_2000_6000_6_OCSVM_RBF_0,2_scale;0.9565;0.7860;0.8629;0.1268
Arson_VAE_2000_6000_6_OCSVM_RBF_0,3_scale;0.9692;0.6855;0.8030;0.1805
Arson_VAE_2000_6000_6_OCSVM_RBF_0,4_scale;0.9759;0.5970;0.7408;0.2326
Arson_VAE_2000_6000_6_OCSVM_RBF_0,5_scale;0.9803;0.4988;0.6611;0.2860
Arson_VAE_2000_6000_6_OCSVM_RBF_0,6_scale;0.9849;0.4088;0.5777;0.3820
Arson_VAE_2000_6000_6_OCSVM_RBF_0,7_scale;0.9880;0.3098;0.4716;0.3870
Arson_VAE_2000_6000_6_OCSVM_RBF_0,8_scale;0.9914;0.2013;0.3346;0.4470
Arson_VAE_2000_6000_6_OCSVM_RBF_0,9_scale;0.9950;0.0995;0.1809;0.4855
Arson_VAE_2000_6000_7_OCSVM_RBF_0,0001_scale;0.5944;0.9888;0.7424;0.0060
Arson_VAE_2000_6000_7_OCSVM_RBF_0,0005_scale;0.5928;0.9928;0.7423;0.0061
Arson_VAE_2000_6000_7_OCSVM_RBF_0,001_scale;0.5923;0.9935;0.7422;0.0066
Arson_VAE_2000_6000_7_OCSVM_RBF_0,005_scale;0.7257;0.9915;0.8380;0.0075
Arson_VAE_2000_6000_7_OCSVM_RBF_0,01_scale;0.7629;0.9855;0.8600;0.0107
Arson_VAE_2000_6000_7_OCSVM_RBF_0,02_scale;0.8245;0.9735;0.8928;0.0173
Arson_VAE_2000_6000_7_OCSVM_RBF_0,03_scale;0.8413;0.9650;0.8989;0.0232
Arson_VAE_2000_6000_7_OCSVM_RBF_0,04_scale;0.8585;0.9587;0.9059;0.0304
Arson_VAE_2000_6000_7_OCSVM_RBF_0,05_scale;0.8716;0.9485;0.9084;0.0355
Arson_VAE_2000_6000_7_OCSVM_RBF_0,06_scale;0.8920;0.9355;0.9132;0.0538
