Parametros;Precisao;Revocacao;F1-Score;Tempo
Culture_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.5398;0.9990;0.7009;0.0046
Culture_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.5398;0.9990;0.7009;0.0034
Culture_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.5398;0.9990;0.7009;0.0040
Culture_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.6617;0.9958;0.7951;0.0070
Culture_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.7078;0.9908;0.8257;0.0105
Culture_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.8137;0.9830;0.8904;0.0176
Culture_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.8835;0.9690;0.9243;0.0240
Culture_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9201;0.9535;0.9365;0.0266
Culture_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9329;0.9423;0.9376;0.0330
Culture_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9407;0.9353;0.9379;0.0471
Culture_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9528;0.9243;0.9383;0.0449
Culture_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9628;0.9113;0.9363;0.0511
Culture_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9661;0.9048;0.9344;0.0570
Culture_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9738;0.8922;0.9312;0.0673
Culture_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9910;0.7963;0.8830;0.1187
Culture_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9951;0.7080;0.8273;0.1836
Culture_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9959;0.6062;0.7537;0.2345
Culture_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9956;0.5068;0.6716;0.2986
Culture_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9964;0.4125;0.5835;0.3588
Culture_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9961;0.3230;0.4878;0.4013
Culture_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9966;0.2208;0.3614;0.4414
Culture_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.9974;0.0973;0.1772;0.4721
Culture_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.5999;0.9972;0.7492;0.0046
Culture_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.6060;0.9970;0.7538;0.0044
Culture_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.6056;0.9970;0.7535;0.0039
Culture_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.6983;0.9922;0.8197;0.0068
Culture_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.7408;0.9888;0.8470;0.0096
Culture_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.8467;0.9718;0.9049;0.0160
Culture_VAE_2000_6000_10_OCSVM_RBF_0,03_scale;0.8823;0.9575;0.9184;0.0216
Culture_VAE_2000_6000_10_OCSVM_RBF_0,04_scale;0.9089;0.9480;0.9280;0.0295
Culture_VAE_2000_6000_10_OCSVM_RBF_0,05_scale;0.9239;0.9373;0.9305;0.0364
Culture_VAE_2000_6000_10_OCSVM_RBF_0,06_scale;0.9397;0.9277;0.9337;0.0394
Culture_VAE_2000_6000_10_OCSVM_RBF_0,07_scale;0.9454;0.9220;0.9336;0.0499
Culture_VAE_2000_6000_10_OCSVM_RBF_0,08_scale;0.9525;0.9073;0.9293;0.0517
Culture_VAE_2000_6000_10_OCSVM_RBF_0,09_scale;0.9565;0.8960;0.9253;0.0573
Culture_VAE_2000_6000_10_OCSVM_RBF_0,1_scale;0.9589;0.8865;0.9213;0.0663
Culture_VAE_2000_6000_10_OCSVM_RBF_0,2_scale;0.9806;0.7843;0.8715;0.1356
