Parametros;Precisao;Revocacao;F1-Score;Tempo
Design_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.8983;0.9982;0.9456;0.0050
Design_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.8983;0.9982;0.9456;0.0034
Design_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.8983;0.9982;0.9456;0.0034
Design_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.9512;0.9898;0.9701;0.0057
Design_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.9596;0.9855;0.9724;0.0095
Design_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.9693;0.9780;0.9736;0.0151
Design_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9752;0.9627;0.9689;0.0218
Design_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9794;0.9505;0.9647;0.0273
Design_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9820;0.9395;0.9603;0.0336
Design_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9833;0.9297;0.9558;0.0390
Design_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9845;0.9217;0.9521;0.0473
Design_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9854;0.9123;0.9474;0.0497
Design_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9866;0.9050;0.9441;0.0566
Design_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9887;0.8942;0.9391;0.0644
Design_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9917;0.8035;0.8877;0.1311
Design_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9921;0.6950;0.8174;0.1831
Design_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9921;0.5972;0.7456;0.2543
Design_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9922;0.5078;0.6717;0.2881
Design_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9917;0.4165;0.5866;0.3458
Design_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9935;0.3035;0.4650;0.4014
Design_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9951;0.2018;0.3355;0.4334
Design_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.9971;0.0858;0.1579;0.4762
Design_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.8258;0.9992;0.9043;0.0045
