Parametros;Precisao;Revocacao;F1-Score;Tempo
Gender_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.5265;0.9998;0.6897;0.0046
Gender_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.5265;0.9998;0.6897;0.0031
Gender_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.5265;0.9998;0.6897;0.0033
Gender_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.9362;0.9948;0.9646;0.0061
Gender_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.9670;0.9880;0.9774;0.0092
Gender_VAE_2000_6000_8_OCSVM_RBF_0,02_scale;0.9781;0.9735;0.9758;0.0151
Gender_VAE_2000_6000_8_OCSVM_RBF_0,03_scale;0.9822;0.9630;0.9725;0.0211
Gender_VAE_2000_6000_8_OCSVM_RBF_0,04_scale;0.9853;0.9537;0.9693;0.0347
Gender_VAE_2000_6000_8_OCSVM_RBF_0,05_scale;0.9892;0.9410;0.9645;0.0358
Gender_VAE_2000_6000_8_OCSVM_RBF_0,06_scale;0.9904;0.9330;0.9609;0.0424
Gender_VAE_2000_6000_8_OCSVM_RBF_0,07_scale;0.9912;0.9255;0.9572;0.0487
Gender_VAE_2000_6000_8_OCSVM_RBF_0,08_scale;0.9913;0.9167;0.9526;0.0569
Gender_VAE_2000_6000_8_OCSVM_RBF_0,09_scale;0.9926;0.9002;0.9442;0.0617
Gender_VAE_2000_6000_8_OCSVM_RBF_0,1_scale;0.9930;0.8878;0.9374;0.0733
Gender_VAE_2000_6000_8_OCSVM_RBF_0,2_scale;0.9968;0.7702;0.8690;0.1235
Gender_VAE_2000_6000_8_OCSVM_RBF_0,3_scale;0.9978;0.6660;0.7988;0.1895
Gender_VAE_2000_6000_8_OCSVM_RBF_0,4_scale;0.9978;0.5663;0.7225;0.2406
Gender_VAE_2000_6000_8_OCSVM_RBF_0,5_scale;0.9973;0.4630;0.6324;0.2992
Gender_VAE_2000_6000_8_OCSVM_RBF_0,6_scale;0.9986;0.3558;0.5246;0.3655
Gender_VAE_2000_6000_8_OCSVM_RBF_0,7_scale;0.9981;0.2685;0.4232;0.4121
Gender_VAE_2000_6000_8_OCSVM_RBF_0,8_scale;0.9972;0.1787;0.3032;0.4661
Gender_VAE_2000_6000_8_OCSVM_RBF_0,9_scale;0.9969;0.0813;0.1503;0.4785
Gender_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.6270;0.9992;0.7705;0.0040
Gender_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.6270;0.9992;0.7705;0.0031
Gender_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.6270;0.9992;0.7705;0.0037
Gender_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.9705;0.9875;0.9789;0.0059
Gender_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.9808;0.9828;0.9818;0.0087
Gender_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.9871;0.9725;0.9797;0.0148
Gender_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9880;0.9635;0.9756;0.0214
Gender_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9899;0.9533;0.9712;0.0266
Gender_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9918;0.9383;0.9643;0.0327
Gender_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9923;0.9293;0.9597;0.0393
Gender_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9927;0.9177;0.9538;0.0594
Gender_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9937;0.9035;0.9464;0.0508
Gender_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9939;0.8938;0.9412;0.0649
Gender_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9958;0.8798;0.9342;0.0634
Gender_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9968;0.7732;0.8709;0.1393
Gender_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9974;0.6617;0.7956;0.1814
Gender_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9978;0.5607;0.7180;0.2427
Gender_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9978;0.4625;0.6320;0.2844
