Parametros;Precisao;Revocacao;F1-Score;Tempo
Pandemic_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.6976;0.9955;0.8204;0.0044
Pandemic_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.6976;0.9955;0.8204;0.0030
Pandemic_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.6976;0.9955;0.8204;0.0031
Pandemic_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.7825;0.9892;0.8738;0.0076
Pandemic_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.8491;0.9805;0.9101;0.0087
Pandemic_VAE_2000_6000_8_OCSVM_RBF_0,02_scale;0.8831;0.9692;0.9242;0.0152
Pandemic_VAE_2000_6000_8_OCSVM_RBF_0,03_scale;0.9085;0.9555;0.9314;0.0215
Pandemic_VAE_2000_6000_8_OCSVM_RBF_0,04_scale;0.9258;0.9425;0.9341;0.0355
Pandemic_VAE_2000_6000_8_OCSVM_RBF_0,05_scale;0.9359;0.9303;0.9330;0.0341
Pandemic_VAE_2000_6000_8_OCSVM_RBF_0,06_scale;0.9507;0.9160;0.9330;0.0431
Pandemic_VAE_2000_6000_8_OCSVM_RBF_0,07_scale;0.9572;0.9002;0.9279;0.0447
Pandemic_VAE_2000_6000_8_OCSVM_RBF_0,08_scale;0.9606;0.8845;0.9210;0.0537
Pandemic_VAE_2000_6000_8_OCSVM_RBF_0,09_scale;0.9631;0.8688;0.9135;0.0556
Pandemic_VAE_2000_6000_8_OCSVM_RBF_0,1_scale;0.9668;0.8512;0.9053;0.0649
Pandemic_VAE_2000_6000_8_OCSVM_RBF_0,2_scale;0.9735;0.7170;0.8258;0.1260
Pandemic_VAE_2000_6000_8_OCSVM_RBF_0,3_scale;0.9817;0.5910;0.7378;0.1903
Pandemic_VAE_2000_6000_8_OCSVM_RBF_0,4_scale;0.9851;0.4800;0.6455;0.2368
Pandemic_VAE_2000_6000_8_OCSVM_RBF_0,5_scale;0.9882;0.3770;0.5458;0.3052
Pandemic_VAE_2000_6000_8_OCSVM_RBF_0,6_scale;0.9907;0.2918;0.4508;0.3469
Pandemic_VAE_2000_6000_8_OCSVM_RBF_0,7_scale;0.9921;0.2195;0.3595;0.4071
Pandemic_VAE_2000_6000_8_OCSVM_RBF_0,8_scale;0.9935;0.1535;0.2659;0.4621
Pandemic_VAE_2000_6000_8_OCSVM_RBF_0,9_scale;0.9905;0.0785;0.1455;0.4910
Pandemic_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.6207;0.9985;0.7655;0.0047
Pandemic_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.6231;0.9985;0.7673;0.0046
Pandemic_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.6230;0.9985;0.7673;0.0037
Pandemic_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.7085;0.9930;0.8270;0.0066
Pandemic_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.7795;0.9855;0.8705;0.0100
Pandemic_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.8350;0.9782;0.9010;0.0160
Pandemic_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.8887;0.9583;0.9222;0.0222
Pandemic_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9103;0.9490;0.9293;0.0281
Pandemic_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9236;0.9370;0.9303;0.0340
Pandemic_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9315;0.9245;0.9280;0.0404
Pandemic_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9419;0.9073;0.9242;0.0467
Pandemic_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9478;0.8940;0.9201;0.0515
Pandemic_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9524;0.8812;0.9155;0.0566
Pandemic_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9551;0.8725;0.9119;0.0725
Pandemic_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9715;0.7425;0.8417;0.1200
Pandemic_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9791;0.6322;0.7683;0.1881
Pandemic_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9834;0.5317;0.6902;0.2428
Pandemic_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9868;0.4313;0.6002;0.2870
Pandemic_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9868;0.3355;0.5007;0.3549
Pandemic_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9853;0.2505;0.3994;0.4116
