Parametros;Precisao;Revocacao;F1-Score;Tempo
Plant_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.5406;0.9990;0.7015;0.0047
Plant_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.5406;0.9990;0.7015;0.0037
Plant_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.5406;0.9990;0.7015;0.0031
Plant_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.6266;0.9958;0.7691;0.0073
Plant_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.7195;0.9890;0.8330;0.0086
Plant_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.7920;0.9835;0.8774;0.0148
Plant_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.8359;0.9720;0.8989;0.0210
Plant_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.8539;0.9657;0.9064;0.0272
Plant_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.8741;0.9565;0.9135;0.0328
Plant_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.8966;0.9455;0.9204;0.0389
Plant_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9181;0.9300;0.9240;0.0496
Plant_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9222;0.9220;0.9221;0.0504
Plant_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9315;0.9143;0.9228;0.0648
Plant_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9371;0.9050;0.9208;0.0620
Plant_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9617;0.8157;0.8827;0.1301
Plant_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9711;0.7067;0.8181;0.1734
Plant_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9776;0.6120;0.7528;0.2416
Plant_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9834;0.5030;0.6656;0.2846
Plant_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9852;0.4163;0.5852;0.3628
