Parametros;Precisao;Revocacao;F1-Score;Tempo
Racism_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.5228;1.0000;0.6866;0.0047
Racism_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.5228;1.0000;0.6866;0.0037
Racism_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.5228;1.0000;0.6866;0.0033
Racism_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.9832;0.9935;0.9883;0.0065
Racism_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.9912;0.9848;0.9880;0.0101
Racism_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.9925;0.9657;0.9790;0.0148
Racism_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9935;0.9540;0.9733;0.0214
Racism_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9944;0.9380;0.9654;0.0264
Racism_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9952;0.9295;0.9612;0.0322
Racism_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9962;0.9165;0.9547;0.0387
Racism_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9961;0.9032;0.9474;0.0445
Racism_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9961;0.8862;0.9380;0.0506
Racism_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9963;0.8645;0.9257;0.0599
Racism_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9962;0.8480;0.9161;0.0696
Racism_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9993;0.7328;0.8455;0.1248
Racism_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9992;0.6158;0.7619;0.1807
Racism_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9990;0.4933;0.6604;0.2454
Racism_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9988;0.4115;0.5829;0.2883
Racism_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9985;0.3295;0.4955;0.3677
Racism_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9990;0.2440;0.3922;0.4028
Racism_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9985;0.1703;0.2909;0.4501
Racism_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.9972;0.0897;0.1647;0.4916
Racism_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.5788;0.9995;0.7331;0.0048
Racism_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.5788;0.9995;0.7331;0.0036
Racism_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.5788;0.9995;0.7331;0.0035
Racism_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.9842;0.9955;0.9898;0.0065
Racism_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.9905;0.9865;0.9885;0.0093
Racism_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.9944;0.9708;0.9824;0.0159
Racism_VAE_2000_6000_10_OCSVM_RBF_0,03_scale;0.9950;0.9523;0.9732;0.0222
Racism_VAE_2000_6000_10_OCSVM_RBF_0,04_scale;0.9952;0.9390;0.9663;0.0286
Racism_VAE_2000_6000_10_OCSVM_RBF_0,05_scale;0.9957;0.9307;0.9621;0.0342
Racism_VAE_2000_6000_10_OCSVM_RBF_0,06_scale;0.9965;0.9187;0.9560;0.0400
Racism_VAE_2000_6000_10_OCSVM_RBF_0,07_scale;0.9967;0.9038;0.9479;0.0656
Racism_VAE_2000_6000_10_OCSVM_RBF_0,08_scale;0.9969;0.8932;0.9422;0.0521
Racism_VAE_2000_6000_10_OCSVM_RBF_0,09_scale;0.9969;0.8770;0.9331;0.0565
Racism_VAE_2000_6000_10_OCSVM_RBF_0,1_scale;0.9971;0.8605;0.9238;0.0626
Racism_VAE_2000_6000_10_OCSVM_RBF_0,2_scale;0.9983;0.7370;0.8480;0.1264
Racism_VAE_2000_6000_10_OCSVM_RBF_0,3_scale;0.9980;0.6350;0.7762;0.1774
Racism_VAE_2000_6000_10_OCSVM_RBF_0,4_scale;0.9991;0.5292;0.6919;0.2324
Racism_VAE_2000_6000_10_OCSVM_RBF_0,5_scale;0.9989;0.4610;0.6309;0.3017
Racism_VAE_2000_6000_10_OCSVM_RBF_0,6_scale;0.9987;0.3815;0.5521;0.3696
Racism_VAE_2000_6000_10_OCSVM_RBF_0,7_scale;0.9991;0.2838;0.4420;0.4120
Racism_VAE_2000_6000_10_OCSVM_RBF_0,8_scale;0.9987;0.1878;0.3161;0.4475
Racism_VAE_2000_6000_10_OCSVM_RBF_0,9_scale;1.0000;0.0882;0.1622;0.4864
Racism_VAE_2000_6000_6_OCSVM_RBF_0,0001_scale;0.5171;1.0000;0.6817;0.0039
Racism_VAE_2000_6000_6_OCSVM_RBF_0,0005_scale;0.5171;1.0000;0.6817;0.0036
Racism_VAE_2000_6000_6_OCSVM_RBF_0,001_scale;0.5171;1.0000;0.6817;0.0037
Racism_VAE_2000_6000_6_OCSVM_RBF_0,005_scale;0.9564;0.9970;0.9763;0.0071
Racism_VAE_2000_6000_6_OCSVM_RBF_0,01_scale;0.9833;0.9880;0.9857;0.0091
Racism_VAE_2000_6000_6_OCSVM_RBF_0,02_scale;0.9895;0.9657;0.9775;0.0154
Racism_VAE_2000_6000_6_OCSVM_RBF_0,03_scale;0.9901;0.9513;0.9703;0.0200
Racism_VAE_2000_6000_6_OCSVM_RBF_0,04_scale;0.9913;0.9397;0.9648;0.0300
Racism_VAE_2000_6000_6_OCSVM_RBF_0,05_scale;0.9928;0.9267;0.9586;0.0326
Racism_VAE_2000_6000_6_OCSVM_RBF_0,06_scale;0.9938;0.9167;0.9537;0.0410
Racism_VAE_2000_6000_6_OCSVM_RBF_0,07_scale;0.9948;0.9070;0.9489;0.0490
Racism_VAE_2000_6000_6_OCSVM_RBF_0,08_scale;0.9950;0.8990;0.9446;0.0561
Racism_VAE_2000_6000_6_OCSVM_RBF_0,09_scale;0.9961;0.8882;0.9391;0.0561
Racism_VAE_2000_6000_6_OCSVM_RBF_0,1_scale;0.9966;0.8722;0.9303;0.0604
Racism_VAE_2000_6000_6_OCSVM_RBF_0,2_scale;0.9977;0.7548;0.8594;0.1249
Racism_VAE_2000_6000_6_OCSVM_RBF_0,3_scale;0.9973;0.6385;0.7785;0.1782
Racism_VAE_2000_6000_6_OCSVM_RBF_0,4_scale;0.9986;0.5335;0.6955;0.2296
Racism_VAE_2000_6000_6_OCSVM_RBF_0,5_scale;0.9994;0.4430;0.6139;0.2881
Racism_VAE_2000_6000_6_OCSVM_RBF_0,6_scale;0.9993;0.3545;0.5233;0.3577
Racism_VAE_2000_6000_6_OCSVM_RBF_0,7_scale;1.0000;0.2597;0.4124;0.4025
Racism_VAE_2000_6000_6_OCSVM_RBF_0,8_scale;1.0000;0.1750;0.2979;0.4392
Racism_VAE_2000_6000_6_OCSVM_RBF_0,9_scale;1.0000;0.0850;0.1567;0.4634
Racism_VAE_2000_6000_7_OCSVM_RBF_0,0001_scale;0.5137;1.0000;0.6787;0.0047
Racism_VAE_2000_6000_7_OCSVM_RBF_0,0005_scale;0.5142;0.9998;0.6791;0.0037
Racism_VAE_2000_6000_7_OCSVM_RBF_0,001_scale;0.5142;0.9998;0.6791;0.0037
Racism_VAE_2000_6000_7_OCSVM_RBF_0,005_scale;0.9772;0.9948;0.9859;0.0062
Racism_VAE_2000_6000_7_OCSVM_RBF_0,01_scale;0.9822;0.9905;0.9863;0.0090
Racism_VAE_2000_6000_7_OCSVM_RBF_0,02_scale;0.9926;0.9728;0.9826;0.0165
Racism_VAE_2000_6000_7_OCSVM_RBF_0,03_scale;0.9941;0.9607;0.9771;0.0226
Racism_VAE_2000_6000_7_OCSVM_RBF_0,04_scale;0.9945;0.9480;0.9707;0.0274
Racism_VAE_2000_6000_7_OCSVM_RBF_0,05_scale;0.9947;0.9405;0.9668;0.0342
Racism_VAE_2000_6000_7_OCSVM_RBF_0,06_scale;0.9949;0.9307;0.9618;0.0399
Racism_VAE_2000_6000_7_OCSVM_RBF_0,07_scale;0.9949;0.9255;0.9589;0.0467
Racism_VAE_2000_6000_7_OCSVM_RBF_0,08_scale;0.9958;0.8965;0.9436;0.0514
Racism_VAE_2000_6000_7_OCSVM_RBF_0,09_scale;0.9969;0.8818;0.9358;0.0589
Racism_VAE_2000_6000_7_OCSVM_RBF_0,1_scale;0.9971;0.8698;0.9291;0.0712
Racism_VAE_2000_6000_7_OCSVM_RBF_0,2_scale;0.9987;0.7415;0.8511;0.1270
Racism_VAE_2000_6000_7_OCSVM_RBF_0,3_scale;0.9992;0.6380;0.7788;0.1982
Racism_VAE_2000_6000_7_OCSVM_RBF_0,4_scale;0.9991;0.5357;0.6975;0.2396
Racism_VAE_2000_6000_7_OCSVM_RBF_0,5_scale;0.9994;0.4437;0.6146;0.2925
Racism_VAE_2000_6000_7_OCSVM_RBF_0,6_scale;1.0000;0.3680;0.5380;0.3709
Racism_VAE_2000_6000_7_OCSVM_RBF_0,7_scale;1.0000;0.2865;0.4454;0.4157
Racism_VAE_2000_6000_7_OCSVM_RBF_0,8_scale;1.0000;0.2047;0.3399;0.4593
Racism_VAE_2000_6000_7_OCSVM_RBF_0,9_scale;1.0000;0.1005;0.1826;0.4944
Racism_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.5198;0.9995;0.6839;0.0042
Racism_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.5198;0.9995;0.6839;0.0054
Racism_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.5198;0.9998;0.6840;0.0038
Racism_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.9812;0.9938;0.9875;0.0067
Racism_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.9868;0.9885;0.9876;0.0106
Racism_VAE_2000_6000_8_OCSVM_RBF_0,02_scale;0.9931;0.9710;0.9819;0.0166
Racism_VAE_2000_6000_8_OCSVM_RBF_0,03_scale;0.9935;0.9563;0.9745;0.0223
Racism_VAE_2000_6000_8_OCSVM_RBF_0,04_scale;0.9937;0.9455;0.9690;0.0283
Racism_VAE_2000_6000_8_OCSVM_RBF_0,05_scale;0.9949;0.9355;0.9643;0.0351
Racism_VAE_2000_6000_8_OCSVM_RBF_0,06_scale;0.9951;0.9170;0.9545;0.0467
Racism_VAE_2000_6000_8_OCSVM_RBF_0,07_scale;0.9956;0.9067;0.9491;0.0450
Racism_VAE_2000_6000_8_OCSVM_RBF_0,08_scale;0.9956;0.8955;0.9429;0.0562
Racism_VAE_2000_6000_8_OCSVM_RBF_0,09_scale;0.9958;0.8870;0.9383;0.0705
Racism_VAE_2000_6000_8_OCSVM_RBF_0,1_scale;0.9960;0.8732;0.9306;0.0686
Racism_VAE_2000_6000_8_OCSVM_RBF_0,2_scale;0.9990;0.7425;0.8519;0.1240
Racism_VAE_2000_6000_8_OCSVM_RBF_0,3_scale;0.9992;0.6368;0.7778;0.1829
Racism_VAE_2000_6000_8_OCSVM_RBF_0,4_scale;0.9991;0.5367;0.6983;0.2466
Racism_VAE_2000_6000_8_OCSVM_RBF_0,5_scale;0.9989;0.4505;0.6210;0.2985
Racism_VAE_2000_6000_8_OCSVM_RBF_0,6_scale;0.9993;0.3610;0.5304;0.3713
Racism_VAE_2000_6000_8_OCSVM_RBF_0,7_scale;1.0000;0.2777;0.4347;0.4157
Racism_VAE_2000_6000_8_OCSVM_RBF_0,8_scale;1.0000;0.1867;0.3147;0.4646
