Parametros;Precisao;Revocacao;F1-Score;Tempo
Surveillance_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.5864;0.9998;0.7393;0.0045
Surveillance_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.5864;0.9998;0.7393;0.0039
Surveillance_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.5864;0.9998;0.7393;0.0035
Surveillance_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.6731;0.9988;0.8042;0.0058
Surveillance_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.8642;0.9895;0.9226;0.0088
Surveillance_VAE_2000_6000_8_OCSVM_RBF_0,02_scale;0.9053;0.9802;0.9413;0.0151
Surveillance_VAE_2000_6000_8_OCSVM_RBF_0,03_scale;0.9262;0.9730;0.9490;0.0205
Surveillance_VAE_2000_6000_8_OCSVM_RBF_0,04_scale;0.9420;0.9620;0.9519;0.0268
Surveillance_VAE_2000_6000_8_OCSVM_RBF_0,05_scale;0.9503;0.9520;0.9512;0.0472
Surveillance_VAE_2000_6000_8_OCSVM_RBF_0,06_scale;0.9541;0.9457;0.9499;0.0454
Surveillance_VAE_2000_6000_8_OCSVM_RBF_0,07_scale;0.9575;0.9355;0.9464;0.0451
Surveillance_VAE_2000_6000_8_OCSVM_RBF_0,08_scale;0.9636;0.9277;0.9454;0.0511
Surveillance_VAE_2000_6000_8_OCSVM_RBF_0,09_scale;0.9652;0.9223;0.9432;0.0579
Surveillance_VAE_2000_6000_8_OCSVM_RBF_0,1_scale;0.9675;0.9087;0.9372;0.0711
Surveillance_VAE_2000_6000_8_OCSVM_RBF_0,2_scale;0.9800;0.8075;0.8854;0.1173
Surveillance_VAE_2000_6000_8_OCSVM_RBF_0,3_scale;0.9843;0.7037;0.8207;0.1885
Surveillance_VAE_2000_6000_8_OCSVM_RBF_0,4_scale;0.9893;0.5985;0.7458;0.2388
Surveillance_VAE_2000_6000_8_OCSVM_RBF_0,5_scale;0.9899;0.4888;0.6544;0.2995
Surveillance_VAE_2000_6000_8_OCSVM_RBF_0,6_scale;0.9929;0.3830;0.5528;0.3534
Surveillance_VAE_2000_6000_8_OCSVM_RBF_0,7_scale;0.9945;0.2692;0.4238;0.4071
Surveillance_VAE_2000_6000_8_OCSVM_RBF_0,8_scale;0.9959;0.1812;0.3067;0.4581
Surveillance_VAE_2000_6000_8_OCSVM_RBF_0,9_scale;0.9945;0.0900;0.1651;0.4905
Surveillance_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.5389;0.9995;0.7002;0.0049
Surveillance_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.5389;0.9995;0.7002;0.0045
Surveillance_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.5389;0.9995;0.7002;0.0042
Surveillance_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.5994;0.9975;0.7488;0.0066
Surveillance_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.7868;0.9918;0.8775;0.0094
Surveillance_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.8241;0.9865;0.8980;0.0173
Surveillance_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.8542;0.9770;0.9115;0.0216
Surveillance_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.8815;0.9710;0.9241;0.0265
Surveillance_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9019;0.9625;0.9312;0.0328
Surveillance_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9144;0.9503;0.9320;0.0397
Surveillance_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9249;0.9387;0.9318;0.0501
Surveillance_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9307;0.9305;0.9306;0.0503
Surveillance_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9357;0.9243;0.9299;0.0571
Surveillance_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9472;0.9107;0.9286;0.0625
Surveillance_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9678;0.8197;0.8877;0.1243
Surveillance_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9752;0.7183;0.8272;0.1800
Surveillance_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9770;0.6162;0.7558;0.2404
Surveillance_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9816;0.5078;0.6693;0.2912
Surveillance_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9819;0.4078;0.5762;0.3753
Surveillance_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9855;0.3063;0.4673;0.4033
Surveillance_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9837;0.1965;0.3276;0.4365
Surveillance_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.9807;0.1017;0.1844;0.4929
