Parametros;Precisao;Revocacao;F1-Score;Tempo
Wedding_VAE_2000_6000_8_OCSVM_RBF_0,0001_scale;0.9278;0.9955;0.9604;0.0068
Wedding_VAE_2000_6000_8_OCSVM_RBF_0,0005_scale;0.9280;0.9952;0.9604;0.0067
Wedding_VAE_2000_6000_8_OCSVM_RBF_0,001_scale;0.9273;0.9952;0.9601;0.0064
Wedding_VAE_2000_6000_8_OCSVM_RBF_0,005_scale;0.9287;0.9938;0.9601;0.0071
Wedding_VAE_2000_6000_8_OCSVM_RBF_0,01_scale;0.9518;0.9878;0.9695;0.0118
Wedding_VAE_2000_6000_8_OCSVM_RBF_0,02_scale;0.9565;0.9795;0.9679;0.0166
Wedding_VAE_2000_6000_8_OCSVM_RBF_0,03_scale;0.9748;0.9657;0.9702;0.0218
Wedding_VAE_2000_6000_8_OCSVM_RBF_0,04_scale;0.9828;0.9583;0.9704;0.0268
Wedding_VAE_2000_6000_8_OCSVM_RBF_0,05_scale;0.9867;0.9453;0.9655;0.0348
Wedding_VAE_2000_6000_8_OCSVM_RBF_0,06_scale;0.9886;0.9337;0.9604;0.0448
Wedding_VAE_2000_6000_8_OCSVM_RBF_0,07_scale;0.9898;0.9245;0.9560;0.0457
Wedding_VAE_2000_6000_8_OCSVM_RBF_0,08_scale;0.9908;0.9120;0.9498;0.0622
Wedding_VAE_2000_6000_8_OCSVM_RBF_0,09_scale;0.9923;0.8978;0.9426;0.0572
Wedding_VAE_2000_6000_8_OCSVM_RBF_0,1_scale;0.9924;0.8862;0.9363;0.0685
Wedding_VAE_2000_6000_8_OCSVM_RBF_0,2_scale;0.9964;0.7582;0.8612;0.1317
Wedding_VAE_2000_6000_8_OCSVM_RBF_0,3_scale;0.9974;0.6637;0.7971;0.1883
Wedding_VAE_2000_6000_8_OCSVM_RBF_0,4_scale;0.9982;0.5650;0.7216;0.2647
Wedding_VAE_2000_6000_8_OCSVM_RBF_0,5_scale;0.9989;0.4617;0.6316;0.2966
Wedding_VAE_2000_6000_8_OCSVM_RBF_0,6_scale;0.9987;0.3775;0.5479;0.3602
Wedding_VAE_2000_6000_8_OCSVM_RBF_0,7_scale;1.0000;0.3010;0.4627;0.4145
Wedding_VAE_2000_6000_8_OCSVM_RBF_0,8_scale;1.0000;0.2127;0.3509;0.4503
Wedding_VAE_2000_6000_8_OCSVM_RBF_0,9_scale;1.0000;0.1072;0.1937;0.4753
Wedding_VAE_2000_6000_9_OCSVM_RBF_0,0001_scale;0.9221;0.9975;0.9583;0.0040
Wedding_VAE_2000_6000_9_OCSVM_RBF_0,0005_scale;0.9221;0.9975;0.9583;0.0031
Wedding_VAE_2000_6000_9_OCSVM_RBF_0,001_scale;0.9221;0.9975;0.9583;0.0033
Wedding_VAE_2000_6000_9_OCSVM_RBF_0,005_scale;0.9525;0.9885;0.9702;0.0070
Wedding_VAE_2000_6000_9_OCSVM_RBF_0,01_scale;0.9672;0.9790;0.9730;0.0100
Wedding_VAE_2000_6000_9_OCSVM_RBF_0,02_scale;0.9824;0.9627;0.9725;0.0164
Wedding_VAE_2000_6000_9_OCSVM_RBF_0,03_scale;0.9872;0.9430;0.9646;0.0212
Wedding_VAE_2000_6000_9_OCSVM_RBF_0,04_scale;0.9886;0.9325;0.9597;0.0272
Wedding_VAE_2000_6000_9_OCSVM_RBF_0,05_scale;0.9890;0.9203;0.9534;0.0342
Wedding_VAE_2000_6000_9_OCSVM_RBF_0,06_scale;0.9896;0.9050;0.9454;0.0388
Wedding_VAE_2000_6000_9_OCSVM_RBF_0,07_scale;0.9919;0.8905;0.9385;0.0567
Wedding_VAE_2000_6000_9_OCSVM_RBF_0,08_scale;0.9923;0.8748;0.9298;0.0517
Wedding_VAE_2000_6000_9_OCSVM_RBF_0,09_scale;0.9931;0.8612;0.9225;0.0659
Wedding_VAE_2000_6000_9_OCSVM_RBF_0,1_scale;0.9936;0.8528;0.9178;0.0626
Wedding_VAE_2000_6000_9_OCSVM_RBF_0,2_scale;0.9967;0.7465;0.8536;0.1276
Wedding_VAE_2000_6000_9_OCSVM_RBF_0,3_scale;0.9970;0.6555;0.7910;0.1777
Wedding_VAE_2000_6000_9_OCSVM_RBF_0,4_scale;0.9977;0.5510;0.7099;0.2415
Wedding_VAE_2000_6000_9_OCSVM_RBF_0,5_scale;0.9978;0.4560;0.6259;0.3013
Wedding_VAE_2000_6000_9_OCSVM_RBF_0,6_scale;0.9974;0.3832;0.5537;0.3565
Wedding_VAE_2000_6000_9_OCSVM_RBF_0,7_scale;0.9983;0.2908;0.4503;0.4006
Wedding_VAE_2000_6000_9_OCSVM_RBF_0,8_scale;0.9987;0.1990;0.3319;0.4510
Wedding_VAE_2000_6000_9_OCSVM_RBF_0,9_scale;0.9976;0.1037;0.1880;0.4527
Wedding_VAE_2000_6000_10_OCSVM_RBF_0,0001_scale;0.8506;0.9990;0.9188;0.0036
Wedding_VAE_2000_6000_10_OCSVM_RBF_0,0005_scale;0.8506;0.9990;0.9188;0.0030
Wedding_VAE_2000_6000_10_OCSVM_RBF_0,001_scale;0.8506;0.9990;0.9188;0.0032
Wedding_VAE_2000_6000_10_OCSVM_RBF_0,005_scale;0.9295;0.9895;0.9586;0.0057
Wedding_VAE_2000_6000_10_OCSVM_RBF_0,01_scale;0.9581;0.9825;0.9701;0.0084
Wedding_VAE_2000_6000_10_OCSVM_RBF_0,02_scale;0.9790;0.9677;0.9733;0.0205
Wedding_VAE_2000_6000_10_OCSVM_RBF_0,03_scale;0.9843;0.9570;0.9705;0.0230
Wedding_VAE_2000_6000_10_OCSVM_RBF_0,04_scale;0.9877;0.9423;0.9644;0.0264
Wedding_VAE_2000_6000_10_OCSVM_RBF_0,05_scale;0.9896;0.9317;0.9598;0.0327
Wedding_VAE_2000_6000_10_OCSVM_RBF_0,06_scale;0.9900;0.9137;0.9503;0.0385
